,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년04월_계_총인구수,"69,649","24,841","3,006","3,315","2,902","6,280","2,874","2,045","3,069","2,202","2,467","4,942","3,897","4,135","3,674"
2020년04월_계_연령구간인구수,"69,649","24,841","3,006","3,315","2,902","6,280","2,874","2,045","3,069","2,202","2,467","4,942","3,897","4,135","3,674"
2020년04월_계_0~9세,"4,242","2,386",104,147,80,310,111,51,103,82,87,203,215,214,149
2020년04월_계_10~19세,"5,446","3,002",160,156,152,394,180,106,172,93,122,267,201,239,202
2020년04월_계_20~29세,"5,648","2,695",224,207,162,481,181,115,202,98,154,297,270,277,285
2020년04월_계_30~39세,"5,353","2,697",192,226,141,431,152,89,140,111,117,298,270,252,237
2020년04월_계_40~49세,"8,272","3,843",290,326,274,674,263,189,334,215,240,409,410,408,397
2020년04월_계_50~59세,"11,906","4,087",561,544,513,"1,128",476,335,532,335,440,911,661,745,638
2020년04월_계_60~69세,"12,013","3,086",608,663,631,"1,171",575,405,554,446,461,"1,121",716,829,747
2020년04월_계_70~79세,"10,042","1,990",513,640,558,"1,034",564,425,573,414,479,826,709,727,590
2020년04월_계_80~89세,"5,895",921,313,368,343,595,333,291,379,356,318,540,387,386,365
2020년04월_계_90~99세,791,132,39,36,44,60,38,38,75,47,45,65,56,56,60
2020년04월_계_100세 이상,41,2,2,2,4,2,1,1,5,5,4,5,2,2,4
2020년04월_남_총인구수,"34,381","12,247","1,492","1,657","1,445","3,080","1,384",966,"1,527","1,036","1,242","2,424","1,951","2,054","1,876"
2020년04월_남_연령구간인구수,"34,381","12,247","1,492","1,657","1,445","3,080","1,384",966,"1,527","1,036","1,242","2,424","1,951","2,054","1,876"
2020년04월_남_0~9세,"2,140","1,193",52,78,41,157,52,29,53,38,53,100,108,111,75
2020년04월_남_10~19세,"2,836","1,548",86,80,81,205,98,54,94,53,71,143,95,129,99
2020년04월_남_20~29세,"3,149","1,460",120,104,96,287,99,63,115,61,92,186,145,169,152
2020년04월_남_30~39세,"2,781","1,291",107,143,91,245,80,48,74,55,62,172,152,125,136
2020년04월_남_40~49세,"4,708","1,937",182,208,168,395,154,119,206,134,160,243,283,242,277
2020년04월_남_50~59세,"6,549","2,131",303,322,294,585,256,199,317,179,272,508,380,423,380
2020년04월_남_60~69세,"5,937","1,480",316,319,321,561,280,198,288,222,227,549,376,412,388
2020년04월_남_70~79세,"4,318",902,213,279,235,461,250,156,237,163,196,350,300,325,251
2020년04월_남_80~89세,"1,815",276,104,118,114,177,102,96,130,115,98,164,107,107,107
2020년04월_남_90~99세,147,29,9,6,4,7,13,4,13,15,11,9,5,11,11
2020년04월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년04월_여_총인구수,"35,268","12,594","1,514","1,658","1,457","3,200","1,490","1,079","1,542","1,166","1,225","2,518","1,946","2,081","1,798"
2020년04월_여_연령구간인구수,"35,268","12,594","1,514","1,658","1,457","3,200","1,490","1,079","1,542","1,166","1,225","2,518","1,946","2,081","1,798"
2020년04월_여_0~9세,"2,102","1,193",52,69,39,153,59,22,50,44,34,103,107,103,74
2020년04월_여_10~19세,"2,610","1,454",74,76,71,189,82,52,78,40,51,124,106,110,103
2020년04월_여_20~29세,"2,499","1,235",104,103,66,194,82,52,87,37,62,111,125,108,133
2020년04월_여_30~39세,"2,572","1,406",85,83,50,186,72,41,66,56,55,126,118,127,101
2020년04월_여_40~49세,"3,564","1,906",108,118,106,279,109,70,128,81,80,166,127,166,120
2020년04월_여_50~59세,"5,357","1,956",258,222,219,543,220,136,215,156,168,403,281,322,258
2020년04월_여_60~69세,"6,076","1,606",292,344,310,610,295,207,266,224,234,572,340,417,359
2020년04월_여_70~79세,"5,724","1,088",300,361,323,573,314,269,336,251,283,476,409,402,339
2020년04월_여_80~89세,"4,080",645,209,250,229,418,231,195,249,241,220,376,280,279,258
2020년04월_여_90~99세,644,103,30,30,40,53,25,34,62,32,34,56,51,45,49
2020년04월_여_100세 이상,40,2,2,2,4,2,1,1,5,4,4,5,2,2,4
