카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년01월_계_총인구수,"542,713","55,896","16,684","6,748","7,925","3,841","3,294","6,433","10,184","9,770","10,229","75,327","80,751","9,639","41,786","34,825","7,990","56,508","37,004","67,879"
2020년01월_계_연령구간인구수,"542,713","55,896","16,684","6,748","7,925","3,841","3,294","6,433","10,184","9,770","10,229","75,327","80,751","9,639","41,786","34,825","7,990","56,508","37,004","67,879"
2020년01월_계_0~9세,"51,933","6,818","2,548",252,244,81,97,191,605,684,643,"5,184","7,824",573,"2,873","1,791",590,"5,947","3,991","10,997"
2020년01월_계_10~19세,"63,050","5,967","1,176",365,359,132,169,237,777,636,744,"8,523","10,953",740,"4,092","3,491",821,"8,174","5,330","10,364"
2020년01월_계_20~29세,"69,392","5,652","2,090",656,729,338,313,527,"1,338","1,224","1,478","12,628","10,857","1,306","6,377","5,972","1,064","6,722","4,334","5,787"
2020년01월_계_30~39세,"72,512","9,353","3,925",567,638,260,276,487,"1,381","1,301","1,267","8,564","10,033","1,024","4,762","3,244",877,"7,399","5,188","11,966"
2020년01월_계_40~49세,"99,794","10,621","2,534",904,818,372,366,619,"1,483","1,313","1,510","12,670","15,763","1,380","6,900","5,507","1,318","12,168","8,005","15,543"
2020년01월_계_50~59세,"94,977","8,157","2,446","1,553","1,738",881,779,"1,254","2,073","1,872","2,145","16,214","14,223","2,053","8,828","7,798","1,589","8,650","5,602","7,122"
2020년01월_계_60~69세,"53,507","5,483","1,228","1,273","1,746",881,762,"1,679","1,497","1,523","1,462","6,895","6,778","1,496","4,840","4,233","1,052","4,201","2,713","3,765"
2020년01월_계_70~79세,"25,415","2,553",443,749,"1,019",591,361,936,709,853,685,"3,095","2,929",731,"2,191","1,877",471,"2,226","1,302","1,694"
2020년01월_계_80~89세,"10,742","1,127",263,368,567,274,141,429,282,322,258,"1,384","1,245",306,819,827,184,906,479,561
2020년01월_계_90~99세,"1,312",158,30,59,66,30,27,71,34,38,31,160,140,29,93,81,19,109,60,77
2020년01월_계_100세 이상,79,7,1,2,1,1,3,3,5,4,6,10,6,1,11,4,5,6,0,3
2020년01월_남_총인구수,"274,438","28,759","8,521","3,656","4,306","2,026","1,818","3,344","5,220","4,967","5,223","37,486","40,483","5,085","21,230","17,810","4,056","28,173","18,558","33,717"
2020년01월_남_연령구간인구수,"274,438","28,759","8,521","3,656","4,306","2,026","1,818","3,344","5,220","4,967","5,223","37,486","40,483","5,085","21,230","17,810","4,056","28,173","18,558","33,717"
2020년01월_남_0~9세,"26,466","3,483","1,265",149,134,53,57,85,308,356,343,"2,706","4,021",290,"1,467",927,310,"2,980","2,006","5,526"
2020년01월_남_10~19세,"32,996","3,144",607,199,206,69,84,142,399,345,396,"4,472","5,799",399,"2,163","1,840",401,"4,204","2,771","5,356"
2020년01월_남_20~29세,"37,478","3,098","1,052",391,461,203,178,318,745,687,803,"6,750","5,838",716,"3,461","3,330",575,"3,577","2,269","3,026"
2020년01월_남_30~39세,"37,139","4,854","2,048",314,395,152,176,289,799,670,681,"4,436","4,961",595,"2,563","1,793",470,"3,623","2,653","5,667"
2020년01월_남_40~49세,"49,683","5,732","1,333",554,524,227,221,354,777,700,756,"5,864","7,516",755,"3,434","2,682",651,"5,998","3,900","7,705"
2020년01월_남_50~59세,"49,023","4,196","1,228",892,"1,010",493,456,671,"1,045",946,"1,101","8,074","7,303","1,096","4,455","3,973",830,"4,512","2,973","3,769"
