카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2021년03월_계_총인구수,"657,064","338,363","7,525","4,139","12,382","4,852","6,360","8,681","14,613","19,623","41,345","12,892","46,230","11,649","13,493","22,165","10,991","10,220","14,830","39,707","36,666","318,701","14,257","18,484","11,341","32,137","20,388","7,685","9,900","7,640","10,059","14,560","20,347","62,272","26,529","12,555","30,611","19,936",0
2021년03월_계_연령구간인구수,"657,064","338,363","7,525","4,139","12,382","4,852","6,360","8,681","14,613","19,623","41,345","12,892","46,230","11,649","13,493","22,165","10,991","10,220","14,830","39,707","36,666","318,701","14,257","18,484","11,341","32,137","20,388","7,685","9,900","7,640","10,059","14,560","20,347","62,272","26,529","12,555","30,611","19,936",0
2021년03월_계_0~9세,"53,371","24,291",318,93,617,170,301,326,927,"1,406","3,299",569,"3,964",683,676,"1,516",611,525,965,"4,390","2,935","29,080",620,"1,466",546,"2,571","2,021",206,417,301,658,839,"1,468","8,143","2,065",848,"3,774","3,137",0
2021년03월_계_10~19세,"71,208","35,725",454,176,804,348,437,637,"1,297","2,625","4,995",845,"5,338","1,082","1,230","2,449",936,890,"1,537","5,034","4,611","35,483","1,093","2,344",736,"4,094","1,597",336,644,487,814,"1,238","2,505","8,790","3,131","1,007","3,067","3,600",0
2021년03월_계_20~29세,"92,850","49,240",895,383,"1,426",509,666,"1,014","2,301","3,198","6,407","1,369","5,881","1,671","1,992","3,104","1,397","1,472","2,068","6,194","7,293","43,610","1,706","2,347","1,547","4,706","3,365","2,298","1,550",864,"1,372","2,036","2,725","7,922","3,931","1,557","3,810","1,874",0
2021년03월_계_30~39세,"81,538","39,603",764,361,"1,314",428,563,754,"1,679","2,341","5,185","1,306","5,237","1,200","1,306","2,149","1,083","1,039","1,645","5,302","5,947","41,935","1,292","1,880","1,313","3,978","3,445",938,992,753,"1,352","1,949","1,978","9,396","2,955","1,747","5,217","2,750",0
2021년03월_계_40~49세,"106,584","52,918",901,508,"1,677",648,784,"1,164","1,903","3,467","7,028","1,721","7,494","1,620","1,727","3,415","1,521","1,412","2,109","6,997","6,822","53,666","1,787","3,120","1,454","6,092","3,063",846,"1,237","1,093","1,489","2,427","3,111","12,074","4,117","1,844","5,193","4,719",0
2021년03월_계_50~59세,"106,291","57,070","1,253",663,"1,963",793,"1,046","1,514","2,509","3,249","7,093","2,289","7,759","2,210","2,605","4,315","1,817","1,802","2,514","6,103","5,573","49,221","2,301","2,832","1,854","5,160","2,737","1,079","1,596","1,429","1,692","2,606","3,596","8,645","4,665","2,178","4,530","2,321",0
2021년03월_계_60~69세,"78,134","42,988","1,417",880,"2,143",861,"1,274","1,656","2,179","1,967","4,015","2,310","6,044","1,776","2,317","2,884","1,814","1,658","2,159","3,562","2,072","35,146","2,360","2,249","1,882","2,893","2,173",978,"1,634","1,382","1,499","1,918","2,849","4,483","3,175","1,771","2,916",984,0
2021년03월_계_70~79세,"44,315","24,108",983,697,"1,565",704,831,"1,104","1,196",893,"2,181","1,619","3,004",932,"1,152","1,454","1,238","1,014","1,185","1,423",933,"20,207","1,959","1,567","1,368","1,762","1,326",655,"1,269",922,783,990,"1,347","1,865","1,660",979,"1,396",359,0
