,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년06월_계_총인구수,"46,614","20,964","4,455","3,166","5,872","2,399","2,375","3,511","2,122","1,750"
2021년06월_계_연령구간인구수,"46,614","20,964","4,455","3,166","5,872","2,399","2,375","3,511","2,122","1,750"
2021년06월_계_0~9세,"2,123","1,443",121,70,247,36,31,75,65,35
2021년06월_계_10~19세,"3,570","1,991",199,593,387,80,69,114,66,71
2021년06월_계_20~29세,"3,791","2,293",370,134,378,132,101,191,115,77
2021년06월_계_30~39세,"3,349","2,028",236,115,408,104,89,167,130,72
2021년06월_계_40~49세,"5,014","2,935",407,185,624,165,158,268,148,124
2021년06월_계_50~59세,"8,558","3,678",845,530,"1,159",451,479,694,381,341
2021년06월_계_60~69세,"10,749","3,482","1,184",828,"1,469",741,775,"1,047",660,563
2021년06월_계_70~79세,"5,496","1,781",649,423,699,388,397,528,314,317
2021년06월_계_80~89세,"3,397","1,117",384,242,444,260,235,362,211,142
2021년06월_계_90~99세,539,205,58,43,52,39,40,65,30,7
2021년06월_계_100세 이상,28,11,2,3,5,3,1,0,2,1
2021년06월_남_총인구수,"23,927","10,576","2,342","1,615","3,065","1,248","1,201","1,832","1,129",919
2021년06월_남_연령구간인구수,"23,927","10,576","2,342","1,615","3,065","1,248","1,201","1,832","1,129",919
2021년06월_남_0~9세,"1,121",756,63,40,130,21,12,40,39,20
2021년06월_남_10~19세,"1,867","1,022",106,312,212,38,38,57,35,47
2021년06월_남_20~29세,"2,172","1,267",242,84,216,70,61,114,70,48
2021년06월_남_30~39세,"1,751","1,016",127,57,231,57,47,102,77,37
2021년06월_남_40~49세,"2,803","1,593",232,96,357,96,94,171,91,73
2021년06월_남_50~59세,"4,538","1,926",459,279,626,247,250,368,203,180
2021년06월_남_60~69세,"5,618","1,758",627,437,769,396,422,558,359,292
2021년06월_남_70~79세,"2,679",784,334,210,344,204,200,275,168,160
2021년06월_남_80~89세,"1,256",404,136,93,171,111,70,134,77,60
2021년06월_남_90~99세,118,49,16,7,9,6,7,13,9,2
2021년06월_남_100세 이상,4,1,0,0,0,2,0,0,1,0
2021년06월_여_총인구수,"22,687","10,388","2,113","1,551","2,807","1,151","1,174","1,679",993,831
2021년06월_여_연령구간인구수,"22,687","10,388","2,113","1,551","2,807","1,151","1,174","1,679",993,831
2021년06월_여_0~9세,"1,002",687,58,30,117,15,19,35,26,15
2021년06월_여_10~19세,"1,703",969,93,281,175,42,31,57,31,24
2021년06월_여_20~29세,"1,619","1,026",128,50,162,62,40,77,45,29
2021년06월_여_30~39세,"1,598","1,012",109,58,177,47,42,65,53,35
2021년06월_여_40~49세,"2,211","1,342",175,89,267,69,64,97,57,51
2021년06월_여_50~59세,"4,020","1,752",386,251,533,204,229,326,178,161
2021년06월_여_60~69세,"5,131","1,724",557,391,700,345,353,489,301,271
2021년06월_여_70~79세,"2,817",997,315,213,355,184,197,253,146,157
2021년06월_여_80~89세,"2,141",713,248,149,273,149,165,228,134,82
2021년06월_여_90~99세,421,156,42,36,43,33,33,52,21,5
2021년06월_여_100세 이상,24,10,2,3,5,1,1,0,1,1
