,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년12월_계_총인구수,"512,030","44,791","36,126","9,908","56,481","12,096","42,209","21,779","16,477","20,280","22,300","32,095","23,025","20,947","35,587","35,307","1,918","23,732","32,584","24,388"
2021년12월_계_연령구간인구수,"512,030","44,791","36,126","9,908","56,481","12,096","42,209","21,779","16,477","20,280","22,300","32,095","23,025","20,947","35,587","35,307","1,918","23,732","32,584","24,388"
2021년12월_계_0~9세,"47,577","3,481","1,517",414,"7,198",635,"5,582","1,423","1,334","1,076","1,251","2,224","1,614","1,551","5,756","4,621",45,"1,660","3,702","2,493"
2021년12월_계_10~19세,"50,216","3,436","3,028",700,"5,819","1,122","3,502","2,155","1,505","1,102","1,826","3,461","2,111","2,552","4,413","3,959",46,"2,718","4,075","2,686"
2021년12월_계_20~29세,"68,964","6,529","5,777","1,362","6,583","1,652","4,037","2,783","1,944","3,159","3,675","5,103","2,971","3,484","3,387","5,391",159,"3,644","4,037","3,287"
2021년12월_계_30~39세,"77,837","6,954","4,006",982,"9,568","1,117","8,001","2,524","2,488","3,969","3,309","4,359","3,106","2,381","6,568","7,166",178,"2,636","4,841","3,684"
2021년12월_계_40~49세,"92,511","6,544","4,947","1,250","10,128","1,821","7,733","3,778","3,198","4,224","4,494","6,107","4,569","3,675","7,833","7,413",164,"3,990","6,409","4,234"
2021년12월_계_50~59세,"90,045","8,589","8,057","2,183","8,767","2,521","5,750","4,082","2,846","3,748","4,342","6,340","4,691","4,367","4,480","4,298",430,"4,966","5,395","4,193"
2021년12월_계_60~69세,"53,472","5,936","5,562","1,811","5,486","1,793","4,793","2,979","1,863","2,029","2,231","2,821","2,570","1,753","2,268","1,783",560,"2,388","2,595","2,251"
2021년12월_계_70~79세,"20,154","2,067","2,104",761,"1,913",892,"1,865","1,326",862,657,775,"1,029",887,695,612,461,232,"1,054",996,966
2021년12월_계_80~89세,"9,691","1,060",998,382,867,463,811,641,381,267,341,577,422,439,232,176,82,597,455,500
