카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년08월_계_총인구수,"105,996","5,579","7,353","7,679","13,721","8,343","7,805","7,595","6,736","4,361","9,865","4,899","9,183","12,877"
2021년08월_계_연령구간인구수,"105,996","5,579","7,353","7,679","13,721","8,343","7,805","7,595","6,736","4,361","9,865","4,899","9,183","12,877"
2021년08월_계_0~9세,"5,422",347,285,413,"1,127",568,613,415,97,104,461,127,302,563
2021년08월_계_10~19세,"7,175",368,478,505,"1,093",828,766,544,284,165,512,184,491,957
2021년08월_계_20~29세,"13,243",695,763,"1,213","1,700",964,886,"1,537",748,397,"1,403",429,827,"1,681"
2021년08월_계_30~39세,"10,759",683,599,851,"1,786",867,820,911,503,321,"1,115",428,692,"1,183"
2021년08월_계_40~49세,"14,311",742,953,"1,042","2,164","1,283","1,224","1,012",757,559,"1,254",568,"1,148","1,605"
2021년08월_계_50~59세,"17,229",920,"1,248","1,106","2,067","1,356","1,249","1,075","1,137",764,"1,677",886,"1,598","2,146"
2021년08월_계_60~69세,"19,331",906,"1,446","1,303","1,900","1,326","1,217","1,141","1,541",965,"1,783","1,148","2,044","2,611"
2021년08월_계_70~79세,"12,220",562,"1,011",799,"1,230",744,659,623,"1,053",695,"1,156",762,"1,453","1,473"
2021년08월_계_80~89세,"5,589",314,509,387,569,353,320,290,553,350,458,329,567,590
2021년08월_계_90~99세,689,38,60,58,85,52,46,44,59,41,45,38,58,65
2021년08월_계_100세 이상,28,4,1,2,0,2,5,3,4,0,1,0,3,3
2021년08월_남_총인구수,"51,308","2,707","3,594","3,591","6,478","3,833","3,758","3,602","3,417","2,212","4,722","2,485","4,585","6,324"
2021년08월_남_연령구간인구수,"51,308","2,707","3,594","3,591","6,478","3,833","3,758","3,602","3,417","2,212","4,722","2,485","4,585","6,324"
2021년08월_남_0~9세,"2,843",192,151,213,600,293,340,211,46,51,233,64,155,294
2021년08월_남_10~19세,"3,651",182,237,242,561,393,390,282,156,81,263,97,270,497
2021년08월_남_20~29세,"6,457",355,402,535,804,454,458,678,380,221,614,234,455,867
2021년08월_남_30~39세,"5,523",363,329,450,829,409,370,452,289,183,575,243,385,646
2021년08월_남_40~49세,"7,425",387,496,520,"1,060",599,589,509,445,329,657,340,631,863
2021년08월_남_50~59세,"8,868",471,627,548,"1,017",629,610,537,658,442,879,487,882,"1,081"
2021년08월_남_60~69세,"9,017",397,683,598,852,605,579,539,765,477,818,545,978,"1,181"
2021년08월_남_70~79세,"5,336",242,445,331,537,325,288,277,467,314,491,340,625,654
2021년08월_남_80~89세,"2,047",110,214,140,200,114,125,110,198,106,180,127,196,227
2021년08월_남_90~99세,135,8,10,14,18,12,8,6,10,8,12,8,8,13
2021년08월_남_100세 이상,6,0,0,0,0,0,1,1,3,0,0,0,0,1
2021년08월_여_총인구수,"54,688","2,872","3,759","4,088","7,243","4,510","4,047","3,993","3,319","2,149","5,143","2,414","4,598","6,553"
2021년08월_여_연령구간인구수,"54,688","2,872","3,759","4,088","7,243","4,510","4,047","3,993","3,319","2,149","5,143","2,414","4,598","6,553"
2021년08월_여_0~9세,"2,579",155,134,200,527,275,273,204,51,53,228,63,147,269
2021년08월_여_10~19세,"3,524",186,241,263,532,435,376,262,128,84,249,87,221,460
2021년08월_여_20~29세,"6,786",340,361,678,896,510,428,859,368,176,789,195,372,814
2021년08월_여_30~39세,"5,236",320,270,401,957,458,450,459,214,138,540,185,307,537
2021년08월_여_40~49세,"6,886",355,457,522,"1,104",684,635,503,312,230,597,228,517,742
2021년08월_여_50~59세,"8,361",449,621,558,"1,050",727,639,538,479,322,798,399,716,"1,065"
2021년08월_여_60~69세,"10,314",509,763,705,"1,048",721,638,602,776,488,965,603,"1,066","1,430"
2021년08월_여_70~79세,"6,884",320,566,468,693,419,371,346,586,381,665,422,828,819
2021년08월_여_80~89세,"3,542",204,295,247,369,239,195,180,355,244,278,202,371,363
2021년08월_여_90~99세,554,30,50,44,67,40,38,38,49,33,33,30,50,52
2021년08월_여_100세 이상,22,4,1,2,0,2,4,2,1,0,1,0,3,2
