,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년03월_계_총인구수,"368,518","25,549","37,549","21,443","21,735","14,415","12,535","22,839","24,868","25,034","17,735","20,601","18,794","15,404","19,134","39,978","30,905"
2021년03월_계_연령구간인구수,"368,518","25,549","37,549","21,443","21,735","14,415","12,535","22,839","24,868","25,034","17,735","20,601","18,794","15,404","19,134","39,978","30,905"
2021년03월_계_0~9세,"24,310","2,802","2,239","1,479","2,219",665,996,"1,675","1,811",823,"1,036","1,023","1,140",601,926,"2,431","2,444"
2021년03월_계_10~19세,"28,185","1,687","2,287","1,595","2,053",893,"1,186","1,889","1,748","1,219",931,"1,319","1,546",794,"1,455","3,453","4,130"
2021년03월_계_20~29세,"61,564","3,138","6,329","2,964","2,218","3,425","1,855","3,418","4,934","6,227","3,396","3,460","2,865","3,254","3,137","6,633","4,311"
2021년03월_계_30~39세,"63,777","5,050","6,509","3,634","3,691","2,400","1,948","3,690","4,147","5,363","3,665","3,869","2,921","3,071","3,329","6,630","3,860"
2021년03월_계_40~49세,"60,346","4,304","5,423","3,143","4,375","2,066","2,284","3,866","3,962","3,688","2,614","3,217","3,221","2,319","3,308","6,491","6,065"
2021년03월_계_50~59세,"54,141","3,853","6,310","3,468","2,993","2,048","1,814","3,565","3,645","3,082","2,342","2,993","2,827","2,000","2,863","5,819","4,519"
2021년03월_계_60~69세,"39,735","2,768","4,493","2,665","2,192","1,501","1,202","2,462","2,487","2,263","1,945","2,421","2,172","1,715","2,192","4,269","2,988"
2021년03월_계_70~79세,"23,754","1,180","2,541","1,529","1,278",872,790,"1,503","1,374","1,501","1,188","1,577","1,460","1,072","1,328","2,863","1,698"
