,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021년01월_계_총인구수,"44,330","13,571","3,693","3,723","1,854","3,328","6,065","4,062","1,560","1,386","2,875","2,213"
2021년01월_계_연령구간인구수,"44,330","13,571","3,693","3,723","1,854","3,328","6,065","4,062","1,560","1,386","2,875","2,213"
2021년01월_계_0~9세,"2,734","1,006",321,167,49,150,647,167,60,29,84,54
2021년01월_계_10~19세,"3,269","1,216",297,174,73,188,640,251,93,60,175,102
2021년01월_계_20~29세,"4,221","1,302",310,364,152,361,768,399,130,117,185,133
2021년01월_계_30~39세,"3,614","1,184",281,331,127,190,765,273,106,73,152,132
2021년01월_계_40~49세,"5,510","1,926",469,415,179,385,898,505,165,111,259,198
2021년01월_계_50~59세,"7,461","2,175",617,701,357,581,823,783,280,226,486,432
2021년01월_계_60~69세,"7,301","2,048",623,706,376,599,622,752,292,285,515,483
2021년01월_계_70~79세,"5,917","1,649",436,502,278,489,537,534,256,274,559,403
2021년01월_계_80~89세,"3,755",924,299,317,222,353,326,337,151,185,417,224
2021년01월_계_90~99세,510,130,34,45,40,31,39,57,25,25,41,43
2021년01월_계_100세 이상,38,11,6,1,1,1,0,4,2,1,2,9
2021년01월_남_총인구수,"22,698","6,710","1,870","1,996",980,"1,830","3,154","2,058",819,693,"1,445","1,143"
2021년01월_남_연령구간인구수,"22,698","6,710","1,870","1,996",980,"1,830","3,154","2,058",819,693,"1,445","1,143"
2021년01월_남_0~9세,"1,385",525,176,83,19,81,307,79,30,11,45,29
2021년01월_남_10~19세,"1,720",633,157,90,38,104,330,121,52,36,104,55
2021년01월_남_20~29세,"2,489",697,170,210,97,301,462,234,70,73,101,74
2021년01월_남_30~39세,"1,931",589,129,210,80,97,426,148,65,39,80,68
2021년01월_남_40~49세,"3,134","1,035",248,270,115,249,484,297,101,60,159,116
2021년01월_남_50~59세,"4,268","1,198",382,397,207,334,482,437,167,130,279,255
2021년01월_남_60~69세,"3,837","1,003",305,393,221,317,339,411,159,148,276,265
2021년01월_남_70~79세,"2,611",727,200,228,115,216,217,224,116,121,251,196
2021년01월_남_80~89세,"1,195",278,92,101,77,123,94,94,52,69,140,75
2021년01월_남_90~99세,124,24,10,14,11,8,13,13,6,6,10,9
2021년01월_남_100세 이상,4,1,1,0,0,0,0,0,1,0,0,1
2021년01월_여_총인구수,"21,632","6,861","1,823","1,727",874,"1,498","2,911","2,004",741,693,"1,430","1,070"
2021년01월_여_연령구간인구수,"21,632","6,861","1,823","1,727",874,"1,498","2,911","2,004",741,693,"1,430","1,070"
2021년01월_여_0~9세,"1,349",481,145,84,30,69,340,88,30,18,39,25
2021년01월_여_10~19세,"1,549",583,140,84,35,84,310,130,41,24,71,47
2021년01월_여_20~29세,"1,732",605,140,154,55,60,306,165,60,44,84,59
2021년01월_여_30~39세,"1,683",595,152,121,47,93,339,125,41,34,72,64
2021년01월_여_40~49세,"2,376",891,221,145,64,136,414,208,64,51,100,82
2021년01월_여_50~59세,"3,193",977,235,304,150,247,341,346,113,96,207,177
2021년01월_여_60~69세,"3,464","1,045",318,313,155,282,283,341,133,137,239,218
2021년01월_여_70~79세,"3,306",922,236,274,163,273,320,310,140,153,308,207
2021년01월_여_80~89세,"2,560",646,207,216,145,230,232,243,99,116,277,149
2021년01월_여_90~99세,386,106,24,31,29,23,26,44,19,19,31,34
2021년01월_여_100세 이상,34,10,5,1,1,1,0,4,1,1,2,8
