카테고리,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년08월_계_총인구수,"272,182","32,869","10,425","24,806","19,354","15,303","39,205","10,848","28,502","17,821","15,112","28,054","14,641","15,242"
2020년08월_계_연령구간인구수,"272,182","32,869","10,425","24,806","19,354","15,303","39,205","10,848","28,502","17,821","15,112","28,054","14,641","15,242"
2020년08월_계_0~9세,"19,972","2,650",377,"2,625","1,064",898,"2,637",838,"2,596","1,590",846,"1,988","1,004",859
2020년08월_계_10~19세,"25,140","2,809",671,"3,172","1,129","1,456","2,963","1,022","4,168","1,742","1,021","2,861","1,075","1,051"
2020년08월_계_20~29세,"33,125","3,995","1,163","2,537","2,877","1,792","5,660","1,331","3,248","1,876","1,769","3,289","1,678","1,910"
2020년08월_계_30~39세,"33,783","4,404",923,"3,167","3,190","1,484","5,506","1,415","2,887","2,091","1,739","3,220","1,843","1,914"
2020년08월_계_40~49세,"43,431","5,016","1,341","4,927","3,053","2,166","5,677","1,795","5,733","3,196","2,121","4,453","2,010","1,943"
2020년08월_계_50~59세,"44,788","5,375","1,841","3,612","3,002","2,556","6,672","1,685","4,668","2,624","2,618","4,882","2,495","2,758"
2020년08월_계_60~69세,"40,512","4,845","2,055","2,633","2,625","2,533","5,858","1,429","3,209","2,553","2,809","4,396","2,641","2,926"
2020년08월_계_70~79세,"22,165","2,678","1,367","1,474","1,628","1,609","3,029",927,"1,478","1,557","1,562","2,117","1,353","1,386"
2020년08월_계_80~89세,"8,038",956,584,562,663,691,"1,062",357,438,524,547,747,476,431
2020년08월_계_90~99세,"1,091",124,81,90,95,111,126,47,72,63,73,90,59,60
2020년08월_계_100세 이상,137,17,22,7,28,7,15,2,5,5,7,11,7,4
2020년08월_남_총인구수,"132,551","16,069","5,072","12,094","9,142","7,408","19,202","5,198","13,816","8,833","7,459","13,674","7,151","7,433"
2020년08월_남_연령구간인구수,"132,551","16,069","5,072","12,094","9,142","7,408","19,202","5,198","13,816","8,833","7,459","13,674","7,151","7,433"
2020년08월_남_0~9세,"10,320","1,358",193,"1,345",519,436,"1,356",431,"1,314",916,462,"1,020",530,440
2020년08월_남_10~19세,"13,159","1,520",360,"1,748",568,794,"1,558",465,"2,076",954,549,"1,488",515,564
2020년08월_남_20~29세,"17,369","2,138",632,"1,286","1,290",991,"2,900",703,"1,759",992,931,"1,795",898,"1,054"
2020년08월_남_30~39세,"16,948","2,209",521,"1,474","1,594",770,"2,804",711,"1,356","1,016",918,"1,623",935,"1,017"
2020년08월_남_40~49세,"21,137","2,480",697,"2,380","1,500","1,030","2,768",880,"2,612","1,606","1,112","2,100","1,031",941
2020년08월_남_50~59세,"21,235","2,494",889,"1,751","1,454","1,183","3,174",808,"2,311","1,284","1,231","2,289","1,145","1,222"
2020년08월_남_60~69세,"18,877","2,252",969,"1,212","1,225","1,171","2,754",633,"1,564","1,156","1,295","2,060","1,256","1,330"
2020년08월_남_70~79세,"10,203","1,217",582,668,710,735,"1,409",416,687,703,728,"1,007",648,693
2020년08월_남_80~89세,"3,034",358,210,213,256,270,444,143,125,197,214,268,175,161
2020년08월_남_90~99세,247,35,19,17,23,25,34,7,11,9,17,24,16,10
2020년08월_남_100세 이상,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020년08월_여_총인구수,"139,631","16,800","5,353","12,712","10,212","7,895","20,003","5,650","14,686","8,988","7,653","14,380","7,490","7,809"
2020년08월_여_연령구간인구수,"139,631","16,800","5,353","12,712","10,212","7,895","20,003","5,650","14,686","8,988","7,653","14,380","7,490","7,809"
2020년08월_여_0~9세,"9,652","1,292",184,"1,280",545,462,"1,281",407,"1,282",674,384,968,474,419
2020년08월_여_10~19세,"11,981","1,289",311,"1,424",561,662,"1,405",557,"2,092",788,472,"1,373",560,487
2020년08월_여_20~29세,"15,756","1,857",531,"1,251","1,587",801,"2,760",628,"1,489",884,838,"1,494",780,856
2020년08월_여_30~39세,"16,835","2,195",402,"1,693","1,596",714,"2,702",704,"1,531","1,075",821,"1,597",908,897
2020년08월_여_40~49세,"22,294","2,536",644,"2,547","1,553","1,136","2,909",915,"3,121","1,590","1,009","2,353",979,"1,002"
2020년08월_여_50~59세,"23,553","2,881",952,"1,861","1,548","1,373","3,498",877,"2,357","1,340","1,387","2,593","1,350","1,536"
2020년08월_여_60~69세,"21,635","2,593","1,086","1,421","1,400","1,362","3,104",796,"1,645","1,397","1,514","2,336","1,385","1,596"
2020년08월_여_70~79세,"11,962","1,461",785,806,918,874,"1,620",511,791,854,834,"1,110",705,693
2020년08월_여_80~89세,"5,004",598,374,349,407,421,618,214,313,327,333,479,301,270
2020년08월_여_90~99세,844,89,62,73,72,86,92,40,61,54,56,66,43,50
2020년08월_여_100세 이상,115,9,22,7,25,4,14,1,4,5,5,11,5,3
