,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020년04월_계_총인구수,"173,807","8,881","10,437","17,277","9,990","9,877","10,224","6,577","7,925","11,090","8,046","8,284","10,365","18,472","2,030","5,448","20,780","8,104"
2020년04월_계_연령구간인구수,"173,807","8,881","10,437","17,277","9,990","9,877","10,224","6,577","7,925","11,090","8,046","8,284","10,365","18,472","2,030","5,448","20,780","8,104"
2020년04월_계_0~9세,"8,110",365,368,813,332,323,404,212,225,387,292,661,365,"1,419",92,173,"1,381",298
2020년04월_계_10~19세,"11,544",554,576,"1,335",666,534,664,388,511,622,510,605,664,"1,249",125,347,"1,742",452
2020년04월_계_20~29세,"22,249","1,371","1,311","2,490","1,180","1,092","1,332",711,"1,056","1,362","1,054",942,"1,326","2,385",246,663,"2,722","1,006"
2020년04월_계_30~39세,"18,247","1,000","1,006","2,015",924,831,"1,017",637,732,"1,049",760,"1,013","1,050","2,440",206,494,"2,323",750
2020년04월_계_40~49세,"23,721","1,113","1,362","2,349","1,396","1,215","1,350",838,"1,068","1,496","1,065","1,251","1,411","2,623",274,723,"3,053","1,134"
2020년04월_계_50~59세,"35,227","1,728","2,073","3,248","2,154","1,983","2,074","1,333","1,711","2,497","1,689","1,529","2,298","3,538",426,"1,201","4,076","1,669"
2020년04월_계_60~69세,"30,208","1,540","1,947","2,819","1,752","1,878","1,862","1,269","1,434","2,025","1,446","1,311","1,842","2,838",394,"1,079","3,329","1,443"
2020년04월_계_70~79세,"17,015",830,"1,246","1,533","1,105","1,377","1,040",816,814,"1,197",849,688,991,"1,363",200,526,"1,513",927
2020년04월_계_80~89세,"6,642",339,495,601,418,563,432,345,337,416,340,252,366,533,54,221,540,390
2020년04월_계_90~99세,745,32,46,72,55,63,38,27,30,35,35,31,49,80,7,21,89,35
2020년04월_계_100세 이상,99,9,7,2,8,18,11,1,7,4,6,1,3,4,6,0,12,0
2020년04월_남_총인구수,"87,167","4,390","5,115","8,381","5,097","4,946","5,034","3,370","3,924","5,871","4,062","4,058","5,244","9,140","1,063","2,899","10,452","4,121"
2020년04월_남_연령구간인구수,"87,167","4,390","5,115","8,381","5,097","4,946","5,034","3,370","3,924","5,871","4,062","4,058","5,244","9,140","1,063","2,899","10,452","4,121"
2020년04월_남_0~9세,"4,160",204,193,414,168,178,195,115,116,203,152,343,195,695,48,84,721,136
2020년04월_남_10~19세,"6,058",297,304,679,361,291,354,207,275,318,278,295,365,644,65,187,914,224
2020년04월_남_20~29세,"12,225",721,691,"1,358",664,603,706,385,585,803,596,505,718,"1,297",142,390,"1,490",571
2020년04월_남_30~39세,"10,320",553,599,"1,124",538,496,617,390,435,584,445,527,606,"1,285",117,318,"1,252",434
2020년04월_남_40~49세,"12,699",569,755,"1,148",803,694,718,463,540,895,584,647,774,"1,350",153,423,"1,546",637
2020년04월_남_50~59세,"17,650",823,"1,039","1,468","1,109","1,036",993,727,853,"1,385",873,740,"1,153","1,716",217,630,"2,017",871
2020년04월_남_60~69세,"14,182",716,870,"1,273",835,889,847,591,653,991,673,606,886,"1,341",195,560,"1,575",681
2020년04월_남_70~79세,"7,426",379,491,689,465,548,450,358,344,543,340,299,423,633,97,226,728,413
2020년04월_남_80~89세,"2,282",120,162,207,144,198,148,125,116,144,112,91,116,166,27,74,186,146
2020년04월_남_90~99세,142,6,9,21,7,13,3,9,5,4,6,4,8,13,1,7,18,8
2020년04월_남_100세 이상,23,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,5,0
2020년04월_여_총인구수,"86,640","4,491","5,322","8,896","4,893","4,931","5,190","3,207","4,001","5,219","3,984","4,226","5,121","9,332",967,"2,549","10,328","3,983"
2020년04월_여_연령구간인구수,"86,640","4,491","5,322","8,896","4,893","4,931","5,190","3,207","4,001","5,219","3,984","4,226","5,121","9,332",967,"2,549","10,328","3,983"
2020년04월_여_0~9세,"3,950",161,175,399,164,145,209,97,109,184,140,318,170,724,44,89,660,162
2020년04월_여_10~19세,"5,486",257,272,656,305,243,310,181,236,304,232,310,299,605,60,160,828,228
2020년04월_여_20~29세,"10,024",650,620,"1,132",516,489,626,326,471,559,458,437,608,"1,088",104,273,"1,232",435
2020년04월_여_30~39세,"7,927",447,407,891,386,335,400,247,297,465,315,486,444,"1,155",89,176,"1,071",316
2020년04월_여_40~49세,"11,022",544,607,"1,201",593,521,632,375,528,601,481,604,637,"1,273",121,300,"1,507",497
2020년04월_여_50~59세,"17,577",905,"1,034","1,780","1,045",947,"1,081",606,858,"1,112",816,789,"1,145","1,822",209,571,"2,059",798
2020년04월_여_60~69세,"16,026",824,"1,077","1,546",917,989,"1,015",678,781,"1,034",773,705,956,"1,497",199,519,"1,754",762
2020년04월_여_70~79세,"9,589",451,755,844,640,829,590,458,470,654,509,389,568,730,103,300,785,514
2020년04월_여_80~89세,"4,360",219,333,394,274,365,284,220,221,272,228,161,250,367,27,147,354,244
2020년04월_여_90~99세,603,26,37,51,48,50,35,18,25,31,29,27,41,67,6,14,71,27
2020년04월_여_100세 이상,76,7,5,2,5,18,8,1,5,3,3,0,3,4,5,0,7,0
