,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년04월_계_총인구수,"28,758","10,482","5,326","2,469","2,070","3,251","1,910","1,519","1,731"
2021년04월_계_연령구간인구수,"28,758","10,482","5,326","2,469","2,070","3,251","1,910","1,519","1,731"
2021년04월_계_0~9세,"1,149",621,248,57,56,71,42,23,31
2021년04월_계_10~19세,"1,922",917,403,100,138,172,69,33,90
2021년04월_계_20~29세,"2,135","1,083",433,122,99,134,86,72,106
2021년04월_계_30~39세,"1,926","1,008",396,87,78,132,73,74,78
2021년04월_계_40~49세,"3,214","1,457",673,197,179,311,139,122,136
2021년04월_계_50~59세,"5,495","1,925",962,503,395,680,400,285,345
2021년04월_계_60~69세,"6,559","1,882","1,053",679,559,861,580,462,483
2021년04월_계_70~79세,"3,871",989,738,418,360,537,310,254,265
2021년04월_계_80~89세,"2,176",522,374,257,183,309,188,173,170
2021년04월_계_90~99세,292,74,45,45,20,43,23,20,22
2021년04월_계_100세 이상,19,4,1,4,3,1,0,1,5
2021년04월_남_총인구수,"14,571","5,242","2,767","1,230","1,111","1,560","1,042",773,846
2021년04월_남_연령구간인구수,"14,571","5,242","2,767","1,230","1,111","1,560","1,042",773,846
2021년04월_남_0~9세,598,316,135,26,36,35,22,11,17
2021년04월_남_10~19세,"1,024",461,226,55,90,94,47,14,37
2021년04월_남_20~29세,"1,256",612,270,59,59,88,66,38,64
2021년04월_남_30~39세,"1,026",522,222,49,43,68,39,43,40
2021년04월_남_40~49세,"1,773",764,389,109,107,160,87,78,79
2021년04월_남_50~59세,"2,932","1,026",527,282,211,336,211,158,181
2021년04월_남_60~69세,"3,376",922,528,354,292,420,337,260,263
2021년04월_남_70~79세,"1,743",423,321,190,196,237,152,114,110
2021년04월_남_80~89세,759,178,137,92,71,112,72,50,47
2021년04월_남_90~99세,77,16,11,12,6,9,9,7,7
2021년04월_남_100세 이상,7,2,1,2,0,1,0,0,1
2021년04월_여_총인구수,"14,187","5,240","2,559","1,239",959,"1,691",868,746,885
2021년04월_여_연령구간인구수,"14,187","5,240","2,559","1,239",959,"1,691",868,746,885
2021년04월_여_0~9세,551,305,113,31,20,36,20,12,14
2021년04월_여_10~19세,898,456,177,45,48,78,22,19,53
2021년04월_여_20~29세,879,471,163,63,40,46,20,34,42
2021년04월_여_30~39세,900,486,174,38,35,64,34,31,38
2021년04월_여_40~49세,"1,441",693,284,88,72,151,52,44,57
2021년04월_여_50~59세,"2,563",899,435,221,184,344,189,127,164
2021년04월_여_60~69세,"3,183",960,525,325,267,441,243,202,220
2021년04월_여_70~79세,"2,128",566,417,228,164,300,158,140,155
2021년04월_여_80~89세,"1,417",344,237,165,112,197,116,123,123
2021년04월_여_90~99세,215,58,34,33,14,34,14,13,15
2021년04월_여_100세 이상,12,2,0,2,3,0,0,1,4
