,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년02월_계_총인구수,"218,774","37,269","40,166","38,892","16,565","29,838","35,927","10,065","10,052"
2021년02월_계_연령구간인구수,"218,774","37,269","40,166","38,892","16,565","29,838","35,927","10,065","10,052"
2021년02월_계_0~9세,"24,976","4,642","5,383","3,713","2,664","2,691","4,397",730,756
2021년02월_계_10~19세,"23,545","3,921","4,670","6,228","1,340","2,215","3,627",769,775
2021년02월_계_20~29세,"27,437","4,137","4,456","4,911","1,218","4,650","4,996","1,758","1,311"
2021년02월_계_30~39세,"33,941","5,788","6,678","3,854","3,443","4,939","6,207","1,610","1,422"
2021년02월_계_40~49세,"38,715","6,730","7,494","8,470","2,813","4,340","5,884","1,450","1,534"
2021년02월_계_50~59세,"38,745","6,202","6,331","7,171","2,182","6,358","6,586","1,993","1,922"
2021년02월_계_60~69세,"20,417","3,713","3,358","2,701","1,817","3,226","2,833","1,202","1,567"
2021년02월_계_70~79세,"7,476","1,502","1,204","1,247",679,965,937,394,548
2021년02월_계_80~89세,"3,058",545,521,519,350,393,396,137,197
2021년02월_계_90~99세,442,83,70,75,55,59,64,21,15
2021년02월_계_100세 이상,22,6,1,3,4,2,0,1,5
2021년02월_남_총인구수,"113,324","19,043","20,489","19,788","8,482","15,978","18,339","5,817","5,388"
2021년02월_남_연령구간인구수,"113,324","19,043","20,489","19,788","8,482","15,978","18,339","5,817","5,388"
2021년02월_남_0~9세,"12,816","2,361","2,794","1,914","1,316","1,414","2,278",363,376
2021년02월_남_10~19세,"12,270","2,014","2,409","3,277",685,"1,179","1,869",411,426
2021년02월_남_20~29세,"15,593","2,295","2,426","2,734",685,"2,664","2,758","1,224",807
2021년02월_남_30~39세,"17,644","2,915","3,350","1,855","1,717","2,841","3,156",995,815
2021년02월_남_40~49세,"19,872","3,522","3,881","3,978","1,590","2,318","2,876",827,880
2021년02월_남_50~59세,"19,919","3,138","3,182","3,881","1,094","3,244","3,302","1,112",966
2021년02월_남_60~69세,"10,740","1,939","1,714","1,430",955,"1,731","1,523",643,805
2021년02월_남_70~79세,"3,494",686,564,548,329,463,466,204,234
2021년02월_남_80~89세,906,158,158,158,102,115,104,35,76
2021년02월_남_90~99세,64,14,11,12,9,7,7,3,1
2021년02월_남_100세 이상,6,1,0,1,0,2,0,0,2
2021년02월_여_총인구수,"105,450","18,226","19,677","19,104","8,083","13,860","17,588","4,248","4,664"
2021년02월_여_연령구간인구수,"105,450","18,226","19,677","19,104","8,083","13,860","17,588","4,248","4,664"
2021년02월_여_0~9세,"12,160","2,281","2,589","1,799","1,348","1,277","2,119",367,380
2021년02월_여_10~19세,"11,275","1,907","2,261","2,951",655,"1,036","1,758",358,349
2021년02월_여_20~29세,"11,844","1,842","2,030","2,177",533,"1,986","2,238",534,504
2021년02월_여_30~39세,"16,297","2,873","3,328","1,999","1,726","2,098","3,051",615,607
2021년02월_여_40~49세,"18,843","3,208","3,613","4,492","1,223","2,022","3,008",623,654
2021년02월_여_50~59세,"18,826","3,064","3,149","3,290","1,088","3,114","3,284",881,956
2021년02월_여_60~69세,"9,677","1,774","1,644","1,271",862,"1,495","1,310",559,762
2021년02월_여_70~79세,"3,982",816,640,699,350,502,471,190,314
2021년02월_여_80~89세,"2,152",387,363,361,248,278,292,102,121
2021년02월_여_90~99세,378,69,59,63,46,52,57,18,14
2021년02월_여_100세 이상,16,5,1,2,4,0,0,1,3
