카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년01월_계_총인구수,"163,585","14,546","29,605","37,700","21,212","23,423","37,099"
2021년01월_계_연령구간인구수,"163,585","14,546","29,605","37,700","21,212","23,423","37,099"
2021년01월_계_0~9세,"13,016",884,"2,213","2,749","1,534","2,362","3,274"
2021년01월_계_10~19세,"14,561",972,"2,422","3,882","2,062","2,120","3,103"
2021년01월_계_20~29세,"23,456","2,521","4,177","4,972","3,316","3,258","5,212"
2021년01월_계_30~39세,"22,826","2,612","4,185","4,694","2,415","3,556","5,364"
2021년01월_계_40~49세,"24,587","1,778","4,426","5,957","3,176","3,614","5,636"
2021년01월_계_50~59세,"29,389","2,046","5,176","6,847","4,232","4,163","6,925"
2021년01월_계_60~69세,"21,610","2,191","3,801","5,391","2,729","2,721","4,777"
2021년01월_계_70~79세,"9,119","1,023","2,019","2,181","1,069","1,011","1,816"
2021년01월_계_80~89세,"4,235",428,"1,033",869,565,519,821
2021년01월_계_90~99세,739,88,139,153,102,94,163
2021년01월_계_100세 이상,47,3,14,5,12,5,8
2021년01월_남_총인구수,"81,379","7,392","15,055","18,719","10,412","11,511","18,290"
2021년01월_남_연령구간인구수,"81,379","7,392","15,055","18,719","10,412","11,511","18,290"
2021년01월_남_0~9세,"6,749",478,"1,154","1,371",806,"1,205","1,735"
2021년01월_남_10~19세,"7,506",510,"1,241","2,015","1,100","1,115","1,525"
2021년01월_남_20~29세,"12,332","1,308","2,270","2,619","1,692","1,689","2,754"
2021년01월_남_30~39세,"11,753","1,451","2,273","2,390","1,198","1,717","2,724"
2021년01월_남_40~49세,"12,128",917,"2,307","2,894","1,507","1,773","2,730"
2021년01월_남_50~59세,"14,145",970,"2,584","3,296","2,013","1,997","3,285"
2021년01월_남_60~69세,"10,837","1,086","1,912","2,712","1,397","1,377","2,353"
2021년01월_남_70~79세,"4,284",505,894,"1,072",484,443,886
2021년01월_남_80~89세,"1,464",150,375,317,193,174,255
2021년01월_남_90~99세,168,15,41,31,21,20,40
2021년01월_남_100세 이상,13,2,4,2,1,1,3
2021년01월_여_총인구수,"82,206","7,154","14,550","18,981","10,800","11,912","18,809"
2021년01월_여_연령구간인구수,"82,206","7,154","14,550","18,981","10,800","11,912","18,809"
2021년01월_여_0~9세,"6,267",406,"1,059","1,378",728,"1,157","1,539"
2021년01월_여_10~19세,"7,055",462,"1,181","1,867",962,"1,005","1,578"
2021년01월_여_20~29세,"11,124","1,213","1,907","2,353","1,624","1,569","2,458"
2021년01월_여_30~39세,"11,073","1,161","1,912","2,304","1,217","1,839","2,640"
2021년01월_여_40~49세,"12,459",861,"2,119","3,063","1,669","1,841","2,906"
2021년01월_여_50~59세,"15,244","1,076","2,592","3,551","2,219","2,166","3,640"
2021년01월_여_60~69세,"10,773","1,105","1,889","2,679","1,332","1,344","2,424"
2021년01월_여_70~79세,"4,835",518,"1,125","1,109",585,568,930
2021년01월_여_80~89세,"2,771",278,658,552,372,345,566
2021년01월_여_90~99세,571,73,98,122,81,74,123
2021년01월_여_100세 이상,34,1,10,3,11,4,5
