카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2020년08월_계_총인구수,"347,232","42,952","2,645","3,184","6,204","8,792","6,551","7,445","5,699","3,643","2,467","19,511","29,356","32,544","23,914","29,922","34,611","31,208","19,583","10,920","26,081"
2020년08월_계_연령구간인구수,"347,232","42,952","2,645","3,184","6,204","8,792","6,551","7,445","5,699","3,643","2,467","19,511","29,356","32,544","23,914","29,922","34,611","31,208","19,583","10,920","26,081"
2020년08월_계_0~9세,"46,987","3,355",84,99,346,308,214,337,207,85,106,"2,761","4,376","4,325","3,795","4,899","6,260","5,632","3,286","1,670","4,842"
2020년08월_계_10~19세,"41,416","4,211",106,128,374,424,306,437,397,128,185,"3,405","3,766","4,543","4,295","4,166","4,665","3,186","2,489","1,018","3,187"
2020년08월_계_20~29세,"36,241","6,295",343,307,731,863,954,816,567,292,280,"1,696","3,659","3,821","1,756","2,604","2,634","3,060","1,917","1,329","2,317"
2020년08월_계_30~39세,"60,795","5,411",314,284,692,865,789,704,512,270,187,"2,715","6,122","5,890","3,653","5,751","6,906","7,531","3,878","2,342","5,979"
2020년08월_계_40~49세,"66,950","6,932",320,338,868,999,923,926,720,366,347,"4,587","5,967","6,955","6,040","6,351","7,459","5,816","3,936","1,846","5,254"
2020년08월_계_50~59세,"43,814","6,697",535,551,"1,129","1,635","1,272","1,304","1,078",723,458,"2,490","3,150","3,805","2,572","3,137","3,385","3,469","2,260","1,579","2,585"
2020년08월_계_60~69세,"28,836","5,237",489,687,992,"1,758","1,071","1,368",967,868,408,"1,140","1,564","1,895","1,152","1,863","2,244","1,742","1,225",783,"1,383"
2020년08월_계_70~79세,"14,020","3,086",267,421,632,"1,165",587,926,682,522,279,488,520,845,452,789,793,548,417,227,374
2020년08월_계_80~89세,"6,963","1,484",162,305,394,663,379,550,485,331,195,193,190,384,160,310,218,176,146,102,136
2020년08월_계_90~99세,"1,154",229,23,60,44,106,54,74,78,51,21,34,42,81,39,52,45,46,29,23,23
2020년08월_계_100세 이상,56,15,2,4,2,6,2,3,6,7,1,2,0,0,0,0,2,2,0,1,1
2020년08월_남_총인구수,"173,183","22,142","1,487","1,652","3,421","4,638","3,716","4,031","3,014","1,982","1,302","9,599","14,135","15,708","11,845","14,522","16,901","15,371","9,612","5,422","12,683"
2020년08월_남_연령구간인구수,"173,183","22,142","1,487","1,652","3,421","4,638","3,716","4,031","3,014","1,982","1,302","9,599","14,135","15,708","11,845","14,522","16,901","15,371","9,612","5,422","12,683"
2020년08월_남_0~9세,"24,076","1,737",38,48,177,144,108,157,107,40,55,"1,424","2,250","2,257","1,981","2,497","3,189","2,871","1,680",871,"2,445"
2020년08월_남_10~19세,"20,777","2,143",57,68,205,220,163,237,225,67,90,"1,722","1,812","2,270","2,216","2,067","2,361","1,556","1,245",508,"1,545"
2020년08월_남_20~29세,"18,362","3,537",201,188,483,510,582,500,329,170,168,864,"1,596","1,690",898,"1,221","1,272","1,451",934,675,"1,093"
2020년08월_남_30~39세,"29,633","2,935",214,159,435,528,531,449,308,171,112,"1,227","2,888","2,740","1,615","2,669","3,229","3,657","1,791","1,160","2,815"
2020년08월_남_40~49세,"34,237","3,690",211,209,526,615,617,568,434,231,208,"2,224","2,966","3,389","2,934","3,202","3,741","2,932","1,993",911,"2,636"
2020년08월_남_50~59세,"22,783","3,534",315,308,665,908,716,750,604,430,259,"1,293","1,572","1,973","1,375","1,554","1,603","1,728","1,144",782,"1,270"
2020년08월_남_60~69세,"14,293","2,589",276,370,497,923,570,719,517,485,219,566,750,903,551,840,"1,042",869,576,376,655
2020년08월_남_70~79세,"6,418","1,346",122,193,269,549,275,420,297,260,122,215,244,369,216,368,376,264,208,112,193
2020년08월_남_80~89세,"2,341",563,52,94,148,218,139,213,180,118,66,53,49,101,49,91,80,35,37,24,31
2020년08월_남_90~99세,252,65,1,14,15,23,15,18,12,8,2,11,8,16,10,13,8,7,4,2,0
2020년08월_남_100세 이상,11,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0
2020년08월_여_총인구수,"174,049","20,810","1,158","1,532","2,783","4,154","2,835","3,414","2,685","1,661","1,165","9,912","15,221","16,836","12,069","15,400","17,710","15,837","9,971","5,498","13,398"
2020년08월_여_연령구간인구수,"174,049","20,810","1,158","1,532","2,783","4,154","2,835","3,414","2,685","1,661","1,165","9,912","15,221","16,836","12,069","15,400","17,710","15,837","9,971","5,498","13,398"
