카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020년08월_계_총인구수,"286,865","14,806","26,553","20,573","39,377","43,163","15,632","30,657","12,577","12,597","11,286","12,857","27,521","19,266"
2020년08월_계_연령구간인구수,"286,865","14,806","26,553","20,573","39,377","43,163","15,632","30,657","12,577","12,597","11,286","12,857","27,521","19,266"
2020년08월_계_0~9세,"19,557",754,"1,508",991,"2,249","4,186","1,007","2,717",504,459,485,953,"2,409","1,335"
2020년08월_계_10~19세,"23,894",721,"1,817","1,594","3,308","4,623","1,313","4,033",595,672,666,791,"2,426","1,335"
2020년08월_계_20~29세,"38,349","2,090","3,785","3,035","4,657","6,075","2,305","4,015","1,590","1,963","1,471","1,533","3,341","2,489"
2020년08월_계_30~39세,"34,440","2,003","3,401","2,078","3,946","5,630","1,713","3,263","1,575","1,557","1,213","2,056","3,506","2,499"
2020년08월_계_40~49세,"41,090","1,769","3,513","2,974","5,441","6,728","2,046","5,593","1,548","1,580","1,504","1,601","4,258","2,535"
2020년08월_계_50~59세,"54,890","3,004","5,386","4,367","7,689","8,487","3,284","5,464","2,319","2,396","2,021","2,282","4,712","3,479"
2020년08월_계_60~69세,"44,394","2,656","4,369","3,433","6,469","5,021","2,305","3,103","2,472","2,339","2,140","2,197","4,311","3,579"
2020년08월_계_70~79세,"21,119","1,272","1,992","1,551","3,594","1,748","1,101","1,718","1,323","1,132","1,269","1,070","1,866","1,483"
2020년08월_계_80~89세,"8,018",475,691,484,"1,825",580,448,666,580,431,465,325,594,454
2020년08월_계_90~99세,"1,015",57,75,62,196,80,73,84,67,63,46,44,91,77
2020년08월_계_100세 이상,99,5,16,4,3,5,37,1,4,5,6,5,7,1
2020년08월_남_총인구수,"141,959","7,506","13,656","10,585","19,076","21,257","7,617","15,011","6,191","6,265","5,518","6,318","13,533","9,426"
2020년08월_남_연령구간인구수,"141,959","7,506","13,656","10,585","19,076","21,257","7,617","15,011","6,191","6,265","5,518","6,318","13,533","9,426"
2020년08월_남_0~9세,"10,085",363,816,527,"1,139","2,166",525,"1,391",253,238,260,474,"1,248",685
2020년08월_남_10~19세,"12,419",343,969,857,"1,692","2,385",665,"2,114",324,355,346,399,"1,255",715
2020년08월_남_20~29세,"20,634","1,108","2,051","1,710","2,518","3,251","1,244","2,152",858,"1,018",793,796,"1,758","1,377"
2020년08월_남_30~39세,"17,828","1,128","1,869","1,154","2,071","2,686",891,"1,513",867,886,668,"1,073","1,751","1,271"
2020년08월_남_40~49세,"20,328",986,"1,837","1,551","2,641","3,113",967,"2,551",806,839,801,832,"2,130","1,274"
2020년08월_남_50~59세,"26,230","1,486","2,697","2,147","3,649","3,989","1,502","2,746","1,130","1,158",979,"1,047","2,212","1,488"
2020년08월_남_60~69세,"21,896","1,326","2,201","1,730","3,309","2,597","1,158","1,487","1,163","1,102",982,"1,066","2,061","1,714"
2020년08월_남_70~79세,"9,642",596,949,725,"1,463",880,494,758,586,516,541,512,901,721
2020년08월_남_80~89세,"2,679",158,255,175,547,180,139,280,189,139,137,116,196,168
2020년08월_남_90~99세,197,11,10,9,47,10,20,19,15,13,9,2,19,13
2020년08월_남_100세 이상,21,1,2,0,0,0,12,0,0,1,2,1,2,0
2020년08월_여_총인구수,"144,906","7,300","12,897","9,988","20,301","21,906","8,015","15,646","6,386","6,332","5,768","6,539","13,988","9,840"
2020년08월_여_연령구간인구수,"144,906","7,300","12,897","9,988","20,301","21,906","8,015","15,646","6,386","6,332","5,768","6,539","13,988","9,840"
2020년08월_여_0~9세,"9,472",391,692,464,"1,110","2,020",482,"1,326",251,221,225,479,"1,161",650
2020년08월_여_10~19세,"11,475",378,848,737,"1,616","2,238",648,"1,919",271,317,320,392,"1,171",620
2020년08월_여_20~29세,"17,715",982,"1,734","1,325","2,139","2,824","1,061","1,863",732,945,678,737,"1,583","1,112"
2020년08월_여_30~39세,"16,612",875,"1,532",924,"1,875","2,944",822,"1,750",708,671,545,983,"1,755","1,228"
2020년08월_여_40~49세,"20,762",783,"1,676","1,423","2,800","3,615","1,079","3,042",742,741,703,769,"2,128","1,261"
2020년08월_여_50~59세,"28,660","1,518","2,689","2,220","4,040","4,498","1,782","2,718","1,189","1,238","1,042","1,235","2,500","1,991"
2020년08월_여_60~69세,"22,498","1,330","2,168","1,703","3,160","2,424","1,147","1,616","1,309","1,237","1,158","1,131","2,250","1,865"
2020년08월_여_70~79세,"11,477",676,"1,043",826,"2,131",868,607,960,737,616,728,558,965,762
2020년08월_여_80~89세,"5,339",317,436,309,"1,278",400,309,386,391,292,328,209,398,286
2020년08월_여_90~99세,818,46,65,53,149,70,53,65,52,50,37,42,72,64
2020년08월_여_100세 이상,78,4,14,4,3,5,25,1,4,4,4,4,5,1
