카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년10월_계_총인구수,"294,895","17,137","27,246","22,899","11,918","14,158","24,188","15,805","15,783","23,483","14,750","26,765","16,645","13,549","16,672","11,222","10,774","11,901"
2020년10월_계_연령구간인구수,"294,895","17,137","27,246","22,899","11,918","14,158","24,188","15,805","15,783","23,483","14,750","26,765","16,645","13,549","16,672","11,222","10,774","11,901"
2020년10월_계_0~9세,"20,671","1,216","2,397","1,212",425,"1,005","1,853","1,200","1,335","1,768","1,391","2,626","1,048",776,847,583,549,440
2020년10월_계_10~19세,"20,137","1,207","1,609","1,673",823,"1,014","2,153","1,695","1,066","1,498",971,"1,676","1,138",931,908,537,608,630
2020년10월_계_20~29세,"45,274","2,522","4,437","4,395","4,568","2,252","3,046","1,760","1,831","2,964","1,519","3,027","2,581","2,163","2,361","2,039","1,717","2,092"
2020년10월_계_30~39세,"49,241","2,966","4,799","3,270","1,622","2,301","3,726","2,265","2,804","4,198","2,807","5,125","2,919","2,488","2,621","1,991","1,658","1,681"
2020년10월_계_40~49세,"45,357","2,649","4,048","3,078","1,147","2,189","4,132","2,953","2,577","3,752","2,581","4,517","2,439","2,117","2,347","1,492","1,576","1,763"
2020년10월_계_50~59세,"47,459","2,779","4,465","3,719","1,290","2,286","3,924","2,471","2,397","3,710","2,155","3,949","3,043","2,083","3,168","1,833","1,971","2,216"
2020년10월_계_60~69세,"36,309","2,079","3,030","3,000",941,"1,672","2,770","1,689","2,078","2,989","1,769","3,184","2,097","1,685","2,605","1,513","1,596","1,612"
2020년10월_계_70~79세,"20,587","1,197","1,629","1,736",752,973,"1,748","1,186","1,124","1,749","1,051","1,758",945,898,"1,246",822,752,"1,021"
2020년10월_계_80~89세,"8,434",439,700,703,301,389,714,508,496,729,446,741,381,350,481,360,293,403
2020년10월_계_90~99세,"1,178",63,108,96,38,68,100,69,63,99,51,133,46,43,74,42,46,39
2020년10월_계_100세 이상,248,20,24,17,11,9,22,9,12,27,9,29,8,15,14,10,8,4
2020년10월_남_총인구수,"144,059","8,331","12,998","11,310","6,095","6,831","11,351","7,482","7,546","11,189","7,046","12,477","8,315","6,664","8,721","5,699","5,683","6,321"
2020년10월_남_연령구간인구수,"144,059","8,331","12,998","11,310","6,095","6,831","11,351","7,482","7,546","11,189","7,046","12,477","8,315","6,664","8,721","5,699","5,683","6,321"
2020년10월_남_0~9세,"10,593",636,"1,220",622,225,513,912,607,676,915,713,"1,345",564,392,445,301,279,228
2020년10월_남_10~19세,"10,050",612,823,846,353,476,989,831,558,748,504,848,591,471,467,272,338,323
2020년10월_남_20~29세,"22,381","1,209","2,049","2,191","2,489","1,099","1,442",867,913,"1,500",773,"1,370","1,330","1,065","1,260",945,890,989
2020년10월_남_30~39세,"24,219","1,483","2,250","1,682",913,"1,138","1,774","1,104","1,304","2,016","1,307","2,291","1,451","1,217","1,416","1,048",901,924
2020년10월_남_40~49세,"22,744","1,322","2,024","1,561",592,"1,059","1,992","1,399","1,320","1,839","1,290","2,228","1,184","1,031","1,247",771,869,"1,016"
2020년10월_남_50~59세,"23,685","1,349","2,120","1,825",638,"1,106","1,918","1,202","1,150","1,763","1,051","1,835","1,545","1,077","1,723",993,"1,075","1,315"
2020년10월_남_60~69세,"17,674","1,001","1,513","1,477",428,836,"1,262",756,939,"1,374",788,"1,450","1,069",844,"1,382",817,856,882
2020년10월_남_70~79세,"9,162",525,725,794,325,431,762,504,481,750,451,776,421,430,573,389,349,476
2020년10월_남_80~89세,"3,158",171,241,281,116,149,268,191,182,247,151,293,139,120,193,143,114,159
2020년10월_남_90~99세,324,16,27,28,10,22,24,18,21,31,14,33,18,12,14,17,11,8
2020년10월_남_100세 이상,69,7,6,3,6,2,8,3,2,6,4,8,3,5,1,3,1,1
