,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년03월_계_총인구수,"282,328","7,631","19,728","1,464","2,562","1,072","3,786","2,531",944,"17,307","3,470","3,579","2,770","2,185","8,662","9,494","11,790","14,918","21,211","4,516","11,922","4,467","35,201","49,676","19,099","22,343"
2021년03월_계_연령구간인구수,"282,328","7,631","19,728","1,464","2,562","1,072","3,786","2,531",944,"17,307","3,470","3,579","2,770","2,185","8,662","9,494","11,790","14,918","21,211","4,516","11,922","4,467","35,201","49,676","19,099","22,343"
2021년03월_계_0~9세,"21,417",330,"2,158",27,106,25,107,62,12,"1,420",81,102,83,76,920,745,511,"1,298","1,784",336,406,154,"2,440","4,449","1,544","2,241"
2021년03월_계_10~19세,"26,803",460,"2,471",58,130,30,184,143,23,"1,718",158,185,128,116,664,756,864,"1,440","1,922",377,679,224,"4,338","5,895","1,577","2,263"
2021년03월_계_20~29세,"37,284",761,"1,925",123,254,35,227,190,37,"2,169",227,883,359,260,998,"1,218","1,869","2,164","2,658",540,"2,716",976,"5,074","6,380","2,436","2,805"
2021년03월_계_30~39세,"34,070",648,"2,395",96,189,59,230,111,36,"2,329",244,402,299,199,"1,435","1,205","1,332","2,131","2,847",468,"1,313",600,"3,679","6,181","2,635","3,007"
2021년03월_계_40~49세,"42,139",881,"3,610",112,246,83,338,218,58,"2,858",365,384,345,245,"1,160","1,331","1,523","2,139","3,101",683,"1,378",494,"5,856","8,400","2,820","3,511"
2021년03월_계_50~59세,"46,737","1,418","3,064",254,504,210,694,475,189,"2,792",663,509,476,389,"1,214","1,653","1,951","2,387","3,420",757,"1,796",663,"6,275","8,373","3,202","3,409"
2021년03월_계_60~69세,"39,077","1,489","2,464",405,601,281,956,660,294,"2,285",914,513,497,390,"1,112","1,325","1,926","1,735","2,969",682,"1,733",671,"4,046","5,697","2,746","2,686"
2021년03월_계_70~79세,"20,874",927,995,207,282,196,573,394,186,"1,043",502,371,333,304,689,774,"1,113",965,"1,515",402,"1,152",402,"2,119","2,584","1,365","1,481"
2021년03월_계_80~89세,"11,967",621,528,165,220,130,401,237,97,585,272,207,207,168,404,415,605,572,863,234,662,248,"1,201","1,478",642,805
2021년03월_계_90~99세,"1,899",94,115,16,30,22,71,41,12,104,40,21,43,37,62,67,95,83,129,36,85,34,168,236,125,133
2021년03월_계_100세 이상,61,2,3,1,0,1,5,0,0,4,4,2,0,1,4,5,1,4,3,1,2,1,5,3,7,2
2021년03월_남_총인구수,"139,420","3,832","9,777",799,"1,319",580,"1,940","1,255",519,"8,641","1,828","1,851","1,350","1,062","4,385","4,609","5,853","7,120","10,099","2,257","6,337","2,247","17,251","23,916","9,343","11,250"
2021년03월_남_연령구간인구수,"139,420","3,832","9,777",799,"1,319",580,"1,940","1,255",519,"8,641","1,828","1,851","1,350","1,062","4,385","4,609","5,853","7,120","10,099","2,257","6,337","2,247","17,251","23,916","9,343","11,250"
2021년03월_남_0~9세,"10,990",158,"1,117",10,57,18,49,32,6,755,47,65,47,37,495,358,266,652,901,163,197,85,"1,222","2,272",800,"1,181"
2021년03월_남_10~19세,"13,917",239,"1,272",38,55,16,109,81,11,895,83,103,68,61,372,402,443,758,967,210,348,113,"2,209","3,039",813,"1,212"
2021년03월_남_20~29세,"19,902",430,"1,048",73,153,21,124,114,21,"1,107",125,482,182,155,518,640,983,"1,087","1,353",299,"1,636",473,"2,659","3,351","1,276","1,592"
2021년03월_남_30~39세,"17,406",348,"1,125",60,103,34,121,64,24,"1,208",142,223,165,104,756,616,745,"1,070","1,443",249,783,332,"1,896","2,970","1,342","1,483"
2021년03월_남_40~49세,"20,824",474,"1,785",74,138,52,198,108,33,"1,464",219,208,195,128,595,673,785,"1,006","1,493",353,783,282,"2,755","3,886","1,376","1,761"
2021년03월_남_50~59세,"23,483",748,"1,563",150,290,127,380,232,108,"1,406",373,271,249,207,680,811,989,"1,127","1,612",376,"1,000",341,"3,165","4,016","1,508","1,754"
2021년03월_남_60~69세,"18,941",768,"1,217",230,298,156,528,338,180,"1,124",466,235,237,188,541,628,911,799,"1,383",326,842,324,"1,964","2,706","1,284","1,268"
2021년03월_남_70~79세,"9,177",428,448,98,144,95,290,191,90,449,258,187,134,117,256,310,494,405,637,166,486,174,886,"1,088",675,671
2021년03월_남_80~89세,"4,300",210,183,62,75,55,128,88,43,203,101,69,64,57,145,149,217,189,276,104,248,113,456,530,237,298
2021년03월_남_90~99세,463,28,19,4,6,6,13,7,3,29,12,7,9,7,25,20,20,27,32,11,12,10,38,58,30,30
2021년03월_남_100세 이상,17,1,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0,0,2,0,2,0,1,0,2,0
2021년03월_여_총인구수,"142,908","3,799","9,951",665,"1,243",492,"1,846","1,276",425,"8,666","1,642","1,728","1,420","1,123","4,277","4,885","5,937","7,798","11,112","2,259","5,585","2,220","17,950","25,760","9,756","11,093"
