,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년09월_계_총인구수,"282,012","7,747","19,695","1,487","2,573","1,087","3,859","2,592",958,"17,441","3,528","3,611","2,926","2,278","8,952","9,937","11,953","15,113","21,304","4,606","12,047","4,536","35,717","49,702","17,678","20,685"
2020년09월_계_연령구간인구수,"282,012","7,747","19,695","1,487","2,573","1,087","3,859","2,592",958,"17,441","3,528","3,611","2,926","2,278","8,952","9,937","11,953","15,113","21,304","4,606","12,047","4,536","35,717","49,702","17,678","20,685"
2020년09월_계_0~9세,"21,811",350,"2,215",30,108,25,119,72,14,"1,510",82,99,82,84,982,816,556,"1,325","1,791",344,449,154,"2,659","4,520","1,362","2,063"
2020년09월_계_10~19세,"27,073",458,"2,453",65,143,34,183,154,23,"1,715",167,184,145,118,680,766,877,"1,490","2,022",400,678,233,"4,446","6,015","1,462","2,162"
2020년09월_계_20~29세,"37,147",814,"1,917",131,256,38,244,184,35,"2,182",245,856,398,270,"1,044","1,232","1,884","2,173","2,655",553,"2,710","1,028","5,129","6,282","2,327","2,560"
2020년09월_계_30~39세,"34,356",683,"2,482",92,194,67,239,115,38,"2,437",273,430,308,211,"1,468","1,322","1,389","2,154","2,907",490,"1,317",620,"3,872","6,333","2,330","2,585"
2020년09월_계_40~49세,"42,487",910,"3,583",119,256,87,356,231,66,"2,901",366,389,374,259,"1,197","1,384","1,553","2,208","3,165",702,"1,434",500,"6,046","8,521","2,567","3,313"
2020년09월_계_50~59세,"47,079","1,475","3,089",273,526,211,723,495,195,"2,824",690,529,514,406,"1,278","1,732","2,048","2,483","3,460",772,"1,844",685,"6,262","8,343","3,039","3,183"
2020년09월_계_60~69세,"37,492","1,411","2,350",387,567,280,932,649,288,"2,164",891,520,518,413,"1,095","1,339","1,868","1,671","2,838",663,"1,689",639,"3,872","5,421","2,566","2,461"
2020년09월_계_70~79세,"21,034",946,992,218,283,190,577,416,193,"1,029",517,372,340,296,751,833,"1,119",977,"1,525",427,"1,184",410,"2,102","2,587","1,306","1,444"
