카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년02월_계_총인구수,"62,161","17,321","12,327","2,074","1,669","3,919","2,583","1,813","2,589","2,377","5,677","1,862","2,788","1,533","3,629"
2020년02월_계_연령구간인구수,"62,161","17,321","12,327","2,074","1,669","3,919","2,583","1,813","2,589","2,377","5,677","1,862","2,788","1,533","3,629"
2020년02월_계_0~9세,"3,555","1,457","1,032",66,31,118,71,42,148,71,234,41,102,40,102
2020년02월_계_10~19세,"4,299","1,612",930,132,74,178,266,61,183,76,372,56,168,50,141
2020년02월_계_20~29세,"5,180","1,821",970,138,100,290,145,94,203,180,539,92,225,100,283
2020년02월_계_30~39세,"5,479","1,974","1,310",105,101,246,160,108,202,153,452,110,206,88,264
2020년02월_계_40~49세,"7,253","2,416","1,744",148,148,399,188,146,306,202,658,149,293,145,311
2020년02월_계_50~59세,"11,256","2,922","2,181",330,323,731,454,303,439,483,"1,169",353,526,306,736
2020년02월_계_60~69세,"11,574","2,556","2,055",396,387,813,537,418,485,508,"1,114",402,611,384,908
2020년02월_계_70~79세,"8,021","1,565","1,301",408,266,670,432,384,358,398,707,373,381,248,530
2020년02월_계_80~89세,"4,913",897,710,303,214,422,299,225,233,272,384,255,237,147,315
2020년02월_계_90~99세,606,99,88,48,24,50,28,32,28,32,48,31,37,25,36
2020년02월_계_100세 이상,25,2,6,0,1,2,3,0,4,2,0,0,2,0,3
2020년02월_남_총인구수,"30,941","8,615","6,196","1,037",809,"2,009","1,228",882,"1,339","1,177","2,864",906,"1,363",761,"1,755"
2020년02월_남_연령구간인구수,"30,941","8,615","6,196","1,037",809,"2,009","1,228",882,"1,339","1,177","2,864",906,"1,363",761,"1,755"
2020년02월_남_0~9세,"1,842",752,533,28,18,58,36,23,89,37,116,25,55,20,52
2020년02월_남_10~19세,"2,313",840,508,86,58,115,108,27,103,39,209,32,81,29,78
2020년02월_남_20~29세,"2,971",999,548,87,58,188,83,55,130,105,321,61,117,59,160
2020년02월_남_30~39세,"3,029","1,058",683,59,55,141,96,74,114,95,259,67,127,54,147
2020년02월_남_40~49세,"4,101","1,290","1,000",92,80,243,122,92,180,119,374,92,153,89,175
2020년02월_남_50~59세,"5,927","1,484","1,120",173,171,440,237,175,255,276,607,192,277,147,373
2020년02월_남_60~69세,"5,764","1,223","1,024",223,193,409,260,204,243,260,552,211,309,200,453
2020년02월_남_70~79세,"3,421",688,553,171,118,272,189,158,145,164,307,144,164,124,224
2020년02월_남_80~89세,"1,465",262,215,105,49,134,88,70,75,79,114,77,74,36,87
2020년02월_남_90~99세,105,19,11,13,9,8,8,4,5,3,5,5,6,3,6
2020년02월_남_100세 이상,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"31,220","8,706","6,131","1,037",860,"1,910","1,355",931,"1,250","1,200","2,813",956,"1,425",772,"1,874"
2020년02월_여_연령구간인구수,"31,220","8,706","6,131","1,037",860,"1,910","1,355",931,"1,250","1,200","2,813",956,"1,425",772,"1,874"
2020년02월_여_0~9세,"1,713",705,499,38,13,60,35,19,59,34,118,16,47,20,50
2020년02월_여_10~19세,"1,986",772,422,46,16,63,158,34,80,37,163,24,87,21,63
2020년02월_여_20~29세,"2,209",822,422,51,42,102,62,39,73,75,218,31,108,41,123
2020년02월_여_30~39세,"2,450",916,627,46,46,105,64,34,88,58,193,43,79,34,117
2020년02월_여_40~49세,"3,152","1,126",744,56,68,156,66,54,126,83,284,57,140,56,136
2020년02월_여_50~59세,"5,329","1,438","1,061",157,152,291,217,128,184,207,562,161,249,159,363
2020년02월_여_60~69세,"5,810","1,333","1,031",173,194,404,277,214,242,248,562,191,302,184,455
2020년02월_여_70~79세,"4,600",877,748,237,148,398,243,226,213,234,400,229,217,124,306
2020년02월_여_80~89세,"3,448",635,495,198,165,288,211,155,158,193,270,178,163,111,228
2020년02월_여_90~99세,501,80,77,35,15,42,20,28,23,29,43,26,31,22,30
2020년02월_여_100세 이상,22,2,5,0,1,1,2,0,4,2,0,0,2,0,3
