,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년05월_계_총인구수,"317,747","20,459","14,663","13,189","11,638","27,907","22,204","25,883","18,012","16,287","11,743","28,020","40,609","28,728","11,770","19,928","6,707"
2020년05월_계_연령구간인구수,"317,747","20,459","14,663","13,189","11,638","27,907","22,204","25,883","18,012","16,287","11,743","28,020","40,609","28,728","11,770","19,928","6,707"
2020년05월_계_0~9세,"21,223","1,188",962,609,573,"1,753","1,305","1,553","1,160","1,176","1,073","2,114","3,351","1,867","1,355","1,030",154
2020년05월_계_10~19세,"26,391","1,617","1,158",785,844,"2,434","1,781","2,214","1,229","1,373",997,"2,500","4,136","2,628",857,"1,541",297
2020년05월_계_20~29세,"41,069","2,399","1,632","1,558","1,481","3,678","3,735","4,989","2,052","2,292","1,157","3,584","4,659","3,518","1,331","2,394",610
2020년05월_계_30~39세,"38,949","2,432","1,642","1,618","1,224","3,266","2,993","3,399","2,344","2,306","1,669","3,854","4,664","2,912","2,147","1,971",508
2020년05월_계_40~49세,"47,219","2,825","2,222","1,703","1,625","4,010","3,106","3,622","2,654","2,443","2,103","4,450","6,816","4,271","1,804","2,739",826
2020년05월_계_50~59세,"56,417","3,553","2,424","2,294","2,033","5,015","3,800","4,273","3,345","2,992","1,889","4,909","7,268","5,603","1,840","3,866","1,313"
2020년05월_계_60~69세,"49,794","3,413","2,551","2,537","2,135","4,594","3,232","3,418","2,991","2,359","1,648","4,134","5,594","4,612","1,528","3,671","1,377"
2020년05월_계_70~79세,"25,832","2,033","1,514","1,445","1,234","2,247","1,587","1,756","1,595",945,892,"1,859","2,832","2,227",654,"1,937","1,075"
2020년05월_계_80~89세,"9,402",846,483,550,429,816,585,592,538,346,284,541,"1,111",931,207,677,466
2020년05월_계_90~99세,"1,286",126,66,76,52,83,70,63,82,53,29,71,167,152,42,88,66
2020년05월_계_100세 이상,165,27,9,14,8,11,10,4,22,2,2,4,11,7,5,14,15
2020년05월_남_총인구수,"158,447","9,905","7,220","6,350","5,650","13,723","11,128","12,917","9,251","8,151","6,101","14,229","20,357","14,141","5,998","9,874","3,452"
2020년05월_남_연령구간인구수,"158,447","9,905","7,220","6,350","5,650","13,723","11,128","12,917","9,251","8,151","6,101","14,229","20,357","14,141","5,998","9,874","3,452"
2020년05월_남_0~9세,"10,869",630,500,311,303,911,669,801,585,608,535,"1,127","1,668",938,708,502,73
2020년05월_남_10~19세,"13,759",853,586,407,421,"1,270",916,"1,075",643,742,539,"1,300","2,234","1,355",468,800,150
2020년05월_남_20~29세,"22,076","1,245",872,806,807,"1,954","1,993","2,796","1,122","1,153",636,"1,922","2,539","1,951",681,"1,244",355
2020년05월_남_30~39세,"20,593","1,275",845,889,663,"1,701","1,637","1,824","1,313","1,209",882,"2,038","2,357","1,483","1,103","1,064",310
2020년05월_남_40~49세,"24,125","1,399","1,161",902,775,"1,967","1,538","1,808","1,457","1,249","1,165","2,325","3,374","2,068",973,"1,464",500
2020년05월_남_50~59세,"27,560","1,622","1,196","1,071",967,"2,286","1,830","2,023","1,702","1,430","1,050","2,399","3,679","2,746",918,"1,882",759
2020년05월_남_60~69세,"24,082","1,601","1,159","1,130",961,"2,207","1,576","1,573","1,523","1,167",804,"2,041","2,840","2,303",750,"1,754",693
2020년05월_남_70~79세,"11,865",944,723,628,588,"1,105",738,787,698,460,392,881,"1,268",976,325,909,443
2020년05월_남_80~89세,"3,232",302,165,181,152,303,222,217,183,121,93,184,354,293,67,238,157
2020년05월_남_90~99세,251,28,13,19,12,16,6,12,20,12,4,11,43,27,5,15,8
2020년05월_남_100세 이상,35,6,0,6,1,3,3,1,5,0,1,1,1,1,0,2,4
2020년05월_여_총인구수,"159,300","10,554","7,443","6,839","5,988","14,184","11,076","12,966","8,761","8,136","5,642","13,791","20,252","14,587","5,772","10,054","3,255"
2020년05월_여_연령구간인구수,"159,300","10,554","7,443","6,839","5,988","14,184","11,076","12,966","8,761","8,136","5,642","13,791","20,252","14,587","5,772","10,054","3,255"
2020년05월_여_0~9세,"10,354",558,462,298,270,842,636,752,575,568,538,987,"1,683",929,647,528,81
2020년05월_여_10~19세,"12,632",764,572,378,423,"1,164",865,"1,139",586,631,458,"1,200","1,902","1,273",389,741,147
2020년05월_여_20~29세,"18,993","1,154",760,752,674,"1,724","1,742","2,193",930,"1,139",521,"1,662","2,120","1,567",650,"1,150",255
2020년05월_여_30~39세,"18,356","1,157",797,729,561,"1,565","1,356","1,575","1,031","1,097",787,"1,816","2,307","1,429","1,044",907,198
2020년05월_여_40~49세,"23,094","1,426","1,061",801,850,"2,043","1,568","1,814","1,197","1,194",938,"2,125","3,442","2,203",831,"1,275",326
2020년05월_여_50~59세,"28,857","1,931","1,228","1,223","1,066","2,729","1,970","2,250","1,643","1,562",839,"2,510","3,589","2,857",922,"1,984",554
2020년05월_여_60~69세,"25,712","1,812","1,392","1,407","1,174","2,387","1,656","1,845","1,468","1,192",844,"2,093","2,754","2,309",778,"1,917",684
2020년05월_여_70~79세,"13,967","1,089",791,817,646,"1,142",849,969,897,485,500,978,"1,564","1,251",329,"1,028",632
2020년05월_여_80~89세,"6,170",544,318,369,277,513,363,375,355,225,191,357,757,638,140,439,309
2020년05월_여_90~99세,"1,035",98,53,57,40,67,64,51,62,41,25,60,124,125,37,73,58
2020년05월_여_100세 이상,130,21,9,8,7,8,7,3,17,2,1,3,10,6,5,12,11
