카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일제1동,서울특별시 강동구 상일제2동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년08월_계_총인구수,"464,411","32,360","38,905","9,941","25,881","17,524","24,875","22,499","34,661","15,197","17,920","27,050","33,290","26,194","20,168","23,841","23,329","45,830",134,"24,812"
2021년08월_계_연령구간인구수,"464,411","32,360","38,905","9,941","25,881","17,524","24,875","22,499","34,661","15,197","17,920","27,050","33,290","26,194","20,168","23,841","23,329","45,830",134,"24,812"
2021년08월_계_0~9세,"35,054","3,020","5,059",869,"2,120","1,115","2,825","2,560","2,086","1,368","1,871","1,373","1,630","1,272","1,531","1,048","1,211","2,397",3,"1,696"
2021년08월_계_10~19세,"38,968","3,618","4,009","1,308","2,442","2,471","3,474","2,002","2,532",986,"1,930","1,733","1,757","1,220","1,692","1,142","1,744","2,850",6,"2,052"
2021년08월_계_20~29세,"61,205","3,590","3,982","1,436","3,125","2,269","2,247","2,332","4,766","1,930","1,927","3,739","4,871","4,240","2,789","3,857","3,627","7,068",16,"3,394"
2021년08월_계_30~39세,"71,999","4,686","6,009","1,352","3,963","1,920","3,139","3,876","5,011","2,827","2,386","3,966","6,067","4,734","3,255","4,262","3,487","7,441",14,"3,604"
2021년08월_계_40~49세,"74,909","5,284","7,278","1,540","4,181","3,056","5,327","3,946","5,456","2,369","3,243","3,989","4,829","3,708","3,300","3,331","3,559","6,776",24,"3,713"
2021년08월_계_50~59세,"71,855","4,576","5,429","1,469","4,029","2,731","3,391","3,235","5,865","2,240","2,631","4,527","5,395","4,158","3,031","3,767","3,968","7,294",19,"4,100"
2021년08월_계_60~69세,"66,141","4,432","4,858","1,001","3,705","2,550","2,804","2,904","5,133","1,977","2,422","4,541","5,031","3,965","2,673","3,732","3,344","7,275",31,"3,763"
2021년08월_계_70~79세,"31,292","2,148","1,699",610,"1,643","1,001","1,084","1,167","2,728","1,091","1,070","2,264","2,650","2,055","1,359","1,899","1,714","3,374",12,"1,724"
2021년08월_계_80~89세,"11,016",828,481,295,558,323,440,400,940,360,370,783,933,743,462,714,586,"1,159",4,637
2021년08월_계_90~99세,"1,848",173,98,57,111,85,115,75,135,47,66,131,125,91,74,80,82,184,4,115
2021년08월_계_100세 이상,124,5,3,4,4,3,29,2,9,2,4,4,2,8,2,9,7,12,1,14
2021년08월_남_총인구수,"228,196","15,549","19,209","4,710","12,605","8,633","12,639","11,343","17,211","7,369","8,778","13,276","16,378","12,856","9,744","11,741","11,475","22,387",77,"12,216"
2021년08월_남_연령구간인구수,"228,196","15,549","19,209","4,710","12,605","8,633","12,639","11,343","17,211","7,369","8,778","13,276","16,378","12,856","9,744","11,741","11,475","22,387",77,"12,216"
2021년08월_남_0~9세,"18,207","1,591","2,615",426,"1,080",569,"1,511","1,322","1,058",712,957,685,839,684,814,546,640,"1,261",2,895
2021년08월_남_10~19세,"20,575","1,852","2,048",678,"1,291","1,367","1,982","1,065","1,311",491,"1,008",914,917,620,852,567,"1,023","1,491",3,"1,095"
2021년08월_남_20~29세,"29,959","1,810","2,047",651,"1,592","1,112","1,195","1,220","2,500",913,969,"1,850","2,258","1,863","1,389","1,730","1,857","3,305",9,"1,689"
2021년08월_남_30~39세,"35,728","2,205","2,759",625,"1,967",950,"1,463","1,861","2,597","1,395","1,088","2,072","3,108","2,382","1,573","2,234","1,797","3,814",8,"1,830"
2021년08월_남_40~49세,"37,551","2,598","3,676",723,"1,997","1,363","2,642","2,036","2,796","1,203","1,610","2,090","2,495","1,922","1,586","1,745","1,724","3,470",11,"1,864"
2021년08월_남_50~59세,"35,246","2,175","2,610",758,"1,957","1,356","1,733","1,644","2,881","1,079","1,283","2,169","2,706","2,168","1,442","1,888","1,904","3,522",12,"1,959"
2021년08월_남_60~69세,"31,171","1,969","2,361",447,"1,693","1,236","1,380","1,415","2,442",897,"1,154","2,120","2,429","1,939","1,214","1,786","1,484","3,417",18,"1,770"
2021년08월_남_70~79세,"15,098","1,011",899,271,796,542,531,601,"1,233",517,538,"1,063","1,241",983,656,925,803,"1,627",8,853
2021년08월_남_80~89세,"4,253",292,179,114,212,122,170,162,363,151,158,299,361,278,195,299,221,442,4,231
2021년08월_남_90~99세,376,45,14,17,18,16,22,16,28,11,10,14,24,15,22,18,19,36,2,29
2021년08월_남_100세 이상,32,1,1,0,2,0,10,1,2,0,3,0,0,2,1,3,3,2,0,1
2021년08월_여_총인구수,"236,215","16,811","19,696","5,231","13,276","8,891","12,236","11,156","17,450","7,828","9,142","13,774","16,912","13,338","10,424","12,100","11,854","23,443",57,"12,596"
