카테고리,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년06월_계_총인구수,"311,773","24,993","22,287","30,673","27,844","32,419","19,278","16,740","17,850","21,370","21,651","23,665","21,068","31,935"
2020년06월_계_연령구간인구수,"311,773","24,993","22,287","30,673","27,844","32,419","19,278","16,740","17,850","21,370","21,651","23,665","21,068","31,935"
2020년06월_계_0~9세,"16,688","1,388",861,"1,614","1,187","3,134",750,755,"1,029","1,095","1,124",888,"1,151","1,712"
2020년06월_계_10~19세,"22,772","2,058","1,397","2,128","1,727","4,077","1,147","1,146","1,397","1,384","1,479","1,169","1,439","2,224"
2020년06월_계_20~29세,"43,321","3,188","3,785","4,302","3,739","3,447","3,362","2,160","2,033","3,102","3,075","4,279","2,684","4,165"
2020년06월_계_30~39세,"39,819","3,075","2,951","4,252","3,389","3,956","2,901","1,912","1,823","2,823","2,554","3,495","2,646","4,042"
2020년06월_계_40~49세,"48,072","3,847","3,161","4,757","4,061","6,723","2,976","2,535","2,753","3,064","3,173","3,337","3,085","4,600"
2020년06월_계_50~59세,"53,257","4,467","3,873","5,234","5,135","4,941","3,164","2,862","2,834","3,706","3,820","4,078","3,602","5,541"
2020년06월_계_60~69세,"45,085","3,738","3,279","4,472","4,524","3,258","2,544","2,656","2,664","3,243","3,217","3,340","3,228","4,922"
2020년06월_계_70~79세,"29,939","2,254","2,073","2,797","2,862","1,992","1,749","1,969","2,510","2,004","2,161","2,171","2,169","3,228"
2020년06월_계_80~89세,"11,113",814,797,968,"1,059",770,598,667,708,803,924,800,902,"1,303"
2020년06월_계_90~99세,"1,463",134,101,120,137,96,79,72,90,109,119,94,131,181
2020년06월_계_100세 이상,244,30,9,29,24,25,8,6,9,37,5,14,31,17
2020년06월_남_총인구수,"152,028","12,455","10,735","14,745","13,872","15,583","9,642","8,136","8,421","10,569","10,381","11,768","10,268","15,453"
2020년06월_남_연령구간인구수,"152,028","12,455","10,735","14,745","13,872","15,583","9,642","8,136","8,421","10,569","10,381","11,768","10,268","15,453"
2020년06월_남_0~9세,"8,633",723,461,833,612,"1,630",388,403,536,548,575,432,620,872
2020년06월_남_10~19세,"11,723","1,078",729,"1,031",855,"2,079",613,611,705,704,787,641,767,"1,123"
2020년06월_남_20~29세,"21,222","1,645","1,669","2,083","1,926","1,694","1,621","1,123","1,035","1,560","1,460","2,067","1,276","2,063"
2020년06월_남_30~39세,"20,964","1,618","1,567","2,172","1,826","1,843","1,550","1,064",948,"1,538","1,365","1,919","1,417","2,137"
2020년06월_남_40~49세,"24,592","1,957","1,629","2,431","2,148","3,255","1,578","1,289","1,396","1,652","1,592","1,759","1,560","2,346"
2020년06월_남_50~59세,"26,004","2,279","1,864","2,458","2,583","2,453","1,633","1,396","1,350","1,778","1,794","2,062","1,721","2,633"
2020년06월_남_60~69세,"20,971","1,742","1,560","2,053","2,204","1,510","1,201","1,204","1,175","1,510","1,490","1,547","1,506","2,269"
2020년06월_남_70~79세,"13,043","1,038",915,"1,240","1,250",829,787,788,984,917,920,976,956,"1,443"
2020년06월_남_80~89세,"4,407",328,313,400,422,261,246,241,268,324,366,329,393,516
2020년06월_남_90~99세,409,37,27,32,41,22,24,14,23,34,31,34,44,46
2020년06월_남_100세 이상,60,10,1,12,5,7,1,3,1,4,1,2,8,5
2020년06월_여_총인구수,"159,745","12,538","11,552","15,928","13,972","16,836","9,636","8,604","9,429","10,801","11,270","11,897","10,800","16,482"
2020년06월_여_연령구간인구수,"159,745","12,538","11,552","15,928","13,972","16,836","9,636","8,604","9,429","10,801","11,270","11,897","10,800","16,482"
2020년06월_여_0~9세,"8,055",665,400,781,575,"1,504",362,352,493,547,549,456,531,840
2020년06월_여_10~19세,"11,049",980,668,"1,097",872,"1,998",534,535,692,680,692,528,672,"1,101"
2020년06월_여_20~29세,"22,099","1,543","2,116","2,219","1,813","1,753","1,741","1,037",998,"1,542","1,615","2,212","1,408","2,102"
2020년06월_여_30~39세,"18,855","1,457","1,384","2,080","1,563","2,113","1,351",848,875,"1,285","1,189","1,576","1,229","1,905"
2020년06월_여_40~49세,"23,480","1,890","1,532","2,326","1,913","3,468","1,398","1,246","1,357","1,412","1,581","1,578","1,525","2,254"
2020년06월_여_50~59세,"27,253","2,188","2,009","2,776","2,552","2,488","1,531","1,466","1,484","1,928","2,026","2,016","1,881","2,908"
2020년06월_여_60~69세,"24,114","1,996","1,719","2,419","2,320","1,748","1,343","1,452","1,489","1,733","1,727","1,793","1,722","2,653"
2020년06월_여_70~79세,"16,896","1,216","1,158","1,557","1,612","1,163",962,"1,181","1,526","1,087","1,241","1,195","1,213","1,785"
2020년06월_여_80~89세,"6,706",486,484,568,637,509,352,426,440,479,558,471,509,787
2020년06월_여_90~99세,"1,054",97,74,88,96,74,55,58,67,75,88,60,87,135
2020년06월_여_100세 이상,184,20,8,17,19,18,7,3,8,33,4,12,23,12
