카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021년12월_계_총인구수,"354,726","120,539","37,480","3,362","12,647","8,018","11,414","32,841","21,856","8,927","28,406","20,375","30,670","18,191"
2021년12월_계_연령구간인구수,"354,726","120,539","37,480","3,362","12,647","8,018","11,414","32,841","21,856","8,927","28,406","20,375","30,670","18,191"
2021년12월_계_0~9세,"32,841","15,267","4,834",77,466,158,432,"2,305","1,287",665,"2,134","1,310","2,254","1,652"
2021년12월_계_10~19세,"34,631","13,088","3,131",107,786,436,575,"4,033","1,710","1,013","3,282","1,783","3,146","1,541"
2021년12월_계_20~29세,"39,334","13,562","3,452",148,"1,218",737,"1,357","4,434","2,986","1,002","3,109","2,192","3,160","1,977"
2021년12월_계_30~39세,"47,338","20,176","6,457",179,"1,045",559,"1,275","3,144","2,927","1,017","3,116","2,149","2,912","2,382"
2021년12월_계_40~49세,"61,525","22,757","7,000",268,"1,511",867,"1,422","5,806","3,361","1,623","5,327","3,371","5,324","2,888"
2021년12월_계_50~59세,"59,617","17,135","5,204",585,"2,665","1,796","2,387","6,296","4,496","1,536","5,070","3,901","5,269","3,277"
2021년12월_계_60~69세,"46,636","11,764","4,634",989,"2,807","1,953","2,420","3,712","3,258","1,235","3,808","3,157","4,334","2,565"
2021년12월_계_70~79세,"22,013","4,668","1,972",630,"1,390",944,"1,046","2,108","1,206",555,"1,770","1,630","2,834","1,260"
2021년12월_계_80~89세,"9,554","1,871",696,329,654,478,442,914,548,244,703,804,"1,296",575
2021년12월_계_90~99세,"1,210",247,99,49,103,88,58,88,74,37,81,76,138,72
2021년12월_계_100세 이상,27,4,1,1,2,2,0,1,3,0,6,2,3,2
2021년12월_남_총인구수,"177,759","59,540","19,026","1,728","6,460","4,178","6,049","15,852","11,485","4,481","14,834","10,190","14,949","8,987"
2021년12월_남_연령구간인구수,"177,759","59,540","19,026","1,728","6,460","4,178","6,049","15,852","11,485","4,481","14,834","10,190","14,949","8,987"
2021년12월_남_0~9세,"16,819","7,787","2,508",41,241,86,222,"1,166",663,321,"1,093",681,"1,167",843
2021년12월_남_10~19세,"17,667","6,640","1,599",52,391,225,315,"2,111",881,475,"1,693",903,"1,591",791
2021년12월_남_20~29세,"21,154","6,753","1,853",91,726,452,807,"2,356","1,784",534,"1,765","1,227","1,725","1,081"
2021년12월_남_30~39세,"24,314","9,950","3,260",110,611,326,757,"1,542","1,696",559,"1,693","1,127","1,458","1,225"
2021년12월_남_40~49세,"31,359","11,472","3,755",158,792,464,795,"2,622","1,809",835,"2,820","1,713","2,707","1,417"
2021년12월_남_50~59세,"29,985","8,373","2,598",320,"1,394",938,"1,262","3,056","2,198",792,"2,759","1,999","2,674","1,622"
2021년12월_남_60~69세,"22,871","5,726","2,208",512,"1,451","1,053","1,225","1,733","1,724",623,"1,913","1,541","1,924","1,238"
2021년12월_남_70~79세,"9,971","2,185",979,321,606,460,486,888,549,264,820,704,"1,166",543
2021년12월_남_80~89세,"3,362",611,250,110,221,156,164,362,164,74,262,274,502,212
2021년12월_남_90~99세,253,43,16,13,27,18,16,15,17,4,14,21,34,15
2021년12월_남_100세 이상,4,0,0,0,0,0,0,1,0,0,2,0,1,0
2021년12월_여_총인구수,"176,967","60,999","18,454","1,634","6,187","3,840","5,365","16,989","10,371","4,446","13,572","10,185","15,721","9,204"
2021년12월_여_연령구간인구수,"176,967","60,999","18,454","1,634","6,187","3,840","5,365","16,989","10,371","4,446","13,572","10,185","15,721","9,204"
2021년12월_여_0~9세,"16,022","7,480","2,326",36,225,72,210,"1,139",624,344,"1,041",629,"1,087",809
2021년12월_여_10~19세,"16,964","6,448","1,532",55,395,211,260,"1,922",829,538,"1,589",880,"1,555",750
2021년12월_여_20~29세,"18,180","6,809","1,599",57,492,285,550,"2,078","1,202",468,"1,344",965,"1,435",896
2021년12월_여_30~39세,"23,024","10,226","3,197",69,434,233,518,"1,602","1,231",458,"1,423","1,022","1,454","1,157"
2021년12월_여_40~49세,"30,166","11,285","3,245",110,719,403,627,"3,184","1,552",788,"2,507","1,658","2,617","1,471"
2021년12월_여_50~59세,"29,632","8,762","2,606",265,"1,271",858,"1,125","3,240","2,298",744,"2,311","1,902","2,595","1,655"
2021년12월_여_60~69세,"23,765","6,038","2,426",477,"1,356",900,"1,195","1,979","1,534",612,"1,895","1,616","2,410","1,327"
2021년12월_여_70~79세,"12,042","2,483",993,309,784,484,560,"1,220",657,291,950,926,"1,668",717
2021년12월_여_80~89세,"6,192","1,260",446,219,433,322,278,552,384,170,441,530,794,363
2021년12월_여_90~99세,957,204,83,36,76,70,42,73,57,33,67,55,104,57
2021년12월_여_100세 이상,23,4,1,1,2,2,0,0,3,0,4,2,2,2
