,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년06월_계_총인구수,"150,591","48,527","2,166","3,068","4,964","2,815","2,792","1,776","1,554","57,510","11,897","11,777","1,745"
2021년06월_계_연령구간인구수,"150,591","48,527","2,166","3,068","4,964","2,815","2,792","1,776","1,554","57,510","11,897","11,777","1,745"
2021년06월_계_0~9세,"12,969","4,307",68,77,250,65,78,38,29,"6,294",875,835,53
2021년06월_계_10~19세,"15,776","5,071",128,135,276,126,79,88,53,"7,275","1,143","1,278",124
2021년06월_계_20~29세,"19,755","6,051",199,254,635,194,192,112,120,"8,166","1,557","2,096",179
2021년06월_계_30~39세,"18,099","5,765",142,152,491,162,153,94,109,"8,411","1,223","1,276",121
2021년06월_계_40~49세,"23,301","7,861",204,268,543,202,249,156,155,"10,328","1,834","1,314",187
2021년06월_계_50~59세,"29,170","8,486",428,628,"1,140",541,485,324,281,"10,980","2,728","2,774",375
2021년06월_계_60~69세,"17,711","6,113",417,642,771,580,603,429,303,"4,121","1,676","1,715",341
2021년06월_계_70~79세,"8,272","2,990",300,484,484,516,534,296,270,"1,264",572,357,205
2021년06월_계_80~89세,"4,712","1,599",231,364,320,364,339,206,194,592,253,110,140
2021년06월_계_90~99세,808,279,48,62,54,63,77,30,40,78,36,21,20
2021년06월_계_100세 이상,18,5,1,2,0,2,3,3,0,1,0,1,0
2021년06월_남_총인구수,"78,601","24,835","1,125","1,511","2,552","1,410","1,381",894,852,"30,295","6,311","6,465",970
2021년06월_남_연령구간인구수,"78,601","24,835","1,125","1,511","2,552","1,410","1,381",894,852,"30,295","6,311","6,465",970
2021년06월_남_0~9세,"6,590","2,178",48,34,131,28,35,17,13,"3,206",448,425,27
2021년06월_남_10~19세,"8,181","2,656",77,66,143,77,43,43,32,"3,736",581,658,69
2021년06월_남_20~29세,"11,513","3,332",125,151,369,121,120,76,73,"4,701",918,"1,405",122
2021년06월_남_30~39세,"9,702","2,956",80,80,276,90,89,50,64,"4,495",685,748,89
2021년06월_남_40~49세,"12,016","4,128",119,141,273,120,158,105,109,"5,192",983,560,128
2021년06월_남_50~59세,"15,911","4,506",248,362,615,320,292,181,193,"5,984","1,499","1,496",215
2021년06월_남_60~69세,"9,330","3,185",217,342,400,293,291,229,161,"2,229",864,931,188
2021년06월_남_70~79세,"3,727","1,343",124,208,220,228,231,115,133,560,266,208,91
2021년06월_남_80~89세,"1,487",499,73,114,117,122,113,72,67,180,63,29,38
2021년06월_남_90~99세,142,52,13,12,8,11,9,6,7,12,4,5,3
2021년06월_남_100세 이상,2,0,1,1,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"71,990","23,692","1,041","1,557","2,412","1,405","1,411",882,702,"27,215","5,586","5,312",775
2021년06월_여_연령구간인구수,"71,990","23,692","1,041","1,557","2,412","1,405","1,411",882,702,"27,215","5,586","5,312",775
2021년06월_여_0~9세,"6,379","2,129",20,43,119,37,43,21,16,"3,088",427,410,26
2021년06월_여_10~19세,"7,595","2,415",51,69,133,49,36,45,21,"3,539",562,620,55
2021년06월_여_20~29세,"8,242","2,719",74,103,266,73,72,36,47,"3,465",639,691,57
2021년06월_여_30~39세,"8,397","2,809",62,72,215,72,64,44,45,"3,916",538,528,32
2021년06월_여_40~49세,"11,285","3,733",85,127,270,82,91,51,46,"5,136",851,754,59
2021년06월_여_50~59세,"13,259","3,980",180,266,525,221,193,143,88,"4,996","1,229","1,278",160
2021년06월_여_60~69세,"8,381","2,928",200,300,371,287,312,200,142,"1,892",812,784,153
2021년06월_여_70~79세,"4,545","1,647",176,276,264,288,303,181,137,704,306,149,114
2021년06월_여_80~89세,"3,225","1,100",158,250,203,242,226,134,127,412,190,81,102
2021년06월_여_90~99세,666,227,35,50,46,52,68,24,33,66,32,16,17
2021년06월_여_100세 이상,16,5,0,1,0,2,3,3,0,1,0,1,0
