,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년10월_계_총인구수,"2,118,977","658,107","255,504","402,603","103,321","98,535","323,789","176,595","114,769","43,093","166,802","50,597","63,923","50,884","30,399","99,407","76,974","61,782"
2021년10월_계_연령구간인구수,"2,118,977","658,107","255,504","402,603","103,321","98,535","323,789","176,595","114,769","43,093","166,802","50,597","63,923","50,884","30,399","99,407","76,974","61,782"
2021년10월_계_0~9세,"164,417","59,229","19,035","40,194","5,394","5,683","31,816","14,898","6,848","3,763","14,663","2,369","2,720","2,165","1,173","7,437","3,366","2,893"
2021년10월_계_10~19세,"200,923","67,666","25,653","42,013","7,940","8,065","35,409","17,129","9,511","6,254","15,790","4,125","4,438","3,331","1,964","9,496","5,485","4,320"
2021년10월_계_20~29세,"238,870","95,503","34,763","60,740","10,924","9,116","37,401","18,959","10,823","4,827","15,791","3,750","5,048","3,649","2,480","9,337","6,500","4,762"
2021년10월_계_30~39세,"260,636","102,519","31,852","70,667","9,019","8,961","48,512","21,693","10,247","4,535","21,825","3,394","4,141","3,236","1,944","10,104","5,779","4,727"
2021년10월_계_40~49세,"325,285","111,471","41,838","69,633","12,912","13,380","57,866","27,803","14,736","8,230","26,924","5,958","6,798","5,459","2,957","14,219","9,110","7,462"
2021년10월_계_50~59세,"339,646","103,669","43,292","60,377","17,879","16,629","48,104","28,683","19,264","7,188","26,431","8,906","10,325","8,236","5,065","15,724","13,003","10,540"
2021년10월_계_60~69세,"297,973","69,259","33,702","35,557","19,431","17,874","34,782","23,609","20,866","4,844","22,533","10,355","13,540","10,520","6,478","15,462","15,626","12,794"
2021년10월_계_70~79세,"172,113","30,619","15,739","14,880","11,391","11,333","18,310","14,054","12,894","2,120","13,353","6,830","9,334","7,995","4,471","10,134","10,375","8,900"
2021년10월_계_80~89세,"103,372","15,764","8,332","7,432","7,272","6,493","10,144","8,430","8,307","1,137","8,247","4,315","6,508","5,376","3,376","6,529","6,802","4,672"
2021년10월_계_90~99세,"15,230","2,324","1,251","1,073","1,116",961,"1,388","1,296","1,228",193,"1,204",584,"1,033",894,483,937,896,693
2021년10월_계_100세 이상,512,84,47,37,43,40,57,41,45,2,41,11,38,23,8,28,32,19
2021년10월_남_총인구수,"1,083,133","336,326","129,471","206,855","51,613","49,996","168,355","92,067","57,304","21,469","88,773","25,545","31,754","25,136","15,450","49,522","38,671","31,152"
2021년10월_남_연령구간인구수,"1,083,133","336,326","129,471","206,855","51,613","49,996","168,355","92,067","57,304","21,469","88,773","25,545","31,754","25,136","15,450","49,522","38,671","31,152"
2021년10월_남_0~9세,"84,182","30,311","9,815","20,496","2,802","2,882","16,339","7,580","3,486","1,895","7,451","1,210","1,452","1,096",603,"3,871","1,754","1,450"
2021년10월_남_10~19세,"104,329","35,054","13,357","21,697","4,102","4,157","18,220","9,102","4,911","3,286","8,306","2,136","2,350","1,715","1,024","4,887","2,842","2,237"
2021년10월_남_20~29세,"132,097","50,266","18,411","31,855","5,960","5,378","20,846","11,302","6,025","2,706","9,242","2,183","2,917","2,114","1,461","5,181","3,710","2,806"
