카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년09월_계_총인구수,"62,957","7,160","6,278","7,929","10,817","3,815","1,716","3,049","8,180","4,093","6,831","3,089"
2020년09월_계_연령구간인구수,"62,957","7,160","6,278","7,929","10,817","3,815","1,716","3,049","8,180","4,093","6,831","3,089"
2020년09월_계_0~9세,"3,907",491,272,381,880,143,96,90,515,321,610,108
2020년09월_계_10~19세,"5,104",615,498,627,925,224,115,177,731,417,568,207
2020년09월_계_20~29세,"6,667",770,721,814,"1,228",425,173,281,849,466,626,314
2020년09월_계_30~39세,"7,056",837,580,795,"1,501",370,181,234,931,489,887,251
2020년09월_계_40~49세,"10,146","1,226",917,"1,252","1,821",536,266,382,"1,403",737,"1,173",433
2020년09월_계_50~59세,"10,174","1,186","1,083","1,292","1,629",700,256,527,"1,299",719,"1,029",454
2020년09월_계_60~69세,"9,930","1,042","1,071","1,347","1,510",705,298,620,"1,214",539,991,593
2020년09월_계_70~79세,"6,655",630,767,955,954,450,213,450,849,282,614,491
2020년09월_계_80~89세,"2,806",300,305,412,314,239,100,244,324,94,275,199
2020년09월_계_90~99세,439,53,53,48,44,23,17,38,57,24,52,30
2020년09월_계_100세 이상,73,10,11,6,11,0,1,6,8,5,6,9
2020년09월_남_총인구수,"31,767","3,678","3,162","3,940","5,350","1,955",841,"1,567","4,182","2,110","3,415","1,567"
2020년09월_남_연령구간인구수,"31,767","3,678","3,162","3,940","5,350","1,955",841,"1,567","4,182","2,110","3,415","1,567"
2020년09월_남_0~9세,"2,067",268,149,203,443,73,50,51,283,168,321,58
2020년09월_남_10~19세,"2,632",315,260,302,490,110,52,82,380,204,315,122
2020년09월_남_20~29세,"3,608",430,378,439,646,239,99,169,491,232,321,164
2020년09월_남_30~39세,"3,755",436,309,439,766,202,99,134,507,274,450,139
2020년09월_남_40~49세,"5,462",661,476,694,946,307,140,228,733,393,634,250
2020년09월_남_50~59세,"5,407",659,595,672,784,387,131,300,698,394,535,252
2020년09월_남_60~69세,"4,785",530,518,638,700,361,148,295,576,264,466,289
2020년09월_남_70~79세,"2,943",273,346,401,443,190,86,206,374,137,277,210
2020년09월_남_80~89세,977,90,116,140,118,76,31,89,122,35,89,71
2020년09월_남_90~99세,108,13,13,11,9,10,5,11,16,6,7,7
2020년09월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년09월_여_총인구수,"31,190","3,482","3,116","3,989","5,467","1,860",875,"1,482","3,998","1,983","3,416","1,522"
2020년09월_여_연령구간인구수,"31,190","3,482","3,116","3,989","5,467","1,860",875,"1,482","3,998","1,983","3,416","1,522"
2020년09월_여_0~9세,"1,840",223,123,178,437,70,46,39,232,153,289,50
2020년09월_여_10~19세,"2,472",300,238,325,435,114,63,95,351,213,253,85
2020년09월_여_20~29세,"3,059",340,343,375,582,186,74,112,358,234,305,150
2020년09월_여_30~39세,"3,301",401,271,356,735,168,82,100,424,215,437,112
2020년09월_여_40~49세,"4,684",565,441,558,875,229,126,154,670,344,539,183
2020년09월_여_50~59세,"4,767",527,488,620,845,313,125,227,601,325,494,202
2020년09월_여_60~69세,"5,145",512,553,709,810,344,150,325,638,275,525,304
2020년09월_여_70~79세,"3,712",357,421,554,511,260,127,244,475,145,337,281
2020년09월_여_80~89세,"1,829",210,189,272,196,163,69,155,202,59,186,128
2020년09월_여_90~99세,331,40,40,37,35,13,12,27,41,18,45,23
2020년09월_여_100세 이상,50,7,9,5,6,0,1,4,6,2,6,4
