,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년04월_계_총인구수,"1,076,773","259,445","33,398","26,649","20,290","23,749","8,226","8,738","19,598","24,815","44,677","36,266","13,039","439,922","38,537","30,553","17,544","41,918","13,321","33,616","21,645","26,180","39,228","32,272","33,006","27,293","23,485","24,928","36,396","377,406","36,636","41,439","37,975","56,759","18,426","49,600","48,535","33,776","54,260"
2021년04월_계_연령구간인구수,"1,076,773","259,445","33,398","26,649","20,290","23,749","8,226","8,738","19,598","24,815","44,677","36,266","13,039","439,922","38,537","30,553","17,544","41,918","13,321","33,616","21,645","26,180","39,228","32,272","33,006","27,293","23,485","24,928","36,396","377,406","36,636","41,439","37,975","56,759","18,426","49,600","48,535","33,776","54,260"
2021년04월_계_0~9세,"98,828","20,867","2,278","1,926","1,524","3,202",341,239,"1,250","1,540","4,776","3,128",663,"41,611","3,321","3,393","1,850","4,272",925,"2,948","1,816","3,103","3,253","2,622","3,365","2,600","2,928","1,919","3,296","36,350","2,716","4,622","3,431","4,889","1,468","5,677","4,730","3,280","5,537"
2021년04월_계_10~19세,"121,383","25,498","3,688","2,396","1,777","1,966",522,756,"2,284","2,210","4,443","4,336","1,120","50,442","3,565","3,547","1,227","3,324","1,256","4,343","2,184","2,531","4,771","3,055","5,679","4,649","2,978","2,800","4,533","45,443","3,630","5,692","5,277","6,993","1,573","5,382","6,130","4,211","6,555"
2021년04월_계_20~29세,"138,229","34,618","4,758","3,419","2,142","1,876",724,887,"2,413","4,440","7,195","4,929","1,835","56,935","5,058","3,832","2,462","6,664","1,965","4,035","2,566","5,219","4,352","4,094","3,606","3,233","2,215","3,435","4,199","46,676","5,398","4,967","4,071","7,937","2,804","5,528","6,307","3,861","5,803"
2021년04월_계_30~39세,"143,621","33,932","3,938","3,099","2,352","4,179",723,744,"2,429","3,187","7,345","4,526","1,410","58,322","6,133","4,584","3,191","7,724","1,873","3,843","2,772","4,510","4,116","4,035","3,342","2,328","3,061","2,769","4,041","51,367","6,235","6,151","3,998","6,899","3,213","7,819","6,735","4,166","6,151"
2021년04월_계_40~49세,"199,023","43,492","5,953","4,508","3,314","4,236","1,058",995,"3,127","3,865","7,713","6,772","1,951","83,102","6,561","5,949","2,731","7,047","2,367","6,475","3,859","4,491","7,646","5,360","7,805","6,215","4,916","4,370","7,310","72,429","6,003","8,896","7,881","10,711","3,030","9,585","9,313","6,476","10,534"
2021년04월_계_50~59세,"167,107","43,455","5,950","4,726","3,705","3,073","1,597","1,567","3,419","4,191","6,450","6,224","2,553","67,537","6,178","4,890","2,789","6,550","2,264","5,271","3,545","3,208","5,931","5,125","4,800","4,373","2,706","4,510","5,397","56,115","5,438","5,825","5,788","8,863","2,888","7,131","7,084","5,120","7,978"
2021년04월_계_60~69세,"109,529","32,668","3,842","3,755","3,067","2,983","1,737","1,866","2,745","3,109","3,951","3,539","2,074","42,300","4,082","2,654","1,758","3,681","1,325","3,425","2,741","1,900","4,348","3,795","2,190","2,045","2,061","2,782","3,513","34,561","3,746","2,493","3,499","5,317","1,826","4,786","4,160","3,097","5,637"
2021년04월_계_70~79세,"65,851","16,110","1,938","1,856","1,511","1,516",949,941,"1,191","1,462","1,899","1,864",983,"26,375","2,402","1,162",766,"1,864",885,"2,214","1,456",832,"3,192","2,800","1,499","1,208","1,736","1,572","2,787","23,366","2,319","1,747","2,795","3,344","1,040","2,589","2,783","2,430","4,319"
2021년04월_계_80~89세,"28,764","7,570",922,830,764,614,493,649,615,702,774,830,377,"11,516","1,096",455,604,672,418,918,610,344,"1,403","1,208",626,558,790,667,"1,147","9,678","1,009",939,"1,090","1,594",490,934,"1,120",990,"1,512"
2021년04월_계_90~99세,"4,285","1,191",130,132,128,101,80,92,116,102,126,114,70,"1,716",133,83,162,113,43,137,92,41,209,171,91,82,92,99,168,"1,378",134,106,143,204,92,163,166,143,227
2021년04월_계_100세 이상,153,44,1,2,6,3,2,2,9,7,5,4,3,66,8,4,4,7,0,7,4,1,7,7,3,2,2,5,5,43,8,1,2,8,2,6,7,2,7
2021년04월_남_총인구수,"534,238","133,193","17,279","13,936","10,381","11,979","4,281","4,796","10,545","12,550","22,389","18,297","6,760","217,098","19,196","15,158","8,694","20,910","6,898","16,655","10,736","13,433","18,970","15,739","15,853","13,407","11,393","12,183","17,873","183,947","18,275","20,359","18,426","27,380","9,127","24,427","23,405","16,413","26,135"
2021년04월_남_연령구간인구수,"534,238","133,193","17,279","13,936","10,381","11,979","4,281","4,796","10,545","12,550","22,389","18,297","6,760","217,098","19,196","15,158","8,694","20,910","6,898","16,655","10,736","13,433","18,970","15,739","15,853","13,407","11,393","12,183","17,873","183,947","18,275","20,359","18,426","27,380","9,127","24,427","23,405","16,413","26,135"
2021년04월_남_0~9세,"50,522","10,649","1,159","1,009",747,"1,607",171,137,658,779,"2,453","1,585",344,"21,362","1,674","1,717",943,"2,190",504,"1,533",927,"1,544","1,685","1,363","1,655","1,354","1,522","1,014","1,737","18,511","1,415","2,357","1,709","2,458",771,"2,962","2,334","1,683","2,822"
2021년04월_남_10~19세,"62,462","13,442","1,962","1,242",926,983,280,465,"1,350","1,119","2,260","2,240",615,"25,893","1,842","1,839",618,"1,702",624,"2,234","1,133","1,273","2,456","1,585","2,858","2,395","1,531","1,460","2,343","23,127","1,867","2,928","2,715","3,540",812,"2,761","3,092","2,174","3,238"
2021년04월_남_20~29세,"71,671","18,772","2,657","1,903","1,213",997,405,543,"1,369","2,326","3,684","2,654","1,021","29,515","2,514","1,988","1,313","3,266","1,051","2,076","1,373","3,059","2,260","2,096","1,821","1,678","1,089","1,764","2,167","23,384","2,775","2,451","2,105","3,928","1,440","2,771","3,047","1,936","2,931"
2021년04월_남_30~39세,"70,935","18,038","2,143","1,623","1,305","2,076",422,451,"1,389","1,757","3,755","2,318",799,"28,530","3,193","2,254","1,610","3,876","1,034","1,871","1,386","2,257","1,993","1,962","1,497",999,"1,392","1,329","1,877","24,367","3,308","2,896","1,822","3,242","1,634","3,644","3,178","1,952","2,691"
2021년04월_남_40~49세,"98,195","22,909","3,105","2,428","1,801","2,305",583,606,"1,718","2,023","3,934","3,395","1,011","40,647","3,298","2,928","1,379","3,613","1,223","3,213","1,944","2,314","3,683","2,585","3,679","2,841","2,413","2,095","3,439","34,639","2,930","4,326","3,641","5,110","1,487","4,716","4,440","3,082","4,907"
2021년04월_남_50~59세,"84,973","22,440","3,146","2,549","1,940","1,543",849,878,"1,795","2,095","3,147","3,209","1,289","34,106","3,118","2,477","1,330","3,300","1,225","2,665","1,736","1,561","2,912","2,490","2,535","2,376","1,378","2,227","2,776","28,427","2,743","3,082","2,987","4,380","1,411","3,615","3,574","2,561","4,074"
2021년04월_남_60~69세,"52,419","16,472","1,922","1,940","1,500","1,456",894,"1,012","1,446","1,527","1,955","1,760","1,060","19,827","2,009","1,255",844,"1,798",655,"1,605","1,280",932,"1,912","1,783",945,952,881,"1,326","1,650","16,120","1,742","1,217","1,626","2,514",862,"2,296","1,922","1,410","2,531"
2021년04월_남_70~79세,"29,889","7,450",839,893,671,763,482,455,574,648,867,801,457,"11,831","1,050",533,375,872,387,"1,020",680,361,"1,382","1,258",595,554,776,693,"1,295","10,608","1,033",685,"1,253","1,456",480,"1,220","1,261","1,110","2,110"
2021년04월_남_80~89세,"12,002","2,749",323,326,254,225,178,226,215,253,301,305,143,"4,892",457,151,222,269,186,387,262,125,641,556,237,236,373,252,538,"4,361",420,386,527,687,199,403,519,459,761
2021년04월_남_90~99세,"1,143",263,23,23,23,23,17,23,30,20,31,30,20,482,40,15,59,23,9,49,14,7,45,59,31,21,36,23,51,398,41,31,41,65,31,38,37,46,68
2021년04월_남_100세 이상,27,9,0,0,1,1,0,0,1,3,2,0,1,13,1,1,1,1,0,2,1,0,1,2,0,1,2,0,0,5,1,0,0,0,0,1,1,0,2
2021년04월_여_총인구수,"542,535","126,252","16,119","12,713","9,909","11,770","3,945","3,942","9,053","12,265","22,288","17,969","6,279","222,824","19,341","15,395","8,850","21,008","6,423","16,961","10,909","12,747","20,258","16,533","17,153","13,886","12,092","12,745","18,523","193,459","18,361","21,080","19,549","29,379","9,299","25,173","25,130","17,363","28,125"
