,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년05월_계_총인구수,"9,032","6,410",871,431,"1,320"
2021년05월_계_연령구간인구수,"9,032","6,410",871,431,"1,320"
2021년05월_계_0~9세,391,292,37,13,49
2021년05월_계_10~19세,448,350,38,18,42
2021년05월_계_20~29세,820,606,77,22,115
2021년05월_계_30~39세,850,651,62,30,107
2021년05월_계_40~49세,"1,253",949,98,29,177
2021년05월_계_50~59세,"1,802","1,299",179,84,240
2021년05월_계_60~69세,"1,797","1,237",179,98,283
2021년05월_계_70~79세,"1,061",686,117,86,172
2021년05월_계_80~89세,512,285,77,35,115
2021년05월_계_90~99세,84,41,7,16,20
2021년05월_계_100세 이상,14,14,0,0,0
2021년05월_남_총인구수,"4,963","3,526",476,234,727
2021년05월_남_연령구간인구수,"4,963","3,526",476,234,727
2021년05월_남_0~9세,199,149,17,7,26
2021년05월_남_10~19세,229,170,25,13,21
2021년05월_남_20~29세,502,359,62,9,72
2021년05월_남_30~39세,522,402,35,19,66
2021년05월_남_40~49세,767,568,61,22,116
2021년05월_남_50~59세,"1,065",770,102,50,143
2021년05월_남_60~69세,953,653,100,49,151
2021년05월_남_70~79세,494,320,48,47,79
2021년05월_남_80~89세,205,120,24,13,48
2021년05월_남_90~99세,22,10,2,5,5
2021년05월_남_100세 이상,5,5,0,0,0
2021년05월_여_총인구수,"4,069","2,884",395,197,593
2021년05월_여_연령구간인구수,"4,069","2,884",395,197,593
2021년05월_여_0~9세,192,143,20,6,23
2021년05월_여_10~19세,219,180,13,5,21
2021년05월_여_20~29세,318,247,15,13,43
2021년05월_여_30~39세,328,249,27,11,41
2021년05월_여_40~49세,486,381,37,7,61
2021년05월_여_50~59세,737,529,77,34,97
2021년05월_여_60~69세,844,584,79,49,132
2021년05월_여_70~79세,567,366,69,39,93
2021년05월_여_80~89세,307,165,53,22,67
2021년05월_여_90~99세,62,31,5,11,15
2021년05월_여_100세 이상,9,9,0,0,0
