카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년01월_계_총인구수,"223,060","10,369","17,747","9,049","5,035","11,544","13,924","20,652","34,393","23,980","23,048","20,896","11,087","21,336"
2020년01월_계_연령구간인구수,"223,060","10,369","17,747","9,049","5,035","11,544","13,924","20,652","34,393","23,980","23,048","20,896","11,087","21,336"
2020년01월_계_0~9세,"17,884",477,"1,500",439,251,969,524,"1,485","3,693","1,227","1,535","2,188","1,353","2,243"
2020년01월_계_10~19세,"21,076",672,"1,375",680,349,"1,145",746,"1,689","3,686","2,355","2,473","1,946","1,345","2,615"
2020년01월_계_20~29세,"28,424","1,126","2,337","1,376",648,"1,571","1,689","2,618","4,111","3,401","3,187","2,449","1,405","2,506"
2020년01월_계_30~39세,"28,204","1,094","2,638","1,054",559,"1,700","1,438","2,635","4,714","2,270","2,413","3,027","1,746","2,916"
2020년01월_계_40~49세,"35,501","1,449","2,716","1,228",619,"1,813","1,777","3,038","6,044","3,816","3,495","3,374","1,849","4,283"
2020년01월_계_50~59세,"42,501","1,957","3,561","1,833","1,045","2,108","2,769","3,897","5,999","5,130","4,952","3,809","1,990","3,451"
2020년01월_계_60~69세,"30,215","1,968","2,320","1,445",931,"1,349","2,790","3,162","3,999","3,406","3,212","2,626",927,"2,080"
2020년01월_계_70~79세,"13,736","1,163",945,728,465,617,"1,532","1,473","1,558","1,664","1,311","1,070",334,876
2020년01월_계_80~89세,"4,855",413,306,232,142,232,570,592,517,638,411,366,127,309
2020년01월_계_90~99세,612,46,47,32,21,37,67,60,71,71,55,39,10,56
2020년01월_계_100세 이상,52,4,2,2,5,3,22,3,1,2,4,2,1,1
2020년01월_남_총인구수,"113,235","5,293","9,207","4,613","2,505","5,805","7,203","10,410","17,246","12,165","11,720","10,612","5,592","10,864"
2020년01월_남_연령구간인구수,"113,235","5,293","9,207","4,613","2,505","5,805","7,203","10,410","17,246","12,165","11,720","10,612","5,592","10,864"
2020년01월_남_0~9세,"9,264",246,768,237,139,490,276,798,"1,980",593,775,"1,107",695,"1,160"
2020년01월_남_10~19세,"11,290",345,729,360,175,630,393,898,"1,943","1,323","1,360","1,061",700,"1,373"
2020년01월_남_20~29세,"15,820",623,"1,263",744,349,845,981,"1,471","2,345","1,907","1,805","1,363",751,"1,373"
2020년01월_남_30~39세,"14,754",631,"1,437",593,315,914,853,"1,339","2,291","1,234","1,269","1,540",869,"1,469"
2020년01월_남_40~49세,"17,991",823,"1,452",617,309,893,983,"1,548","2,975","1,891","1,701","1,767",859,"2,173"
2020년01월_남_50~59세,"21,224","1,032","1,818",923,504,"1,028","1,415","1,941","2,843","2,550","2,467","1,871","1,033","1,799"
2020년01월_남_60~69세,"14,825",934,"1,166",709,447,632,"1,392","1,536","1,959","1,702","1,561","1,288",483,"1,016"
2020년01월_남_70~79세,"6,284",504,465,341,206,297,681,652,730,745,622,486,153,402
2020년01월_남_80~89세,"1,669",150,101,82,51,69,210,212,170,206,155,121,47,95
2020년01월_남_90~99세,105,4,8,7,8,7,15,15,10,13,5,7,2,4
2020년01월_남_100세 이상,9,1,0,0,2,0,4,0,0,1,0,1,0,0
2020년01월_여_총인구수,"109,825","5,076","8,540","4,436","2,530","5,739","6,721","10,242","17,147","11,815","11,328","10,284","5,495","10,472"
2020년01월_여_연령구간인구수,"109,825","5,076","8,540","4,436","2,530","5,739","6,721","10,242","17,147","11,815","11,328","10,284","5,495","10,472"
2020년01월_여_0~9세,"8,620",231,732,202,112,479,248,687,"1,713",634,760,"1,081",658,"1,083"
2020년01월_여_10~19세,"9,786",327,646,320,174,515,353,791,"1,743","1,032","1,113",885,645,"1,242"
2020년01월_여_20~29세,"12,604",503,"1,074",632,299,726,708,"1,147","1,766","1,494","1,382","1,086",654,"1,133"
2020년01월_여_30~39세,"13,450",463,"1,201",461,244,786,585,"1,296","2,423","1,036","1,144","1,487",877,"1,447"
2020년01월_여_40~49세,"17,510",626,"1,264",611,310,920,794,"1,490","3,069","1,925","1,794","1,607",990,"2,110"
2020년01월_여_50~59세,"21,277",925,"1,743",910,541,"1,080","1,354","1,956","3,156","2,580","2,485","1,938",957,"1,652"
2020년01월_여_60~69세,"15,390","1,034","1,154",736,484,717,"1,398","1,626","2,040","1,704","1,651","1,338",444,"1,064"
2020년01월_여_70~79세,"7,452",659,480,387,259,320,851,821,828,919,689,584,181,474
2020년01월_여_80~89세,"3,186",263,205,150,91,163,360,380,347,432,256,245,80,214
2020년01월_여_90~99세,507,42,39,25,13,30,52,45,61,58,50,32,8,52
2020년01월_여_100세 이상,43,3,2,2,3,3,18,3,1,1,4,1,1,1
