,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020년12월_계_총인구수,"32,412","14,938","1,907","1,467","2,193","1,667","2,295","1,932",761,"1,763","1,704","1,785"
2020년12월_계_연령구간인구수,"32,412","14,938","1,907","1,467","2,193","1,667","2,295","1,932",761,"1,763","1,704","1,785"
2020년12월_계_0~9세,"1,464","1,021",32,75,54,24,57,48,26,54,34,39
2020년12월_계_10~19세,"2,111","1,335",84,76,90,59,137,90,25,68,70,77
2020년12월_계_20~29세,"2,377","1,411",118,104,86,85,151,107,27,85,104,99
2020년12월_계_30~39세,"2,210","1,300",91,140,93,71,161,104,25,60,80,85
2020년12월_계_40~49세,"3,320","1,949",165,159,151,104,193,161,58,121,109,150
2020년12월_계_50~59세,"5,900","2,690",397,257,384,269,392,331,138,338,342,362
2020년12월_계_60~69세,"6,814","2,544",478,266,560,416,522,511,227,440,410,440
2020년12월_계_70~79세,"4,584","1,555",342,207,431,351,383,297,142,315,289,272
2020년12월_계_80~89세,"3,114",981,159,155,301,255,274,235,80,239,218,217
2020년12월_계_90~99세,490,141,38,26,40,30,24,47,13,42,47,42
2020년12월_계_100세 이상,28,11,3,2,3,3,1,1,0,1,1,2
2020년12월_남_총인구수,"16,292","7,431",989,766,"1,051",811,"1,171",968,408,877,875,945
2020년12월_남_연령구간인구수,"16,292","7,431",989,766,"1,051",811,"1,171",968,408,877,875,945
2020년12월_남_0~9세,749,509,18,38,28,15,28,27,13,29,18,26
2020년12월_남_10~19세,"1,129",720,44,34,47,32,76,44,15,35,40,42
2020년12월_남_20~29세,"1,390",790,75,70,49,49,98,60,14,55,64,66
2020년12월_남_30~39세,"1,209",651,58,94,53,45,108,61,12,29,43,55
2020년12월_남_40~49세,"1,874","1,041",105,91,92,65,119,95,35,85,66,80
2020년12월_남_50~59세,"3,238","1,424",214,150,208,160,216,179,86,192,202,207
2020년12월_남_60~69세,"3,496","1,258",255,132,281,196,264,285,124,225,228,248
2020년12월_남_70~79세,"2,042",676,145,95,188,152,161,137,78,146,123,141
2020년12월_남_80~89세,"1,063",333,67,55,94,88,98,77,31,74,76,70
2020년12월_남_90~99세,101,29,7,7,11,9,3,3,0,7,15,10
2020년12월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년12월_여_총인구수,"16,120","7,507",918,701,"1,142",856,"1,124",964,353,886,829,840
2020년12월_여_연령구간인구수,"16,120","7,507",918,701,"1,142",856,"1,124",964,353,886,829,840
2020년12월_여_0~9세,715,512,14,37,26,9,29,21,13,25,16,13
2020년12월_여_10~19세,982,615,40,42,43,27,61,46,10,33,30,35
2020년12월_여_20~29세,987,621,43,34,37,36,53,47,13,30,40,33
2020년12월_여_30~39세,"1,001",649,33,46,40,26,53,43,13,31,37,30
2020년12월_여_40~49세,"1,446",908,60,68,59,39,74,66,23,36,43,70
2020년12월_여_50~59세,"2,662","1,266",183,107,176,109,176,152,52,146,140,155
2020년12월_여_60~69세,"3,318","1,286",223,134,279,220,258,226,103,215,182,192
2020년12월_여_70~79세,"2,542",879,197,112,243,199,222,160,64,169,166,131
2020년12월_여_80~89세,"2,051",648,92,100,207,167,176,158,49,165,142,147
2020년12월_여_90~99세,389,112,31,19,29,21,21,44,13,35,32,32
2020년12월_여_100세 이상,27,11,2,2,3,3,1,1,0,1,1,2
