,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년11월_계_총인구수,"1,805,204","657,745","339,973","317,772","267,911","282,582","108,681","80,784","82,623","91,445","25,351","24,031","22,099","27,424","27,805","54,486","52,237"
2020년11월_계_연령구간인구수,"1,805,204","657,745","339,973","317,772","267,911","282,582","108,681","80,784","82,623","91,445","25,351","24,031","22,099","27,424","27,805","54,486","52,237"
2020년11월_계_0~9세,"129,144","54,320","24,902","29,418","21,046","19,300","6,410","5,030","4,330","6,909","1,281","1,215","1,156","1,355","1,520","2,700","2,572"
2020년11월_계_10~19세,"175,514","72,022","36,392","35,630","26,908","28,009","9,695","7,363","6,239","8,339","1,676","1,810","1,658","1,697","2,221","4,151","3,726"
2020년11월_계_20~29세,"211,644","92,977","49,495","43,482","29,665","36,322","10,666","7,615","7,235","8,901","1,943","1,787","1,669","2,119","2,085","4,330","4,330"
2020년11월_계_30~39세,"189,435","82,061","40,089","41,972","30,769","28,557","8,885","6,446","6,680","9,381","1,642","1,714","1,555","1,967","2,000","3,868","3,910"
2020년11월_계_40~49세,"269,113","107,441","53,699","53,742","43,550","42,066","14,897","10,776","10,031","13,528","2,761","2,877","2,591","2,870","3,346","6,195","6,184"
2020년11월_계_50~59세,"299,970","105,972","57,074","48,898","44,029","49,056","18,455","13,752","13,770","15,272","4,521","4,239","3,704","4,720","4,497","9,111","8,872"
2020년11월_계_60~69세,"254,628","76,541","42,227","34,314","37,404","40,237","16,839","12,888","14,522","13,810","4,820","4,352","4,202","4,951","4,794","9,652","9,616"
2020년11월_계_70~79세,"170,103","43,981","23,830","20,151","22,837","24,499","13,394","9,822","11,379","9,232","3,833","3,386","3,132","4,314","4,191","8,385","7,718"
2020년11월_계_80~89세,"91,166","19,498","10,607","8,891","10,011","12,466","8,157","6,102","7,156","5,245","2,476","2,301","2,120","2,980","2,749","5,252","4,653"
2020년11월_계_90~99세,"13,635","2,769","1,576","1,193","1,569","1,962","1,173",950,"1,207",783,371,330,290,428,374,806,623
2020년11월_계_100세 이상,852,163,82,81,123,108,110,40,74,45,27,20,22,23,28,36,33
2020년11월_남_총인구수,"897,393","323,780","165,580","158,200","135,332","140,745","53,872","39,616","40,934","46,970","12,784","11,948","11,006","14,024","13,520","26,909","25,953"
2020년11월_남_연령구간인구수,"897,393","323,780","165,580","158,200","135,332","140,745","53,872","39,616","40,934","46,970","12,784","11,948","11,006","14,024","13,520","26,909","25,953"
2020년11월_남_0~9세,"66,230","27,821","12,793","15,028","10,726","9,873","3,280","2,666","2,241","3,479",627,647,600,716,778,"1,428","1,348"
2020년11월_남_10~19세,"90,888","37,265","18,953","18,312","13,881","14,324","5,155","3,799","3,208","4,333",890,927,848,901,"1,149","2,241","1,967"
2020년11월_남_20~29세,"114,282","48,816","25,660","23,156","16,254","19,778","5,875","4,255","4,048","4,967","1,099",985,941,"1,251","1,143","2,448","2,422"
2020년11월_남_30~39세,"97,693","41,476","20,325","21,151","16,060","14,979","4,718","3,289","3,546","4,833",798,936,810,"1,076",977,"2,072","2,123"
2020년11월_남_40~49세,"138,765","52,622","25,663","26,959","22,864","21,488","7,839","5,504","5,627","7,490","1,605","1,598","1,467","1,757","1,903","3,538","3,463"
2020년11월_남_50~59세,"155,101","52,004","27,546","24,458","23,075","24,905","9,930","7,318","7,487","8,502","2,547","2,336","2,082","2,681","2,444","4,962","4,828"
2020년11월_남_60~69세,"125,721","36,511","19,917","16,594","18,420","19,954","8,350","6,446","7,285","7,163","2,546","2,235","2,132","2,647","2,434","4,786","4,812"
2020년11월_남_70~79세,"74,976","19,565","10,616","8,949","10,271","10,929","5,772","4,122","4,958","4,261","1,764","1,413","1,359","1,904","1,707","3,606","3,345"
2020년11월_남_80~89세,"30,526","7,035","3,739","3,296","3,417","4,036","2,676","1,985","2,249","1,765",808,794,699,983,888,"1,683","1,508"
2020년11월_남_90~99세,"3,034",633,351,282,327,454,256,221,271,167,91,73,64,102,97,144,134
2020년11월_남_100세 이상,177,32,17,15,37,25,21,11,14,10,9,4,4,6,0,1,3
2020년11월_여_총인구수,"907,811","333,965","174,393","159,572","132,579","141,837","54,809","41,168","41,689","44,475","12,567","12,083","11,093","13,400","14,285","27,577","26,284"
2020년11월_여_연령구간인구수,"907,811","333,965","174,393","159,572","132,579","141,837","54,809","41,168","41,689","44,475","12,567","12,083","11,093","13,400","14,285","27,577","26,284"
2020년11월_여_0~9세,"62,914","26,499","12,109","14,390","10,320","9,427","3,130","2,364","2,089","3,430",654,568,556,639,742,"1,272","1,224"
2020년11월_여_10~19세,"84,626","34,757","17,439","17,318","13,027","13,685","4,540","3,564","3,031","4,006",786,883,810,796,"1,072","1,910","1,759"
2020년11월_여_20~29세,"97,362","44,161","23,835","20,326","13,411","16,544","4,791","3,360","3,187","3,934",844,802,728,868,942,"1,882","1,908"
2020년11월_여_30~39세,"91,742","40,585","19,764","20,821","14,709","13,578","4,167","3,157","3,134","4,548",844,778,745,891,"1,023","1,796","1,787"
2020년11월_여_40~49세,"130,348","54,819","28,036","26,783","20,686","20,578","7,058","5,272","4,404","6,038","1,156","1,279","1,124","1,113","1,443","2,657","2,721"
2020년11월_여_50~59세,"144,869","53,968","29,528","24,440","20,954","24,151","8,525","6,434","6,283","6,770","1,974","1,903","1,622","2,039","2,053","4,149","4,044"
2020년11월_여_60~69세,"128,907","40,030","22,310","17,720","18,984","20,283","8,489","6,442","7,237","6,647","2,274","2,117","2,070","2,304","2,360","4,866","4,804"
2020년11월_여_70~79세,"95,127","24,416","13,214","11,202","12,566","13,570","7,622","5,700","6,421","4,971","2,069","1,973","1,773","2,410","2,484","4,779","4,373"
2020년11월_여_80~89세,"60,640","12,463","6,868","5,595","6,594","8,430","5,481","4,117","4,907","3,480","1,668","1,507","1,421","1,997","1,861","3,569","3,145"
2020년11월_여_90~99세,"10,601","2,136","1,225",911,"1,242","1,508",917,729,936,616,280,257,226,326,277,662,489
2020년11월_여_100세 이상,675,131,65,66,86,83,89,29,60,35,18,16,18,17,28,35,30
