,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년05월_계_총인구수,"114,029","33,016","24,412","30,891","4,173","5,303","3,417","9,646","3,171"
2021년05월_계_연령구간인구수,"114,029","33,016","24,412","30,891","4,173","5,303","3,417","9,646","3,171"
2021년05월_계_0~9세,"9,166","2,261","1,851","4,269",76,123,71,302,213
2021년05월_계_10~19세,"11,415","3,322","3,117","3,750",113,168,128,646,171
2021년05월_계_20~29세,"11,811","3,804","2,926","2,928",297,395,228,"1,021",212
2021년05월_계_30~39세,"14,286","3,347","2,442","6,733",255,334,200,660,315
2021년05월_계_40~49세,"20,566","5,346","5,142","7,131",361,473,348,"1,354",411
2021년05월_계_50~59세,"19,708","6,250","4,906","3,220",793,"1,077",707,"2,199",556
2021년05월_계_60~69세,"14,308","4,562","2,369","1,686","1,049","1,379",886,"1,764",613
2021년05월_계_70~79세,"7,623","2,437","1,052",746,683,773,526,"1,037",369
2021년05월_계_80~89세,"4,486","1,486",540,382,472,487,265,592,262
2021년05월_계_90~99세,638,190,67,45,71,92,58,69,46
2021년05월_계_100세 이상,22,11,0,1,3,2,0,2,3
2021년05월_남_총인구수,"59,450","16,562","12,702","16,688","2,249","2,708","1,861","5,030","1,650"
2021년05월_남_연령구간인구수,"59,450","16,562","12,702","16,688","2,249","2,708","1,861","5,030","1,650"
2021년05월_남_0~9세,"4,743","1,152",967,"2,212",39,62,38,153,120
2021년05월_남_10~19세,"6,005","1,721","1,625","1,995",66,89,64,349,96
2021년05월_남_20~29세,"6,733","2,180","1,702","1,515",176,255,153,621,131
2021년05월_남_30~39세,"7,782","1,790","1,268","3,673",156,200,126,401,168
2021년05월_남_40~49세,"11,072","2,720","2,534","4,085",247,295,213,733,245
2021년05월_남_50~59세,"10,673","3,177","2,679","1,927",475,550,403,"1,168",294
2021년05월_남_60~69세,"7,473","2,284","1,267",832,598,728,492,940,332
2021년05월_남_70~79세,"3,344","1,007",461,320,310,369,259,453,165
2021년05월_남_80~89세,"1,474",480,181,119,166,149,95,198,86
2021년05월_남_90~99세,149,50,18,10,16,11,18,14,12
2021년05월_남_100세 이상,2,1,0,0,0,0,0,0,1
2021년05월_여_총인구수,"54,579","16,454","11,710","14,203","1,924","2,595","1,556","4,616","1,521"
2021년05월_여_연령구간인구수,"54,579","16,454","11,710","14,203","1,924","2,595","1,556","4,616","1,521"
2021년05월_여_0~9세,"4,423","1,109",884,"2,057",37,61,33,149,93
2021년05월_여_10~19세,"5,410","1,601","1,492","1,755",47,79,64,297,75
2021년05월_여_20~29세,"5,078","1,624","1,224","1,413",121,140,75,400,81
2021년05월_여_30~39세,"6,504","1,557","1,174","3,060",99,134,74,259,147
2021년05월_여_40~49세,"9,494","2,626","2,608","3,046",114,178,135,621,166
2021년05월_여_50~59세,"9,035","3,073","2,227","1,293",318,527,304,"1,031",262
2021년05월_여_60~69세,"6,835","2,278","1,102",854,451,651,394,824,281
2021년05월_여_70~79세,"4,279","1,430",591,426,373,404,267,584,204
2021년05월_여_80~89세,"3,012","1,006",359,263,306,338,170,394,176
2021년05월_여_90~99세,489,140,49,35,55,81,40,55,34
2021년05월_여_100세 이상,20,10,0,1,3,2,0,2,2
