,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년07월_계_총인구수,"42,985","7,759","19,216","3,157","3,869","2,610","1,755",995,"2,702",196,726
2021년07월_계_연령구간인구수,"42,985","7,759","19,216","3,157","3,869","2,610","1,755",995,"2,702",196,726
2021년07월_계_0~9세,"2,603",672,"1,493",88,120,79,46,22,56,5,22
2021년07월_계_10~19세,"3,086",428,"1,920",166,181,140,64,44,99,11,33
2021년07월_계_20~29세,"5,241","1,227","2,387",324,461,235,127,69,313,43,55
2021년07월_계_30~39세,"4,158",996,"2,163",178,258,169,129,63,144,13,45
2021년07월_계_40~49세,"4,799",781,"2,623",270,386,234,132,75,223,16,59
2021년07월_계_50~59세,"6,976","1,036","3,175",567,675,491,318,146,407,30,131
2021년07월_계_60~69세,"7,866","1,160","2,886",723,884,591,499,244,669,39,171
2021년07월_계_70~79세,"4,914",847,"1,519",485,543,417,249,208,493,24,129
2021년07월_계_80~89세,"2,906",523,884,320,319,237,164,113,264,13,69
2021년07월_계_90~99세,410,84,159,32,39,16,25,10,31,2,12
2021년07월_계_100세 이상,26,5,7,4,3,1,2,1,3,0,0
2021년07월_남_총인구수,"22,518","4,198","9,790","1,680","2,058","1,399",938,529,"1,435",118,373
2021년07월_남_연령구간인구수,"22,518","4,198","9,790","1,680","2,058","1,399",938,529,"1,435",118,373
2021년07월_남_0~9세,"1,312",327,762,46,54,38,24,15,28,3,15
2021년07월_남_10~19세,"1,632",242,983,89,102,83,38,27,47,5,16
2021년07월_남_20~29세,"3,343",842,"1,367",226,334,148,78,42,234,37,35
2021년07월_남_30~39세,"2,368",592,"1,168",107,165,102,75,36,90,8,25
2021년07월_남_40~49세,"2,622",445,"1,333",164,228,133,81,51,138,9,40
2021년07월_남_50~59세,"3,765",588,"1,657",314,370,273,171,80,230,16,66
2021년07월_남_60~69세,"4,078",588,"1,481",390,448,313,285,125,338,23,87
2021년07월_남_70~79세,"2,231",360,701,223,233,200,107,101,233,12,61
2021년07월_남_80~89세,"1,049",187,291,110,114,104,71,50,89,5,28
2021년07월_남_90~99세,110,26,44,10,10,5,7,1,7,0,0
2021년07월_남_100세 이상,8,1,3,1,0,0,1,1,1,0,0
2021년07월_여_총인구수,"20,467","3,561","9,426","1,477","1,811","1,211",817,466,"1,267",78,353
2021년07월_여_연령구간인구수,"20,467","3,561","9,426","1,477","1,811","1,211",817,466,"1,267",78,353
2021년07월_여_0~9세,"1,291",345,731,42,66,41,22,7,28,2,7
2021년07월_여_10~19세,"1,454",186,937,77,79,57,26,17,52,6,17
2021년07월_여_20~29세,"1,898",385,"1,020",98,127,87,49,27,79,6,20
2021년07월_여_30~39세,"1,790",404,995,71,93,67,54,27,54,5,20
2021년07월_여_40~49세,"2,177",336,"1,290",106,158,101,51,24,85,7,19
2021년07월_여_50~59세,"3,211",448,"1,518",253,305,218,147,66,177,14,65
2021년07월_여_60~69세,"3,788",572,"1,405",333,436,278,214,119,331,16,84
2021년07월_여_70~79세,"2,683",487,818,262,310,217,142,107,260,12,68
2021년07월_여_80~89세,"1,857",336,593,210,205,133,93,63,175,8,41
2021년07월_여_90~99세,300,58,115,22,29,11,18,9,24,2,12
2021년07월_여_100세 이상,18,4,4,3,3,1,1,0,2,0,0
