카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년04월_계_총인구수,"47,963","21,274","3,395","4,356","2,278","1,940","2,393","3,296",981,"2,848","1,871","3,331"
2020년04월_계_연령구간인구수,"47,963","21,274","3,395","4,356","2,278","1,940","2,393","3,296",981,"2,848","1,871","3,331"
2020년04월_계_0~9세,"2,480","1,606",118,178,44,57,73,111,35,97,48,113
2020년04월_계_10~19세,"3,549","2,227",166,264,122,95,111,189,53,101,85,136
2020년04월_계_20~29세,"4,554","2,759",234,318,154,119,112,352,48,161,97,200
2020년04월_계_30~39세,"3,493","2,074",188,282,111,85,116,181,41,135,82,198
2020년04월_계_40~49세,"5,544","3,085",342,454,207,156,203,291,73,220,195,318
2020년04월_계_50~59세,"8,620","3,582",685,821,458,361,417,648,184,530,332,602
2020년04월_계_60~69세,"8,798","2,891",746,928,494,456,566,659,219,671,402,766
2020년04월_계_70~79세,"6,480","1,956",507,690,392,323,460,500,188,512,360,592
2020년04월_계_80~89세,"3,864",961,351,373,253,260,282,329,122,355,224,354
2020년04월_계_90~99세,546,119,53,43,42,27,51,35,17,62,46,51
2020년04월_계_100세 이상,35,14,5,5,1,1,2,1,1,4,0,1
2020년04월_남_총인구수,"23,828","10,512","1,718","2,193","1,122",947,"1,160","1,668",484,"1,435",935,"1,654"
2020년04월_남_연령구간인구수,"23,828","10,512","1,718","2,193","1,122",947,"1,160","1,668",484,"1,435",935,"1,654"
2020년04월_남_0~9세,"1,283",824,64,101,21,29,31,47,19,60,29,58
2020년04월_남_10~19세,"1,810","1,108",83,134,61,52,69,107,32,51,42,71
2020년04월_남_20~29세,"2,566","1,499",132,193,95,67,63,220,24,98,62,113
2020년04월_남_30~39세,"1,844","1,052",112,145,61,51,62,108,26,75,51,101
2020년04월_남_40~49세,"3,033","1,568",191,265,124,97,124,166,44,144,114,196
2020년04월_남_50~59세,"4,539","1,836",374,440,242,191,226,350,103,286,177,314
2020년04월_남_60~69세,"4,457","1,443",392,480,244,237,282,330,115,334,211,389
2020년04월_남_70~79세,"2,826",825,240,294,172,126,200,215,79,241,161,273
2020년04월_남_80~89세,"1,332",330,118,131,92,91,92,117,37,128,74,122
2020년04월_남_90~99세,128,22,11,9,9,6,10,8,5,17,14,17
2020년04월_남_100세 이상,10,5,1,1,1,0,1,0,0,1,0,0
2020년04월_여_총인구수,"24,135","10,762","1,677","2,163","1,156",993,"1,233","1,628",497,"1,413",936,"1,677"
2020년04월_여_연령구간인구수,"24,135","10,762","1,677","2,163","1,156",993,"1,233","1,628",497,"1,413",936,"1,677"
2020년04월_여_0~9세,"1,197",782,54,77,23,28,42,64,16,37,19,55
2020년04월_여_10~19세,"1,739","1,119",83,130,61,43,42,82,21,50,43,65
2020년04월_여_20~29세,"1,988","1,260",102,125,59,52,49,132,24,63,35,87
2020년04월_여_30~39세,"1,649","1,022",76,137,50,34,54,73,15,60,31,97
2020년04월_여_40~49세,"2,511","1,517",151,189,83,59,79,125,29,76,81,122
2020년04월_여_50~59세,"4,081","1,746",311,381,216,170,191,298,81,244,155,288
2020년04월_여_60~69세,"4,341","1,448",354,448,250,219,284,329,104,337,191,377
2020년04월_여_70~79세,"3,654","1,131",267,396,220,197,260,285,109,271,199,319
2020년04월_여_80~89세,"2,532",631,233,242,161,169,190,212,85,227,150,232
2020년04월_여_90~99세,418,97,42,34,33,21,41,27,12,45,32,34
2020년04월_여_100세 이상,25,9,4,4,0,1,1,1,1,3,0,1
