,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020년04월_계_총인구수,"289,059","14,976","26,653","20,729","39,757","43,543","15,812","30,708","13,254","12,584","11,304","12,735","27,603","19,401"
2020년04월_계_연령구간인구수,"289,059","14,976","26,653","20,729","39,757","43,543","15,812","30,708","13,254","12,584","11,304","12,735","27,603","19,401"
2020년04월_계_0~9세,"20,011",770,"1,542","1,014","2,321","4,267","1,031","2,806",538,490,500,926,"2,440","1,366"
2020년04월_계_10~19세,"24,518",741,"1,860","1,644","3,399","4,750","1,380","4,030",657,717,677,812,"2,448","1,403"
2020년04월_계_20~29세,"38,895","2,147","3,786","3,077","4,782","6,159","2,352","4,021","1,696","1,966","1,490","1,545","3,391","2,483"
2020년04월_계_30~39세,"34,992","2,033","3,420","2,102","4,053","5,744","1,730","3,297","1,661","1,544","1,224","2,035","3,570","2,579"
2020년04월_계_40~49세,"41,696","1,807","3,595","3,045","5,543","6,804","2,093","5,658","1,633","1,628","1,523","1,557","4,241","2,569"
2020년04월_계_50~59세,"55,712","3,096","5,502","4,427","7,818","8,552","3,340","5,460","2,484","2,390","2,026","2,298","4,776","3,543"
2020년04월_계_60~69세,"43,584","2,591","4,240","3,352","6,331","4,902","2,258","3,034","2,554","2,292","2,115","2,174","4,239","3,502"
2020년04월_계_70~79세,"20,741","1,249","1,970","1,545","3,521","1,705","1,077","1,694","1,368","1,081","1,243","1,034","1,814","1,440"
2020년04월_계_80~89세,"7,797",478,650,459,"1,803",567,441,627,589,406,450,304,583,440
2020년04월_계_90~99세,"1,013",59,72,60,182,88,73,79,69,65,50,45,96,75
2020년04월_계_100세 이상,100,5,16,4,4,5,37,2,5,5,6,5,5,1
2020년04월_남_총인구수,"143,102","7,584","13,727","10,638","19,328","21,453","7,741","15,011","6,527","6,252","5,526","6,257","13,559","9,499"
2020년04월_남_연령구간인구수,"143,102","7,584","13,727","10,638","19,328","21,453","7,741","15,011","6,527","6,252","5,526","6,257","13,559","9,499"
2020년04월_남_0~9세,"10,274",374,822,529,"1,185","2,187",534,"1,446",271,248,263,450,"1,254",711
2020년04월_남_10~19세,"12,786",354,"1,010",883,"1,733","2,463",713,"2,112",361,385,351,408,"1,257",756
2020년04월_남_20~29세,"20,875","1,130","2,046","1,738","2,573","3,309","1,272","2,124",929,"1,008",795,804,"1,791","1,356"
2020년04월_남_30~39세,"18,082","1,157","1,874","1,126","2,141","2,740",904,"1,523",905,879,678,"1,065","1,781","1,309"
2020년04월_남_40~49세,"20,640","1,000","1,890","1,580","2,717","3,148",991,"2,582",844,861,819,807,"2,117","1,284"
2020년04월_남_50~59세,"26,661","1,522","2,759","2,194","3,715","4,035","1,541","2,741","1,206","1,157",977,"1,054","2,240","1,520"
2020년04월_남_60~69세,"21,514","1,297","2,138","1,686","3,242","2,526","1,134","1,453","1,199","1,085",979,"1,061","2,028","1,686"
2020년04월_남_70~79세,"9,481",581,938,728,"1,439",861,487,746,616,491,521,493,876,704
2020년04월_남_80~89세,"2,569",157,238,162,537,173,134,265,182,123,133,111,195,159
2020년04월_남_90~99세,199,11,10,12,46,11,19,18,14,14,8,3,19,14
2020년04월_남_100세 이상,21,1,2,0,0,0,12,1,0,1,2,1,1,0
2020년04월_여_총인구수,"145,957","7,392","12,926","10,091","20,429","22,090","8,071","15,697","6,727","6,332","5,778","6,478","14,044","9,902"
2020년04월_여_연령구간인구수,"145,957","7,392","12,926","10,091","20,429","22,090","8,071","15,697","6,727","6,332","5,778","6,478","14,044","9,902"
2020년04월_여_0~9세,"9,737",396,720,485,"1,136","2,080",497,"1,360",267,242,237,476,"1,186",655
2020년04월_여_10~19세,"11,732",387,850,761,"1,666","2,287",667,"1,918",296,332,326,404,"1,191",647
2020년04월_여_20~29세,"18,020","1,017","1,740","1,339","2,209","2,850","1,080","1,897",767,958,695,741,"1,600","1,127"
2020년04월_여_30~39세,"16,910",876,"1,546",976,"1,912","3,004",826,"1,774",756,665,546,970,"1,789","1,270"
2020년04월_여_40~49세,"21,056",807,"1,705","1,465","2,826","3,656","1,102","3,076",789,767,704,750,"2,124","1,285"
2020년04월_여_50~59세,"29,051","1,574","2,743","2,233","4,103","4,517","1,799","2,719","1,278","1,233","1,049","1,244","2,536","2,023"
2020년04월_여_60~69세,"22,070","1,294","2,102","1,666","3,089","2,376","1,124","1,581","1,355","1,207","1,136","1,113","2,211","1,816"
2020년04월_여_70~79세,"11,260",668,"1,032",817,"2,082",844,590,948,752,590,722,541,938,736
2020년04월_여_80~89세,"5,228",321,412,297,"1,266",394,307,362,407,283,317,193,388,281
2020년04월_여_90~99세,814,48,62,48,136,77,54,61,55,51,42,42,77,61
2020년04월_여_100세 이상,79,4,14,4,4,5,25,1,5,4,4,4,4,1
