카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020년04월_계_총인구수,"351,383","118,927","35,404","3,387","13,156","8,462","11,464","34,087","22,364","9,176","28,811","20,152","31,048","14,945"
2020년04월_계_연령구간인구수,"351,383","118,927","35,404","3,387","13,156","8,462","11,464","34,087","22,364","9,176","28,811","20,152","31,048","14,945"
2020년04월_계_0~9세,"35,881","16,474","5,071",81,575,209,455,"2,814","1,463",788,"2,577","1,524","2,637","1,213"
2020년04월_계_10~19세,"34,146","12,083","2,720",107,902,507,652,"4,415","1,887","1,052","3,332","1,777","3,335","1,377"
2020년04월_계_20~29세,"41,134","14,451","3,474",188,"1,388",895,"1,431","4,676","3,246","1,041","3,268","2,197","3,187","1,692"
2020년04월_계_30~39세,"51,175","21,870","6,892",201,"1,156",631,"1,251","3,634","3,128","1,146","3,569","2,427","3,414","1,856"
2020년04월_계_40~49세,"60,360","21,213","6,144",290,"1,733",982,"1,462","6,401","3,619","1,698","5,463","3,407","5,568","2,380"
2020년04월_계_50~59세,"58,334","16,581","4,842",643,"2,882","1,987","2,515","6,114","4,606","1,571","4,875","3,819","5,117","2,782"
2020년04월_계_60~69세,"40,545","10,131","3,809",912,"2,466","1,833","2,255","3,253","2,790","1,091","3,378","2,729","3,905","1,993"
2020년04월_계_70~79세,"20,365","4,259","1,768",617,"1,369",871,985,"1,928","1,115",536,"1,640","1,510","2,656","1,111"
2020년04월_계_80~89세,"8,369","1,627",598,299,597,457,401,781,442,231,622,700,"1,126",488
2020년04월_계_90~99세,"1,017",230,84,47,79,83,48,69,65,22,78,60,99,53
2020년04월_계_100세 이상,57,8,2,2,9,7,9,2,3,0,9,2,4,0
2020년04월_남_총인구수,"176,363","58,876","17,925","1,748","6,693","4,467","6,084","16,522","11,705","4,602","14,978","10,052","15,189","7,522"
2020년04월_남_연령구간인구수,"176,363","58,876","17,925","1,748","6,693","4,467","6,084","16,522","11,705","4,602","14,978","10,052","15,189","7,522"
2020년04월_남_0~9세,"18,362","8,427","2,606",45,284,103,236,"1,438",749,400,"1,331",764,"1,348",631
2020년04월_남_10~19세,"17,557","6,227","1,365",48,452,274,367,"2,304",996,486,"1,712",908,"1,709",709
2020년04월_남_20~29세,"22,014","7,183","1,882",115,818,544,845,"2,467","1,869",559,"1,853","1,208","1,726",945
2020년04월_남_30~39세,"26,230","10,823","3,464",130,657,377,742,"1,755","1,789",622,"1,906","1,273","1,712",980
2020년04월_남_40~49세,"30,691","10,637","3,333",174,924,524,826,"2,931","1,911",851,"2,878","1,724","2,797","1,181"
2020년04월_남_50~59세,"29,440","8,127","2,382",350,"1,472","1,060","1,300","3,034","2,304",831,"2,628","1,957","2,584","1,411"
2020년04월_남_60~69세,"19,922","4,976","1,815",469,"1,271",990,"1,157","1,480","1,472",543,"1,684","1,341","1,741",983
2020년04월_남_70~79세,"9,060","1,931",858,306,600,423,465,802,474,240,748,626,"1,099",488
2020년04월_남_80~89세,"2,863",508,202,100,196,153,130,296,120,69,225,235,444,185
2020년04월_남_90~99세,215,36,18,11,16,19,15,14,19,1,13,16,28,9
2020년04월_남_100세 이상,9,1,0,0,3,0,1,1,2,0,0,0,1,0
2020년04월_여_총인구수,"175,020","60,051","17,479","1,639","6,463","3,995","5,380","17,565","10,659","4,574","13,833","10,100","15,859","7,423"
2020년04월_여_연령구간인구수,"175,020","60,051","17,479","1,639","6,463","3,995","5,380","17,565","10,659","4,574","13,833","10,100","15,859","7,423"
2020년04월_여_0~9세,"17,519","8,047","2,465",36,291,106,219,"1,376",714,388,"1,246",760,"1,289",582
2020년04월_여_10~19세,"16,589","5,856","1,355",59,450,233,285,"2,111",891,566,"1,620",869,"1,626",668
2020년04월_여_20~29세,"19,120","7,268","1,592",73,570,351,586,"2,209","1,377",482,"1,415",989,"1,461",747
2020년04월_여_30~39세,"24,945","11,047","3,428",71,499,254,509,"1,879","1,339",524,"1,663","1,154","1,702",876
2020년04월_여_40~49세,"29,669","10,576","2,811",116,809,458,636,"3,470","1,708",847,"2,585","1,683","2,771","1,199"
2020년04월_여_50~59세,"28,894","8,454","2,460",293,"1,410",927,"1,215","3,080","2,302",740,"2,247","1,862","2,533","1,371"
2020년04월_여_60~69세,"20,623","5,155","1,994",443,"1,195",843,"1,098","1,773","1,318",548,"1,694","1,388","2,164","1,010"
2020년04월_여_70~79세,"11,305","2,328",910,311,769,448,520,"1,126",641,296,892,884,"1,557",623
2020년04월_여_80~89세,"5,506","1,119",396,199,401,304,271,485,322,162,397,465,682,303
2020년04월_여_90~99세,802,194,66,36,63,64,33,55,46,21,65,44,71,44
2020년04월_여_100세 이상,48,7,2,2,6,7,8,1,1,0,9,2,3,0
