,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년09월_계_총인구수,"42,842","7,713","19,172","3,123","3,885","2,588","1,748",995,"2,707",191,720
2021년09월_계_연령구간인구수,"42,842","7,713","19,172","3,123","3,885","2,588","1,748",995,"2,707",191,720
2021년09월_계_0~9세,"2,578",674,"1,472",84,117,82,43,22,59,4,21
2021년09월_계_10~19세,"3,057",409,"1,906",161,188,138,64,47,100,9,35
2021년09월_계_20~29세,"5,158","1,197","2,357",312,467,224,126,66,313,44,52
2021년09월_계_30~39세,"4,110","1,004","2,134",173,251,161,127,62,142,13,43
2021년09월_계_40~49세,"4,772",770,"2,614",268,389,230,132,75,222,15,57
2021년09월_계_50~59세,"6,960","1,031","3,182",557,674,490,318,143,402,27,136
2021년09월_계_60~69세,"7,933","1,172","2,917",724,897,591,502,248,674,40,168
2021년09월_계_70~79세,"4,891",844,"1,523",481,537,413,245,206,491,24,127
2021년09월_계_80~89세,"2,943",524,898,327,323,241,162,115,269,13,71
2021년09월_계_90~99세,414,83,162,32,39,17,27,10,32,2,10
2021년09월_계_100세 이상,26,5,7,4,3,1,2,1,3,0,0
2021년09월_남_총인구수,"22,453","4,172","9,770","1,660","2,072","1,386",938,535,"1,436",115,369
2021년09월_남_연령구간인구수,"22,453","4,172","9,770","1,660","2,072","1,386",938,535,"1,436",115,369
2021년09월_남_0~9세,"1,304",331,751,43,52,42,24,15,30,2,14
2021년09월_남_10~19세,"1,623",234,975,88,106,82,38,29,48,6,17
2021년09월_남_20~29세,"3,284",826,"1,345",214,338,139,75,41,234,37,35
2021년09월_남_30~39세,"2,347",590,"1,161",107,160,99,75,37,88,8,22
2021년09월_남_40~49세,"2,611",441,"1,332",160,231,129,83,50,139,8,38
2021년09월_남_50~59세,"3,770",586,"1,663",311,374,273,172,82,225,14,70
2021년09월_남_60~69세,"4,112",598,"1,494",391,455,313,284,127,342,23,85
2021년09월_남_70~79세,"2,220",358,705,222,230,196,107,101,230,12,59
2021년09월_남_80~89세,"1,063",183,297,112,115,108,71,51,92,5,29
2021년09월_남_90~99세,111,24,44,11,11,5,8,1,7,0,0
2021년09월_남_100세 이상,8,1,3,1,0,0,1,1,1,0,0
2021년09월_여_총인구수,"20,389","3,541","9,402","1,463","1,813","1,202",810,460,"1,271",76,351
2021년09월_여_연령구간인구수,"20,389","3,541","9,402","1,463","1,813","1,202",810,460,"1,271",76,351
2021년09월_여_0~9세,"1,274",343,721,41,65,40,19,7,29,2,7
2021년09월_여_10~19세,"1,434",175,931,73,82,56,26,18,52,3,18
2021년09월_여_20~29세,"1,874",371,"1,012",98,129,85,51,25,79,7,17
2021년09월_여_30~39세,"1,763",414,973,66,91,62,52,25,54,5,21
2021년09월_여_40~49세,"2,161",329,"1,282",108,158,101,49,25,83,7,19
2021년09월_여_50~59세,"3,190",445,"1,519",246,300,217,146,61,177,13,66
2021년09월_여_60~69세,"3,821",574,"1,423",333,442,278,218,121,332,17,83
2021년09월_여_70~79세,"2,671",486,818,259,307,217,138,105,261,12,68
2021년09월_여_80~89세,"1,880",341,601,215,208,133,91,64,177,8,42
2021년09월_여_90~99세,303,59,118,21,28,12,19,9,25,2,10
2021년09월_여_100세 이상,18,4,4,3,3,1,1,0,2,0,0
