카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년11월_계_총인구수,"1,078,047","476,341","15,125","23,772","45,472","21,892","11,543","11,304","22,790","20,939","30,556","36,675","15,707","38,162","33,519","19,174","22,178","32,577","46,136","26,316","2,504","298,725","34,752","47,455","23,721","39,289","30,863","20,947","24,491","16,677","10,700","26,830","23,000","302,981","27,789","18,748","36,146","52,323","28,123","29,434","36,490","21,912","52,016"
2020년11월_계_연령구간인구수,"1,078,047","476,341","15,125","23,772","45,472","21,892","11,543","11,304","22,790","20,939","30,556","36,675","15,707","38,162","33,519","19,174","22,178","32,577","46,136","26,316","2,504","298,725","34,752","47,455","23,721","39,289","30,863","20,947","24,491","16,677","10,700","26,830","23,000","302,981","27,789","18,748","36,146","52,323","28,123","29,434","36,490","21,912","52,016"
2020년11월_계_0~9세,"82,245","38,637",583,"3,142","5,455","1,318",654,"1,528","2,274","2,562","2,290","2,165",922,"2,027","2,676",727,"1,427","2,302","2,783","3,722",80,"20,774","3,318","3,455","1,250","3,239","2,051",910,"1,421","1,239","1,379","1,116","1,396","22,834","2,023",945,"2,652","4,672","1,912","2,033","2,272","1,669","4,656"
2020년11월_계_10~19세,"105,236","41,548","1,226","1,955","3,959","1,885","1,074",798,"1,463","1,502","3,166","2,837","1,242","3,735","3,818","1,243","2,087","2,878","4,907","1,638",135,"29,669","4,693","4,505","2,131","4,567","2,801","1,344","3,292","2,234",941,"1,608","1,553","34,019","2,690","1,516","5,865","5,645","3,276","3,244","3,079","2,311","6,393"
2020년11월_계_20~29세,"150,878","62,894","2,143","2,302","5,100","2,999","1,472","1,482","2,724","2,370","3,602","4,376","2,123","6,250","4,635","2,873","3,125","5,021","6,982","2,915",400,"44,943","4,780","7,041","4,024","5,407","4,979","3,451","3,873","2,298","1,128","5,015","2,947","43,041","4,045","2,788","4,846","7,552","3,716","3,856","6,390","3,147","6,701"
2020년11월_계_30~39세,"142,468","67,715","1,527","4,050","7,751","2,518","1,292","2,371","4,385","4,645","3,374","4,122","1,805","4,275","4,326","2,292","2,749","4,917","5,126","5,928",262,"38,119","3,771","5,579","2,913","4,731","4,509","3,399","2,273","1,589","1,631","4,809","2,915","36,634","3,264","1,940","3,500","7,143","3,289","3,352","5,374","2,960","5,812"
2020년11월_계_40~49세,"182,462","78,753","2,202","4,291","8,441","3,531","1,775","1,855","3,717","3,624","5,321","5,760","2,285","5,950","6,303","2,772","3,578","5,052","7,553","4,444",299,"51,220","6,922","7,412","3,667","6,906","5,105","3,756","4,191","2,994","1,944","4,841","3,482","52,489","4,383","2,597","7,276","9,283","4,703","4,894","5,705","3,780","9,868"
2020년11월_계_50~59세,"194,480","82,733","3,175","3,324","6,439","4,239","2,120","1,532","3,271","2,647","5,064","6,952","3,188","7,603","5,789","4,044","4,248","6,049","9,277","3,296",476,"55,695","6,232","9,227","4,499","7,002","5,727","3,859","4,831","3,119","1,866","4,787","4,546","56,052","5,259","4,232","6,518","9,572","5,018","5,230","6,832","3,978","9,413"
2020년11월_계_60~69세,"120,357","56,493","2,335","2,771","4,682","2,913","1,602",966,"2,702","2,069","4,055","5,745","2,278","4,074","3,079","2,947","2,762","3,354","5,157","2,549",453,"32,522","2,929","5,623","2,951","4,168","3,318","2,293","2,570","1,556","1,165","2,474","3,475","31,342","3,268","2,707","3,136","4,537","3,056","3,204","3,862","2,291","5,281"
2020년11월_계_70~79세,"61,973","30,425","1,240","1,321","2,478","1,576",945,489,"1,538","1,045","2,449","3,124","1,192","2,566","1,728","1,435","1,375","1,851","2,623","1,190",260,"15,582","1,348","2,749","1,447","2,027","1,494","1,152","1,187",848,449,"1,253","1,628","15,966","1,816","1,239","1,367","2,344","1,743","1,963","1,880","1,109","2,505"
