카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년04월_계_총인구수,"78,726","33,868","9,616","2,541","3,135","3,231","1,762","2,542","6,735","2,540","4,601","3,614","4,541"
2020년04월_계_연령구간인구수,"78,726","33,868","9,616","2,541","3,135","3,231","1,762","2,542","6,735","2,540","4,601","3,614","4,541"
2020년04월_계_0~9세,"3,807","2,233",537,55,78,88,32,61,270,88,134,108,123
2020년04월_계_10~19세,"5,833","3,411",652,96,161,145,64,144,411,145,253,132,219
2020년04월_계_20~29세,"7,029","3,654","1,054",148,167,200,85,199,504,138,295,260,325
2020년04월_계_30~39세,"6,370","3,169","1,063",161,198,142,89,145,487,161,251,232,272
2020년04월_계_40~49세,"9,794","5,120","1,119",244,287,300,159,247,780,244,455,351,488
2020년04월_계_50~59세,"13,912","6,036","1,575",442,488,553,291,472,"1,348",432,811,612,852
2020년04월_계_60~69세,"14,288","5,183","1,556",588,708,678,455,539,"1,364",522,939,780,976
2020년04월_계_70~79세,"10,333","3,200","1,139",469,582,582,336,400,915,445,861,646,758
2020년04월_계_80~89세,"6,515","1,648",821,299,414,491,218,292,572,308,547,443,462
2020년04월_계_90~99세,808,202,93,36,50,51,33,42,79,54,53,50,65
2020년04월_계_100세 이상,37,12,7,3,2,1,0,1,5,3,2,0,1
2020년04월_남_총인구수,"39,524","16,826","4,829","1,319","1,594","1,590",881,"1,315","3,341","1,287","2,340","1,830","2,372"
2020년04월_남_연령구간인구수,"39,524","16,826","4,829","1,319","1,594","1,590",881,"1,315","3,341","1,287","2,340","1,830","2,372"
2020년04월_남_0~9세,"1,959","1,157",267,25,43,47,18,31,139,44,66,58,64
2020년04월_남_10~19세,"3,011","1,732",335,50,94,72,32,83,214,69,128,77,125
2020년04월_남_20~29세,"3,971","2,002",588,87,106,110,48,115,285,90,184,154,202
2020년04월_남_30~39세,"3,571","1,684",606,96,121,80,53,93,265,103,157,139,174
2020년04월_남_40~49세,"5,383","2,598",624,175,169,176,101,164,428,144,281,217,306
2020년04월_남_50~59세,"7,359","3,088",823,248,263,320,149,243,698,246,455,341,485
2020년04월_남_60~69세,"7,050","2,468",753,304,359,356,244,278,672,259,462,400,495
2020년04월_남_70~79세,"4,687","1,455",518,214,268,248,163,181,413,203,403,284,337
2020년04월_남_80~89세,"2,345",591,297,114,164,165,71,114,208,112,195,149,165
2020년04월_남_90~99세,183,49,18,5,7,16,2,12,19,16,9,11,19
2020년04월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년04월_여_총인구수,"39,202","17,042","4,787","1,222","1,541","1,641",881,"1,227","3,394","1,253","2,261","1,784","2,169"
2020년04월_여_연령구간인구수,"39,202","17,042","4,787","1,222","1,541","1,641",881,"1,227","3,394","1,253","2,261","1,784","2,169"
2020년04월_여_0~9세,"1,848","1,076",270,30,35,41,14,30,131,44,68,50,59
2020년04월_여_10~19세,"2,822","1,679",317,46,67,73,32,61,197,76,125,55,94
2020년04월_여_20~29세,"3,058","1,652",466,61,61,90,37,84,219,48,111,106,123
2020년04월_여_30~39세,"2,799","1,485",457,65,77,62,36,52,222,58,94,93,98
2020년04월_여_40~49세,"4,411","2,522",495,69,118,124,58,83,352,100,174,134,182
2020년04월_여_50~59세,"6,553","2,948",752,194,225,233,142,229,650,186,356,271,367
2020년04월_여_60~69세,"7,238","2,715",803,284,349,322,211,261,692,263,477,380,481
2020년04월_여_70~79세,"5,646","1,745",621,255,314,334,173,219,502,242,458,362,421
2020년04월_여_80~89세,"4,170","1,057",524,185,250,326,147,178,364,196,352,294,297
2020년04월_여_90~99세,625,153,75,31,43,35,31,30,60,38,44,39,46
2020년04월_여_100세 이상,32,10,7,2,2,1,0,0,5,2,2,0,1
