카테고리,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년02월_계_총인구수,"55,425","21,471","2,280","2,721","2,843","2,604","2,493","2,898","1,859","3,416","2,562","3,167","2,015","2,252","2,844"
2020년02월_계_연령구간인구수,"55,425","21,471","2,280","2,721","2,843","2,604","2,493","2,898","1,859","3,416","2,562","3,167","2,015","2,252","2,844"
2020년02월_계_0~9세,"2,864","1,890",62,89,89,81,64,85,53,88,73,82,57,62,89
2020년02월_계_10~19세,"4,441","2,690",108,102,219,128,157,127,62,159,117,164,83,111,214
2020년02월_계_20~29세,"4,466","2,388",152,180,183,158,188,160,84,203,162,218,126,131,133
2020년02월_계_30~39세,"4,118","2,217",137,156,143,152,133,148,104,176,173,182,115,135,147
2020년02월_계_40~49세,"6,538","3,269",196,262,267,234,261,242,166,322,265,324,195,212,323
2020년02월_계_50~59세,"9,318","3,438",419,520,480,438,454,470,299,618,507,560,318,384,413
2020년02월_계_60~69세,"9,366","2,669",463,530,514,521,443,629,407,660,518,638,420,435,519
2020년02월_계_70~79세,"8,405","1,779",417,512,597,520,485,623,346,699,471,560,389,431,576
2020년02월_계_80~89세,"5,119",966,286,321,317,325,266,363,299,418,245,381,268,291,373
2020년02월_계_90~99세,753,158,38,48,33,45,41,46,38,67,30,54,44,59,52
2020년02월_계_100세 이상,37,7,2,1,1,2,1,5,1,6,1,4,0,1,5
2020년02월_남_총인구수,"27,338","10,585","1,169","1,390","1,402","1,283","1,197","1,407",909,"1,690","1,295","1,532","1,027","1,082","1,370"
2020년02월_남_연령구간인구수,"27,338","10,585","1,169","1,390","1,402","1,283","1,197","1,407",909,"1,690","1,295","1,532","1,027","1,082","1,370"
2020년02월_남_0~9세,"1,509",983,32,46,44,45,40,45,26,47,44,42,27,37,51
2020년02월_남_10~19세,"2,383","1,437",60,62,129,62,89,58,37,83,60,82,57,52,115
2020년02월_남_20~29세,"2,501","1,316",95,103,103,91,94,87,53,126,85,122,77,72,77
2020년02월_남_30~39세,"2,212","1,086",81,98,85,90,73,89,65,103,106,103,65,78,90
2020년02월_남_40~49세,"3,739","1,657",137,167,166,145,158,159,109,206,178,191,134,135,197
2020년02월_남_50~59세,"5,049","1,699",251,319,265,247,249,266,180,340,281,301,183,219,249
2020년02월_남_60~69세,"4,616","1,285",241,266,246,261,210,307,196,342,265,323,219,215,240
2020년02월_남_70~79세,"3,555",749,189,214,248,227,199,282,141,289,195,230,172,186,234
2020년02월_남_80~89세,"1,633",345,76,105,109,102,76,107,92,140,76,130,86,81,108
2020년02월_남_90~99세,139,28,7,10,7,13,9,6,10,13,5,8,7,7,9
2020년02월_남_100세 이상,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020년02월_여_총인구수,"28,087","10,886","1,111","1,331","1,441","1,321","1,296","1,491",950,"1,726","1,267","1,635",988,"1,170","1,474"
2020년02월_여_연령구간인구수,"28,087","10,886","1,111","1,331","1,441","1,321","1,296","1,491",950,"1,726","1,267","1,635",988,"1,170","1,474"
2020년02월_여_0~9세,"1,355",907,30,43,45,36,24,40,27,41,29,40,30,25,38
2020년02월_여_10~19세,"2,058","1,253",48,40,90,66,68,69,25,76,57,82,26,59,99
2020년02월_여_20~29세,"1,965","1,072",57,77,80,67,94,73,31,77,77,96,49,59,56
2020년02월_여_30~39세,"1,906","1,131",56,58,58,62,60,59,39,73,67,79,50,57,57
2020년02월_여_40~49세,"2,799","1,612",59,95,101,89,103,83,57,116,87,133,61,77,126
2020년02월_여_50~59세,"4,269","1,739",168,201,215,191,205,204,119,278,226,259,135,165,164
2020년02월_여_60~69세,"4,750","1,384",222,264,268,260,233,322,211,318,253,315,201,220,279
2020년02월_여_70~79세,"4,850","1,030",228,298,349,293,286,341,205,410,276,330,217,245,342
2020년02월_여_80~89세,"3,486",621,210,216,208,223,190,256,207,278,169,251,182,210,265
2020년02월_여_90~99세,614,130,31,38,26,32,32,40,28,54,25,46,37,52,43
2020년02월_여_100세 이상,35,7,2,1,1,2,1,4,1,5,1,4,0,1,5
