,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년11월_계_총인구수,"317,943","24,794","29,098","13,839","26,598","24,630","21,123","26,902","21,380","18,768","16,556","18,684","28,717","19,703","27,151"
2021년11월_계_연령구간인구수,"317,943","24,794","29,098","13,839","26,598","24,630","21,123","26,902","21,380","18,768","16,556","18,684","28,717","19,703","27,151"
2021년11월_계_0~9세,"17,188","1,443","1,627",682,"1,640","1,446",803,"1,525","1,090",944,763,"1,136","1,454",834,"1,801"
2021년11월_계_10~19세,"24,395","2,064","2,140","1,027","2,535","1,871","1,128","1,586","1,551","1,319","1,005","1,946","2,137","1,413","2,673"
2021년11월_계_20~29세,"41,691","3,239","4,113","1,745","3,528","3,553","2,514","3,190","2,890","2,455","2,405","2,427","3,886","2,572","3,174"
2021년11월_계_30~39세,"39,291","3,301","3,936","1,579","3,312","3,453","2,268","3,446","2,527","2,487","2,280","2,242","3,271","2,126","3,063"
2021년11월_계_40~49세,"46,305","3,912","4,429","2,076","4,227","3,426","2,824","3,638","3,055","2,671","2,370","2,829","4,110","2,702","4,036"
2021년11월_계_50~59세,"56,044","4,199","5,120","2,507","4,850","4,307","3,718","4,402","3,737","3,237","2,870","3,364","5,300","3,730","4,703"
2021년11월_계_60~69세,"51,330","3,588","4,265","2,249","3,723","3,836","3,989","4,890","3,441","3,111","2,532","2,888","4,777","3,446","4,595"
2021년11월_계_70~79세,"27,496","1,946","2,334","1,354","1,688","1,767","2,689","2,820","2,046","1,632","1,594","1,152","2,651","1,916","1,907"
2021년11월_계_80~89세,"12,406",974,"1,016",567,933,846,"1,071","1,191",914,780,654,599,978,858,"1,025"
2021년11월_계_90~99세,"1,684",124,115,46,152,122,117,189,113,113,76,98,149,102,168
2021년11월_계_100세 이상,113,4,3,7,10,3,2,25,16,19,7,3,4,4,6
