카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년10월_계_총인구수,"38,011","20,862","1,035","1,424","1,702","2,085","2,229","1,217","1,652","3,756","2,049"
2021년10월_계_연령구간인구수,"38,011","20,862","1,035","1,424","1,702","2,085","2,229","1,217","1,652","3,756","2,049"
2021년10월_계_0~9세,"1,581","1,228",19,26,25,31,36,42,45,86,43
2021년10월_계_10~19세,"2,791","2,067",33,50,79,83,97,45,56,201,80
2021년10월_계_20~29세,"3,131","2,226",49,63,80,119,113,96,94,204,87
2021년10월_계_30~39세,"2,652","1,853",40,49,48,101,111,69,114,178,89
2021년10월_계_40~49세,"4,341","2,883",99,104,147,177,210,110,148,294,169
2021년10월_계_50~59세,"7,133","3,772",188,325,368,421,407,251,282,730,389
2021년10월_계_60~69세,"8,437","3,504",277,394,523,570,663,332,435,"1,083",656
2021년10월_계_70~79세,"4,723","2,032",185,239,256,344,341,163,275,532,356
2021년10월_계_80~89세,"2,845","1,149",130,158,154,208,214,102,175,398,157
2021년10월_계_90~99세,353,143,15,16,22,24,31,7,27,45,23
2021년10월_계_100세 이상,24,5,0,0,0,7,6,0,1,5,0
2021년10월_남_총인구수,"19,669","10,665",538,754,883,"1,101","1,187",677,897,"1,923","1,044"
2021년10월_남_연령구간인구수,"19,669","10,665",538,754,883,"1,101","1,187",677,897,"1,923","1,044"
2021년10월_남_0~9세,836,658,12,9,12,16,16,21,27,45,20
2021년10월_남_10~19세,"1,507","1,130",19,26,40,32,51,26,22,117,44
2021년10월_남_20~29세,"1,821","1,263",34,40,51,77,73,62,57,119,45
2021년10월_남_30~39세,"1,440",972,18,36,30,57,73,36,81,95,42
2021년10월_남_40~49세,"2,343","1,442",66,68,75,116,132,65,104,173,102
2021년10월_남_50~59세,"3,960","2,054",109,184,203,248,245,159,167,389,202
2021년10월_남_60~69세,"4,473","1,806",153,233,281,318,356,179,239,576,332
2021년10월_남_70~79세,"2,158",888,83,98,131,150,166,85,123,252,182
2021년10월_남_80~89세,"1,025",411,43,53,56,78,65,42,66,143,68
2021년10월_남_90~99세,98,40,1,7,4,6,8,2,10,13,7
2021년10월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0
2021년10월_여_총인구수,"18,342","10,197",497,670,819,984,"1,042",540,755,"1,833","1,005"
2021년10월_여_연령구간인구수,"18,342","10,197",497,670,819,984,"1,042",540,755,"1,833","1,005"
2021년10월_여_0~9세,745,570,7,17,13,15,20,21,18,41,23
2021년10월_여_10~19세,"1,284",937,14,24,39,51,46,19,34,84,36
2021년10월_여_20~29세,"1,310",963,15,23,29,42,40,34,37,85,42
2021년10월_여_30~39세,"1,212",881,22,13,18,44,38,33,33,83,47
2021년10월_여_40~49세,"1,998","1,441",33,36,72,61,78,45,44,121,67
2021년10월_여_50~59세,"3,173","1,718",79,141,165,173,162,92,115,341,187
2021년10월_여_60~69세,"3,964","1,698",124,161,242,252,307,153,196,507,324
2021년10월_여_70~79세,"2,565","1,144",102,141,125,194,175,78,152,280,174
2021년10월_여_80~89세,"1,820",738,87,105,98,130,149,60,109,255,89
2021년10월_여_90~99세,255,103,14,9,18,18,23,5,17,32,16
2021년10월_여_100세 이상,16,4,0,0,0,4,4,0,0,4,0
