카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년01월_계_총인구수,"35,336","6,887","1,467","1,073","2,090","2,969","1,853","4,220","5,651","5,826","1,203","2,097"
2020년01월_계_연령구간인구수,"35,336","6,887","1,467","1,073","2,090","2,969","1,853","4,220","5,651","5,826","1,203","2,097"
2020년01월_계_0~9세,"1,510",446,46,41,60,96,43,155,175,359,41,48
2020년01월_계_10~19세,"2,199",527,49,52,108,164,85,294,225,535,43,117
2020년01월_계_20~29세,"2,623",639,92,44,106,190,104,337,400,550,61,100
2020년01월_계_30~39세,"2,332",664,68,50,102,198,85,238,320,465,63,79
2020년01월_계_40~49세,"3,680",846,112,96,150,287,165,492,546,691,103,192
2020년01월_계_50~59세,"6,754","1,209",251,172,333,561,419,909,"1,196","1,136",191,377
2020년01월_계_60~69세,"6,803","1,086",330,196,421,545,397,834,"1,257",995,292,450
2020년01월_계_70~79세,"5,333",853,256,215,444,519,351,573,892,596,234,400
2020년01월_계_80~89세,"3,569",517,232,182,317,342,181,344,568,440,144,302
2020년01월_계_90~99세,520,97,31,25,47,66,23,42,69,58,31,31
2020년01월_계_100세 이상,13,3,0,0,2,1,0,2,3,1,0,1
2020년01월_남_총인구수,"17,300","3,335",702,510,998,"1,451",911,"2,101","2,823","2,864",580,"1,025"
2020년01월_남_연령구간인구수,"17,300","3,335",702,510,998,"1,451",911,"2,101","2,823","2,864",580,"1,025"
2020년01월_남_0~9세,801,232,23,21,41,53,26,74,106,184,21,20
2020년01월_남_10~19세,"1,157",264,29,34,64,88,51,160,120,268,20,59
2020년01월_남_20~29세,"1,489",374,51,18,66,100,55,179,234,307,40,65
2020년01월_남_30~39세,"1,257",342,41,24,57,113,58,123,177,246,32,44
2020년01월_남_40~49세,"2,058",443,67,64,100,165,86,264,319,359,66,125
2020년01월_남_50~59세,"3,609",637,142,103,187,299,217,483,634,577,117,213
2020년01월_남_60~69세,"3,515",527,171,99,205,287,206,428,660,536,157,239
2020년01월_남_70~79세,"2,273",363,108,85,176,220,145,261,412,251,83,169
2020년01월_남_80~89세,"1,031",132,59,59,92,110,65,119,151,126,36,82
2020년01월_남_90~99세,109,21,11,3,10,16,2,9,10,10,8,9
2020년01월_남_100세 이상,1,0,0,0,0,0,0,1,0,0,0,0
2020년01월_여_총인구수,"18,036","3,552",765,563,"1,092","1,518",942,"2,119","2,828","2,962",623,"1,072"
2020년01월_여_연령구간인구수,"18,036","3,552",765,563,"1,092","1,518",942,"2,119","2,828","2,962",623,"1,072"
2020년01월_여_0~9세,709,214,23,20,19,43,17,81,69,175,20,28
2020년01월_여_10~19세,"1,042",263,20,18,44,76,34,134,105,267,23,58
2020년01월_여_20~29세,"1,134",265,41,26,40,90,49,158,166,243,21,35
2020년01월_여_30~39세,"1,075",322,27,26,45,85,27,115,143,219,31,35
2020년01월_여_40~49세,"1,622",403,45,32,50,122,79,228,227,332,37,67
2020년01월_여_50~59세,"3,145",572,109,69,146,262,202,426,562,559,74,164
2020년01월_여_60~69세,"3,288",559,159,97,216,258,191,406,597,459,135,211
2020년01월_여_70~79세,"3,060",490,148,130,268,299,206,312,480,345,151,231
2020년01월_여_80~89세,"2,538",385,173,123,225,232,116,225,417,314,108,220
2020년01월_여_90~99세,411,76,20,22,37,50,21,33,59,48,23,22
2020년01월_여_100세 이상,12,3,0,0,2,1,0,1,3,1,0,1
