,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년04월_계_총인구수,"1,596,303","845,534","193,472","193,334","265,263","193,465","209,434","132,643","32,211","50,341","46,497","36,532","84,437","37,567","92,349","28,758"
2021년04월_계_연령구간인구수,"1,596,303","845,534","193,472","193,334","265,263","193,465","209,434","132,643","32,211","50,341","46,497","36,532","84,437","37,567","92,349","28,758"
2021년04월_계_0~9세,"120,958","73,119","16,287","13,351","23,835","19,646","14,251","8,503","1,420","2,549","2,229","3,117","7,634","1,286","5,701","1,149"
2021년04월_계_10~19세,"147,753","85,311","19,819","19,936","26,273","19,283","18,641","11,560","2,073","3,833","3,278","3,344","8,322","1,975","7,494","1,922"
2021년04월_계_20~29세,"197,283","119,699","24,934","28,124","40,755","25,886","24,158","14,665","2,346","4,286","4,140","4,442","9,273","2,841","9,298","2,135"
2021년04월_계_30~39세,"192,675","117,926","23,522","22,221","40,961","31,222","23,107","12,771","2,120","3,823","3,139","4,608","11,536","2,369","9,350","1,926"
2021년04월_계_40~49세,"239,112","136,198","30,726","30,229","43,109","32,134","30,532","18,174","3,260","6,162","5,154","5,527","13,643","3,747","13,501","3,214"
2021년04월_계_50~59세,"270,275","136,994","33,207","33,793","42,583","27,411","37,057","23,737","5,751","8,789","8,199","5,985","13,654","7,141","17,473","5,495"
2021년04월_계_60~69세,"231,704","101,278","25,208","26,105","28,781","21,184","32,937","23,453","7,044","10,163","9,459","5,155","10,860","8,948","15,848","6,559"
2021년04월_계_70~79세,"119,962","47,375","12,355","12,475","12,160","10,385","17,275","12,416","4,531","6,320","6,436","2,661","5,497","5,399","8,181","3,871"
2021년04월_계_80~89세,"66,910","24,085","6,380","6,204","5,962","5,539","10,127","6,461","3,153","3,805","3,931","1,513","3,520","3,390","4,749","2,176"
2021년04월_계_90~99세,"9,348","3,440","1,000",872,830,738,"1,316",837,498,596,520,177,486,453,733,292
2021년04월_계_100세 이상,323,109,34,24,14,37,33,66,15,15,12,3,12,18,21,19
2021년04월_남_총인구수,"809,679","426,167","96,206","96,008","134,615","99,338","106,018","66,597","16,246","25,378","23,178","19,023","44,228","19,330","48,943","14,571"
2021년04월_남_연령구간인구수,"809,679","426,167","96,206","96,008","134,615","99,338","106,018","66,597","16,246","25,378","23,178","19,023","44,228","19,330","48,943","14,571"
2021년04월_남_0~9세,"61,815","37,304","8,246","6,819","12,152","10,087","7,198","4,356",726,"1,313","1,130","1,621","3,946",642,"2,981",598
2021년04월_남_10~19세,"76,852","44,264","10,289","10,350","13,649","9,976","9,710","6,000","1,113","2,036","1,710","1,748","4,320","1,027","3,900","1,024"
2021년04월_남_20~29세,"109,808","65,254","13,481","15,273","22,048","14,452","13,912","8,181","1,382","2,443","2,333","2,601","5,338","1,692","5,416","1,256"
2021년04월_남_30~39세,"102,467","61,864","12,017","11,461","21,591","16,795","12,537","6,724","1,174","1,980","1,649","2,569","6,350","1,347","5,247","1,026"
2021년04월_남_40~49세,"123,945","69,036","15,264","14,968","21,882","16,922","15,689","9,347","1,812","3,305","2,814","2,977","7,446","2,178","7,568","1,773"
2021년04월_남_50~59세,"139,115","68,611","16,557","16,619","21,360","14,075","18,949","12,122","3,178","4,729","4,370","3,162","7,457","3,885","9,720","2,932"
2021년04월_남_60~69세,"116,237","49,662","12,453","12,612","14,214","10,383","16,513","11,682","3,636","5,202","4,861","2,582","5,555","4,739","8,429","3,376"
2021년04월_남_70~79세,"54,217","21,232","5,506","5,526","5,537","4,663","7,703","5,621","2,052","2,923","2,839","1,199","2,516","2,517","3,872","1,743"
2021년04월_남_80~89세,"23,098","8,220","2,164","2,208","2,018","1,830","3,488","2,360","1,068","1,292","1,356",516,"1,208","1,203","1,628",759
2021년04월_남_90~99세,"2,047",699,223,166,163,147,311,183,105,152,114,46,89,95,176,77
2021년04월_남_100세 이상,78,21,6,6,1,8,8,21,0,3,2,2,3,5,6,7
2021년04월_여_총인구수,"786,624","419,367","97,266","97,326","130,648","94,127","103,416","66,046","15,965","24,963","23,319","17,509","40,209","18,237","43,406","14,187"
2021년04월_여_연령구간인구수,"786,624","419,367","97,266","97,326","130,648","94,127","103,416","66,046","15,965","24,963","23,319","17,509","40,209","18,237","43,406","14,187"
2021년04월_여_0~9세,"59,143","35,815","8,041","6,532","11,683","9,559","7,053","4,147",694,"1,236","1,099","1,496","3,688",644,"2,720",551
2021년04월_여_10~19세,"70,901","41,047","9,530","9,586","12,624","9,307","8,931","5,560",960,"1,797","1,568","1,596","4,002",948,"3,594",898
2021년04월_여_20~29세,"87,475","54,445","11,453","12,851","18,707","11,434","10,246","6,484",964,"1,843","1,807","1,841","3,935","1,149","3,882",879
2021년04월_여_30~39세,"90,208","56,062","11,505","10,760","19,370","14,427","10,570","6,047",946,"1,843","1,490","2,039","5,186","1,022","4,103",900
2021년04월_여_40~49세,"115,167","67,162","15,462","15,261","21,227","15,212","14,843","8,827","1,448","2,857","2,340","2,550","6,197","1,569","5,933","1,441"
2021년04월_여_50~59세,"131,160","68,383","16,650","17,174","21,223","13,336","18,108","11,615","2,573","4,060","3,829","2,823","6,197","3,256","7,753","2,563"
2021년04월_여_60~69세,"115,467","51,616","12,755","13,493","14,567","10,801","16,424","11,771","3,408","4,961","4,598","2,573","5,305","4,209","7,419","3,183"
2021년04월_여_70~79세,"65,745","26,143","6,849","6,949","6,623","5,722","9,572","6,795","2,479","3,397","3,597","1,462","2,981","2,882","4,309","2,128"
2021년04월_여_80~89세,"43,812","15,865","4,216","3,996","3,944","3,709","6,639","4,101","2,085","2,513","2,575",997,"2,312","2,187","3,121","1,417"
2021년04월_여_90~99세,"7,301","2,741",777,706,667,591,"1,005",654,393,444,406,131,397,358,557,215
2021년04월_여_100세 이상,245,88,28,18,13,29,25,45,15,12,10,1,9,13,15,12
