카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년12월_계_총인구수,"486,508","29,059","48,142","29,141","9,880","5,440","8,200","60,981","38,875","22,651","61,768","41,316","45,249","35,971","49,835"
2021년12월_계_연령구간인구수,"486,508","29,059","48,142","29,141","9,880","5,440","8,200","60,981","38,875","22,651","61,768","41,316","45,249","35,971","49,835"
2021년12월_계_0~9세,"53,677","1,749","6,401","2,232",299,125,246,"5,797","4,521","1,474","6,315","5,334","6,441","5,510","7,233"
2021년12월_계_10~19세,"49,972","2,379","4,712","2,524",531,228,437,"6,318","5,616","2,033","7,025","5,230","4,122","3,270","5,547"
2021년12월_계_20~29세,"52,405","3,521","4,322","2,893",907,491,779,"7,566","3,930","3,078","7,627","3,936","5,856","3,032","4,467"
2021년12월_계_30~39세,"75,094","3,200","8,473","3,844",873,413,691,"8,065","5,232","2,800","8,868","6,275","10,211","7,598","8,551"
2021년12월_계_40~49세,"92,370","4,257","9,524","4,854","1,216",584,862,"10,601","8,364","3,703","11,636","9,296","8,912","7,313","11,248"
2021년12월_계_50~59세,"69,269","5,505","6,084","4,967","2,173","1,105","1,631","10,326","5,261","4,206","9,125","5,075","4,362","3,592","5,857"
2021년12월_계_60~69세,"53,848","4,855","5,366","4,527","2,184","1,349","1,866","7,075","3,341","3,013","6,253","3,479","3,242","3,182","4,116"
2021년12월_계_70~79세,"26,645","2,244","2,263","2,140","1,040",700,"1,029","3,375","1,811","1,538","3,319","1,878","1,515","1,804","1,989"
2021년12월_계_80~89세,"11,467","1,157",848,"1,001",559,368,564,"1,632",701,707,"1,400",716,513,582,719
2021년12월_계_90~99세,"1,711",185,145,153,95,74,90,221,97,95,194,96,72,87,107
2021년12월_계_100세 이상,50,7,4,6,3,3,5,5,1,4,6,1,3,1,1
2021년12월_남_총인구수,"243,415","15,531","23,991","15,356","5,797","2,988","4,463","29,983","18,948","11,360","30,084","20,170","22,550","17,839","24,355"
2021년12월_남_연령구간인구수,"243,415","15,531","23,991","15,356","5,797","2,988","4,463","29,983","18,948","11,360","30,084","20,170","22,550","17,839","24,355"
2021년12월_남_0~9세,"27,354",890,"3,338","1,127",159,56,119,"2,910","2,259",791,"3,213","2,692","3,261","2,863","3,676"
2021년12월_남_10~19세,"25,447","1,294","2,437","1,310",293,100,247,"3,219","2,853","1,053","3,591","2,578","2,007","1,619","2,846"
2021년12월_남_20~29세,"26,969","2,098","2,155","1,603",572,305,485,"4,006","1,971","1,648","3,686","1,973","2,842","1,478","2,147"
2021년12월_남_30~39세,"36,839","1,807","4,023","2,116",559,243,400,"3,910","2,429","1,471","4,201","2,953","5,141","3,738","3,848"
2021년12월_남_40~49세,"47,904","2,373","4,905","2,740",763,364,536,"5,205","4,119","1,871","5,761","4,715","4,761","3,942","5,849"
2021년12월_남_50~59세,"35,434","3,019","3,060","2,711","1,395",645,933,"5,059","2,656","2,081","4,508","2,573","2,162","1,735","2,897"
2021년12월_남_60~69세,"26,188","2,557","2,561","2,328","1,279",743,"1,016","3,509","1,515","1,471","2,930","1,566","1,472","1,390","1,851"
2021년12월_남_70~79세,"12,496","1,031","1,145","1,020",528,378,481,"1,501",849,700,"1,575",840,697,831,920
2021년12월_남_80~89세,"4,367",416,335,370,229,138,221,600,271,251,567,266,190,217,296
2021년12월_남_90~99세,404,45,31,30,19,16,24,61,25,23,50,14,16,26,24
2021년12월_남_100세 이상,13,1,1,1,1,0,1,3,1,0,2,0,1,0,1
2021년12월_여_총인구수,"243,093","13,528","24,151","13,785","4,083","2,452","3,737","30,998","19,927","11,291","31,684","21,146","22,699","18,132","25,480"
2021년12월_여_연령구간인구수,"243,093","13,528","24,151","13,785","4,083","2,452","3,737","30,998","19,927","11,291","31,684","21,146","22,699","18,132","25,480"
2021년12월_여_0~9세,"26,323",859,"3,063","1,105",140,69,127,"2,887","2,262",683,"3,102","2,642","3,180","2,647","3,557"
2021년12월_여_10~19세,"24,525","1,085","2,275","1,214",238,128,190,"3,099","2,763",980,"3,434","2,652","2,115","1,651","2,701"
2021년12월_여_20~29세,"25,436","1,423","2,167","1,290",335,186,294,"3,560","1,959","1,430","3,941","1,963","3,014","1,554","2,320"
2021년12월_여_30~39세,"38,255","1,393","4,450","1,728",314,170,291,"4,155","2,803","1,329","4,667","3,322","5,070","3,860","4,703"
2021년12월_여_40~49세,"44,466","1,884","4,619","2,114",453,220,326,"5,396","4,245","1,832","5,875","4,581","4,151","3,371","5,399"
2021년12월_여_50~59세,"33,835","2,486","3,024","2,256",778,460,698,"5,267","2,605","2,125","4,617","2,502","2,200","1,857","2,960"
2021년12월_여_60~69세,"27,660","2,298","2,805","2,199",905,606,850,"3,566","1,826","1,542","3,323","1,913","1,770","1,792","2,265"
2021년12월_여_70~79세,"14,149","1,213","1,118","1,120",512,322,548,"1,874",962,838,"1,744","1,038",818,973,"1,069"
2021년12월_여_80~89세,"7,100",741,513,631,330,230,343,"1,032",430,456,833,450,323,365,423
2021년12월_여_90~99세,"1,307",140,114,123,76,58,66,160,72,72,144,82,56,61,83
2021년12월_여_100세 이상,37,6,3,5,2,3,4,2,0,4,4,1,2,1,0
