,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년11월_계_총인구수,"131,810","6,704","1,907","1,275","2,012","2,161",706,"3,334","4,635","18,541","9,936","5,771","4,929","10,164","17,902","11,153","15,454","15,226"
2021년11월_계_연령구간인구수,"131,810","6,704","1,907","1,275","2,012","2,161",706,"3,334","4,635","18,541","9,936","5,771","4,929","10,164","17,902","11,153","15,454","15,226"
2021년11월_계_0~9세,"8,214",234,41,20,37,70,19,81,104,"1,487",768,242,186,773,"1,275",666,627,"1,584"
2021년11월_계_10~19세,"11,360",330,86,46,61,185,39,137,197,"2,236","1,085",376,297,889,"1,765","1,152","1,071","1,408"
2021년11월_계_20~29세,"14,380",461,108,68,69,68,32,165,336,"2,252","1,263",653,571,"1,027","2,608","1,354","1,826","1,519"
2021년11월_계_30~39세,"12,383",384,96,61,71,84,34,134,241,"1,865",965,452,397,"1,075","2,123",996,"1,382","2,023"
2021년11월_계_40~49세,"17,707",658,128,76,130,160,70,224,376,"3,121","1,599",710,528,"1,429","2,632","1,680","1,844","2,342"
2021년11월_계_50~59세,"23,508","1,265",353,251,380,351,141,603,859,"3,497","1,785",981,897,"1,750","3,103","2,150","2,799","2,343"
2021년11월_계_60~69세,"24,365","1,799",567,382,626,603,192,"1,046","1,308","2,442","1,448","1,245","1,136","1,703","2,583","1,723","3,388","2,174"
2021년11월_계_70~79세,"12,297",918,270,204,379,385,94,521,703,"1,075",626,731,632,954,"1,092",901,"1,677","1,135"
2021년11월_계_80~89세,"6,716",572,218,154,233,219,71,379,438,510,339,342,262,501,647,469,738,624
2021년11월_계_90~99세,836,82,34,13,26,36,13,44,68,51,57,38,22,57,72,56,97,70
2021년11월_계_100세 이상,44,1,6,0,0,0,1,0,5,5,1,1,1,6,2,6,5,4
2021년11월_남_총인구수,"66,258","3,429","1,018",657,"1,053","1,102",360,"1,720","2,435","9,147","4,911","2,861","2,474","5,086","8,929","5,584","7,777","7,715"
2021년11월_남_연령구간인구수,"66,258","3,429","1,018",657,"1,053","1,102",360,"1,720","2,435","9,147","4,911","2,861","2,474","5,086","8,929","5,584","7,777","7,715"
2021년11월_남_0~9세,"4,220",124,28,14,20,42,8,47,49,767,419,114,90,406,636,335,313,808
2021년11월_남_10~19세,"5,884",168,53,22,32,99,21,77,113,"1,128",543,199,156,471,898,598,584,722
2021년11월_남_20~29세,"8,050",262,66,37,49,43,24,104,213,"1,217",686,343,339,572,"1,431",768,"1,043",853
2021년11월_남_30~39세,"6,555",215,59,43,48,42,20,74,159,929,481,254,233,538,"1,135",525,787,"1,013"
2021년11월_남_40~49세,"9,102",375,71,47,82,101,40,133,231,"1,481",786,366,282,765,"1,312",804,984,"1,242"
2021년11월_남_50~59세,"12,019",669,196,134,199,186,79,313,442,"1,762",891,508,460,890,"1,545","1,131","1,366","1,248"
2021년11월_남_60~69세,"12,198",941,320,202,338,320,100,557,703,"1,218",710,586,513,821,"1,329",869,"1,605","1,066"
2021년11월_남_70~79세,"5,588",444,139,99,194,186,39,262,338,456,268,336,294,418,436,377,796,506
2021년11월_남_80~89세,"2,442",214,76,55,85,78,24,143,165,179,113,145,101,188,192,162,281,241
2021년11월_남_90~99세,193,17,9,4,6,5,4,10,20,10,14,9,6,16,15,14,18,16
2021년11월_남_100세 이상,7,0,1,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0
2021년11월_여_총인구수,"65,552","3,275",889,618,959,"1,059",346,"1,614","2,200","9,394","5,025","2,910","2,455","5,078","8,973","5,569","7,677","7,511"
2021년11월_여_연령구간인구수,"65,552","3,275",889,618,959,"1,059",346,"1,614","2,200","9,394","5,025","2,910","2,455","5,078","8,973","5,569","7,677","7,511"
2021년11월_여_0~9세,"3,994",110,13,6,17,28,11,34,55,720,349,128,96,367,639,331,314,776
2021년11월_여_10~19세,"5,476",162,33,24,29,86,18,60,84,"1,108",542,177,141,418,867,554,487,686
2021년11월_여_20~29세,"6,330",199,42,31,20,25,8,61,123,"1,035",577,310,232,455,"1,177",586,783,666
2021년11월_여_30~39세,"5,828",169,37,18,23,42,14,60,82,936,484,198,164,537,988,471,595,"1,010"
2021년11월_여_40~49세,"8,605",283,57,29,48,59,30,91,145,"1,640",813,344,246,664,"1,320",876,860,"1,100"
2021년11월_여_50~59세,"11,489",596,157,117,181,165,62,290,417,"1,735",894,473,437,860,"1,558","1,019","1,433","1,095"
2021년11월_여_60~69세,"12,167",858,247,180,288,283,92,489,605,"1,224",738,659,623,882,"1,254",854,"1,783","1,108"
2021년11월_여_70~79세,"6,709",474,131,105,185,199,55,259,365,619,358,395,338,536,656,524,881,629
2021년11월_여_80~89세,"4,274",358,142,99,148,141,47,236,273,331,226,197,161,313,455,307,457,383
2021년11월_여_90~99세,643,65,25,9,20,31,9,34,48,41,43,29,16,41,57,42,79,54
2021년11월_여_100세 이상,37,1,5,0,0,0,0,0,3,5,1,0,1,5,2,5,5,4
