,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년02월_계_총인구수,"423,937","16,228","16,001","16,436","19,870","23,167","11,401","20,271","18,620","12,167","15,173","24,291","11,119","11,281","16,925","12,882","14,268","22,503","19,149","11,630","17,326","31,483","27,736","34,010"
2021년02월_계_연령구간인구수,"423,937","16,228","16,001","16,436","19,870","23,167","11,401","20,271","18,620","12,167","15,173","24,291","11,119","11,281","16,925","12,882","14,268","22,503","19,149","11,630","17,326","31,483","27,736","34,010"
2021년02월_계_0~9세,"29,770","1,321","1,124","1,959","1,685","1,808",516,"1,381","1,259","1,081",853,"2,114",535,726,"1,028",976,904,982,"1,098",349,"1,308","2,258","2,022","2,483"
2021년02월_계_10~19세,"51,060","2,087","1,809","2,019","4,451","2,493","1,149","3,942","2,207","1,729","1,446","4,148",860,734,"1,333","1,000","1,159","1,878","1,853",668,"1,940","4,714","3,212","4,229"
2021년02월_계_20~29세,"54,950","2,051","2,320","2,095","1,892","2,938","1,875","2,470","2,192","1,255","2,114","2,690","1,779","1,452","2,099","1,252","2,184","3,298","2,534","1,348","2,105","4,331","3,876","4,800"
2021년02월_계_30~39세,"42,641","1,608","2,073","2,108","1,375","2,358","1,184","1,399","1,588","1,140","1,468","1,996","1,342","1,509","2,037","1,499","1,875","2,265","1,923",940,"1,802","2,818","2,925","3,409"
2021년02월_계_40~49세,"72,638","2,873","2,711","3,249","4,965","3,675","1,704","4,507","3,186","2,421","2,194","4,853","1,770","1,821","2,488","1,935","2,331","3,147","2,827","1,287","2,893","5,650","4,518","5,633"
2021년02월_계_50~59세,"75,167","2,829","2,667","2,602","2,853","4,102","2,097","3,420","3,234","1,841","2,938","4,186","1,918","1,954","2,908","2,064","2,759","4,208","3,608","2,194","3,135","5,847","5,061","6,742"
2021년02월_계_60~69세,"52,654","1,755","1,838","1,287","1,378","3,039","1,550","1,662","2,302","1,423","2,158","2,441","1,515","1,630","2,690","2,165","1,814","3,520","2,946","2,417","2,561","3,392","3,461","3,710"
2021년02월_계_70~79세,"28,920","1,095",980,732,847,"1,763",836,"1,003","1,674",872,"1,248","1,176",954,944,"1,515","1,328",832,"2,079","1,448","1,534","1,060","1,534","1,668","1,798"
