,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년05월_계_총인구수,"81,792","4,665","3,876","6,338","9,862","21,663","27,647","4,539","3,202"
2020년05월_계_연령구간인구수,"81,792","4,665","3,876","6,338","9,862","21,663","27,647","4,539","3,202"
2020년05월_계_0~9세,"5,881",188,269,239,595,"1,438","2,821",251,80
2020년05월_계_10~19세,"7,594",288,269,469,935,"2,367","2,874",259,133
2020년05월_계_20~29세,"8,840",433,334,650,"1,088","2,436","3,236",394,269
2020년05월_계_30~39세,"9,265",443,412,472,997,"2,271","3,911",513,246
2020년05월_계_40~49세,"12,521",565,513,818,"1,459","3,583","4,681",544,358
2020년05월_계_50~59세,"15,146",935,774,"1,325","1,843","4,068","4,644",886,671
2020년05월_계_60~69세,"12,080",994,654,"1,178","1,625","3,004","3,053",837,735
2020년05월_계_70~79세,"6,734",530,431,741,860,"1,591","1,618",498,465
2020년05월_계_80~89세,"3,105",242,187,358,374,752,695,291,206
2020년05월_계_90~99세,591,44,30,84,82,146,108,61,36
2020년05월_계_100세 이상,35,3,3,4,4,7,6,5,3
2020년05월_남_총인구수,"40,436","2,428","1,947","3,086","4,829","10,705","13,506","2,291","1,644"
2020년05월_남_연령구간인구수,"40,436","2,428","1,947","3,086","4,829","10,705","13,506","2,291","1,644"
2020년05월_남_0~9세,"2,979",96,143,128,301,714,"1,419",138,40
2020년05월_남_10~19세,"3,927",161,138,237,491,"1,201","1,476",142,81
2020년05월_남_20~29세,"4,975",269,175,378,599,"1,372","1,799",230,153
2020년05월_남_30~39세,"4,923",255,216,276,557,"1,199","1,984",286,150
2020년05월_남_40~49세,"6,223",316,287,415,720,"1,735","2,261",298,191
2020년05월_남_50~59세,"7,456",487,398,632,890,"2,016","2,207",466,360
2020년05월_남_60~69세,"5,850",503,318,566,777,"1,502","1,403",423,358
2020년05월_남_70~79세,"2,926",246,205,313,357,694,685,206,220
2020년05월_남_80~89세,"1,041",87,59,127,117,241,241,87,82
2020년05월_남_90~99세,122,6,7,12,18,31,28,12,8
2020년05월_남_100세 이상,14,2,1,2,2,0,3,3,1
2020년05월_여_총인구수,"41,356","2,237","1,929","3,252","5,033","10,958","14,141","2,248","1,558"
2020년05월_여_연령구간인구수,"41,356","2,237","1,929","3,252","5,033","10,958","14,141","2,248","1,558"
2020년05월_여_0~9세,"2,902",92,126,111,294,724,"1,402",113,40
2020년05월_여_10~19세,"3,667",127,131,232,444,"1,166","1,398",117,52
2020년05월_여_20~29세,"3,865",164,159,272,489,"1,064","1,437",164,116
2020년05월_여_30~39세,"4,342",188,196,196,440,"1,072","1,927",227,96
2020년05월_여_40~49세,"6,298",249,226,403,739,"1,848","2,420",246,167
2020년05월_여_50~59세,"7,690",448,376,693,953,"2,052","2,437",420,311
2020년05월_여_60~69세,"6,230",491,336,612,848,"1,502","1,650",414,377
2020년05월_여_70~79세,"3,808",284,226,428,503,897,933,292,245
2020년05월_여_80~89세,"2,064",155,128,231,257,511,454,204,124
2020년05월_여_90~99세,469,38,23,72,64,115,80,49,28
2020년05월_여_100세 이상,21,1,2,2,2,7,3,2,2
