,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년12월_계_총인구수,"62,762","12,432","9,629",609,223,"3,085","2,904","4,252","3,798","4,827","1,857","2,638","3,276","2,260","3,076","2,221","2,976","1,251","1,448"
2021년12월_계_연령구간인구수,"62,762","12,432","9,629",609,223,"3,085","2,904","4,252","3,798","4,827","1,857","2,638","3,276","2,260","3,076","2,221","2,976","1,251","1,448"
2021년12월_계_0~9세,"2,413",972,488,26,1,58,70,112,81,114,51,39,86,48,96,60,57,28,26
2021년12월_계_10~19세,"3,671","1,409",728,24,11,92,115,177,158,210,84,90,105,94,116,71,97,38,52
2021년12월_계_20~29세,"3,855","1,217",714,17,9,117,149,203,179,224,69,110,205,116,188,98,118,53,69
2021년12월_계_30~39세,"3,407","1,096",673,26,16,123,127,152,142,190,64,80,145,109,158,95,90,50,71
2021년12월_계_40~49세,"5,974","1,825","1,110",35,30,214,215,320,301,401,148,196,232,147,262,122,208,81,127
2021년12월_계_50~59세,"9,920","1,995","1,644",30,43,452,469,665,611,805,281,403,546,331,455,348,416,197,229
2021년12월_계_60~69세,"13,008","1,854","1,938",88,33,709,621,940,864,"1,057",432,624,749,591,704,546,618,277,363
2021년12월_계_70~79세,"11,309","1,260","1,491",173,42,714,574,930,789,"1,000",390,561,605,470,572,430,718,304,286
2021년12월_계_80~89세,"7,851",663,727,161,35,518,475,666,573,720,291,431,510,300,442,404,550,184,201
2021년12월_계_90~99세,"1,313",133,112,29,3,86,89,86,93,102,46,104,88,54,79,47,100,38,24
2021년12월_계_100세 이상,41,8,4,0,0,2,0,1,7,4,1,0,5,0,4,0,4,1,0
2021년12월_남_총인구수,"30,569","6,133","4,718",303,116,"1,524","1,402","2,076","1,839","2,337",919,"1,251","1,563","1,074","1,496","1,089","1,408",590,731
2021년12월_남_연령구간인구수,"30,569","6,133","4,718",303,116,"1,524","1,402","2,076","1,839","2,337",919,"1,251","1,563","1,074","1,496","1,089","1,408",590,731
2021년12월_남_0~9세,"1,205",488,238,13,1,32,30,58,31,49,28,13,45,29,50,37,34,14,15
2021년12월_남_10~19세,"1,982",764,389,11,4,47,59,93,78,116,38,49,66,51,64,42,54,24,33
2021년12월_남_20~29세,"2,262",687,403,6,7,80,82,129,107,142,42,77,112,75,104,67,70,29,43
2021년12월_남_30~39세,"1,843",522,347,16,12,78,84,87,87,109,36,44,85,54,90,59,58,32,43
2021년12월_남_40~49세,"3,442",913,584,17,25,156,126,188,190,248,105,132,149,89,165,90,130,51,84
2021년12월_남_50~59세,"5,635","1,079",896,16,27,289,279,387,340,464,174,232,306,196,268,196,247,110,129
2021년12월_남_60~69세,"6,487",853,934,49,18,366,341,465,431,520,219,317,380,300,355,293,313,139,194
2021년12월_남_70~79세,"4,966",579,655,88,15,292,241,402,379,417,177,256,252,189,261,189,311,130,133
2021년12월_남_80~89세,"2,464",222,253,77,7,165,141,243,182,248,86,116,147,88,112,108,171,49,49
2021년12월_남_90~99세,279,24,19,10,0,19,19,23,14,24,13,15,21,3,27,8,20,12,8
2021년12월_남_100세 이상,4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"32,193","6,299","4,911",306,107,"1,561","1,502","2,176","1,959","2,490",938,"1,387","1,713","1,186","1,580","1,132","1,568",661,717
2021년12월_여_연령구간인구수,"32,193","6,299","4,911",306,107,"1,561","1,502","2,176","1,959","2,490",938,"1,387","1,713","1,186","1,580","1,132","1,568",661,717
2021년12월_여_0~9세,"1,208",484,250,13,0,26,40,54,50,65,23,26,41,19,46,23,23,14,11
2021년12월_여_10~19세,"1,689",645,339,13,7,45,56,84,80,94,46,41,39,43,52,29,43,14,19
2021년12월_여_20~29세,"1,593",530,311,11,2,37,67,74,72,82,27,33,93,41,84,31,48,24,26
2021년12월_여_30~39세,"1,564",574,326,10,4,45,43,65,55,81,28,36,60,55,68,36,32,18,28
2021년12월_여_40~49세,"2,532",912,526,18,5,58,89,132,111,153,43,64,83,58,97,32,78,30,43
2021년12월_여_50~59세,"4,285",916,748,14,16,163,190,278,271,341,107,171,240,135,187,152,169,87,100
2021년12월_여_60~69세,"6,521","1,001","1,004",39,15,343,280,475,433,537,213,307,369,291,349,253,305,138,169
2021년12월_여_70~79세,"6,343",681,836,85,27,422,333,528,410,583,213,305,353,281,311,241,407,174,153
2021년12월_여_80~89세,"5,387",441,474,84,28,353,334,423,391,472,205,315,363,212,330,296,379,135,152
2021년12월_여_90~99세,"1,034",109,93,19,3,67,70,63,79,78,33,89,67,51,52,39,80,26,16
2021년12월_여_100세 이상,37,6,4,0,0,2,0,0,7,4,0,0,5,0,4,0,4,1,0
