,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년12월_계_총인구수,"437,153","16,868","23,580","15,610","15,292","24,589","15,093","15,768","18,677","23,501","15,541","25,609","36,402","17,051","39,786","26,918","19,928","20,268","13,867","17,200","35,605"
2020년12월_계_연령구간인구수,"437,153","16,868","23,580","15,610","15,292","24,589","15,093","15,768","18,677","23,501","15,541","25,609","36,402","17,051","39,786","26,918","19,928","20,268","13,867","17,200","35,605"
2020년12월_계_0~9세,"28,822",777,"1,155",586,842,"2,021",442,981,"1,430","1,524",618,"1,683","4,035","1,462","2,735","2,096","1,107",918,603,"1,777","2,030"
2020년12월_계_10~19세,"37,145","1,196","1,899",948,"1,336","2,873",839,955,"1,804","1,894",978,"2,172","4,873","1,418","3,682","2,625","1,491","1,605",899,"1,413","2,245"
2020년12월_계_20~29세,"66,972","2,816","4,278","4,492","2,081","3,021","5,081","2,708","2,310","3,251","3,176","3,270","3,497","2,128","5,838","3,045","3,583","3,035","1,931","2,225","5,206"
2020년12월_계_30~39세,"59,843","2,516","3,339","2,515","1,979","3,044","2,013","2,627","2,645","3,160","1,911","3,288","4,720","2,533","5,236","3,596","2,738","2,488","1,699","2,769","5,027"
2020년12월_계_40~49세,"69,839","2,550","3,704","2,037","2,213","4,514","1,684","2,415","3,260","3,628","1,948","4,220","7,952","2,954","6,463","4,607","2,872","2,917","1,975","2,746","5,180"
2020년12월_계_50~59세,"69,381","2,768","3,682","1,931","2,721","4,078","2,047","2,557","2,858","3,746","2,390","4,178","4,970","2,776","6,369","4,258","3,042","3,829","2,457","2,709","6,015"
2020년12월_계_60~69세,"54,897","2,059","2,738","1,471","2,174","2,724","1,476","1,896","2,245","3,347","2,215","3,587","3,297","2,107","4,788","3,554","2,664","3,025","2,185","2,057","5,288"
2020년12월_계_70~79세,"33,568","1,349","1,828","1,073","1,290","1,456",992,"1,097","1,416","2,017","1,492","2,188","2,089","1,142","2,917","2,172","1,623","1,656","1,443","1,067","3,261"
2020년12월_계_80~89세,"14,229",688,814,466,568,719,445,451,614,799,688,861,813,449,"1,471",844,704,689,568,373,"1,205"
2020년12월_계_90~99세,"2,073",133,110,72,75,129,60,66,81,117,116,139,129,62,243,97,93,91,79,50,131
2020년12월_계_100세 이상,384,16,33,19,13,10,14,15,14,18,9,23,27,20,44,24,11,15,28,14,17
2020년12월_남_총인구수,"210,810","7,869","11,238","6,549","7,148","11,691","7,610","7,616","9,008","11,371","7,693","12,380","17,323","8,252","19,594","13,022","9,586","9,872","6,863","8,510","17,615"
2020년12월_남_연령구간인구수,"210,810","7,869","11,238","6,549","7,148","11,691","7,610","7,616","9,008","11,371","7,693","12,380","17,323","8,252","19,594","13,022","9,586","9,872","6,863","8,510","17,615"
2020년12월_남_0~9세,"14,723",370,596,290,408,"1,020",224,488,767,773,305,889,"2,077",779,"1,415","1,065",584,436,296,906,"1,035"
2020년12월_남_10~19세,"18,918",645,"1,003",424,648,"1,457",436,464,883,972,512,"1,130","2,376",747,"1,992","1,264",760,833,455,723,"1,194"
2020년12월_남_20~29세,"32,219","1,288","1,908","1,434",964,"1,485","2,653","1,332","1,158","1,639","1,748","1,693","1,673","1,018","3,064","1,463","1,525","1,555",966,"1,082","2,571"
2020년12월_남_30~39세,"29,773","1,193","1,645","1,157",977,"1,422","1,130","1,334","1,292","1,614","1,074","1,585","2,124","1,236","2,605","1,764","1,415","1,361",904,"1,356","2,585"
2020년12월_남_40~49세,"34,424","1,210","1,810",974,"1,037","2,126",864,"1,228","1,590","1,791",959,"2,084","3,818","1,411","3,189","2,324","1,454","1,408","1,059","1,393","2,695"
2020년12월_남_50~59세,"34,207","1,309","1,853",956,"1,301","1,966","1,016","1,223","1,410","1,809","1,168","2,018","2,539","1,372","3,175","2,104","1,550","1,841","1,258","1,382","2,957"
2020년12월_남_60~69세,"25,747",959,"1,306",649,"1,007","1,275",687,889,"1,035","1,544","1,006","1,628","1,480",999,"2,268","1,696","1,277","1,440","1,031",996,"2,575"
2020년12월_남_70~79세,"14,662",565,769,460,567,628,413,476,608,880,631,964,900,499,"1,255",977,722,713,643,512,"1,480"
2020년12월_남_80~89세,"5,510",285,309,176,208,276,170,169,239,317,259,351,304,167,549,335,278,258,228,149,483
2020년12월_남_90~99세,531,38,31,23,26,34,13,8,24,30,29,34,25,19,68,24,20,23,21,9,32
2020년12월_남_100세 이상,96,7,8,6,5,2,4,5,2,2,2,4,7,5,14,6,1,4,2,2,8
2020년12월_여_총인구수,"226,343","8,999","12,342","9,061","8,144","12,898","7,483","8,152","9,669","12,130","7,848","13,229","19,079","8,799","20,192","13,896","10,342","10,396","7,004","8,690","17,990"
2020년12월_여_연령구간인구수,"226,343","8,999","12,342","9,061","8,144","12,898","7,483","8,152","9,669","12,130","7,848","13,229","19,079","8,799","20,192","13,896","10,342","10,396","7,004","8,690","17,990"
2020년12월_여_0~9세,"14,099",407,559,296,434,"1,001",218,493,663,751,313,794,"1,958",683,"1,320","1,031",523,482,307,871,995
2020년12월_여_10~19세,"18,227",551,896,524,688,"1,416",403,491,921,922,466,"1,042","2,497",671,"1,690","1,361",731,772,444,690,"1,051"
2020년12월_여_20~29세,"34,753","1,528","2,370","3,058","1,117","1,536","2,428","1,376","1,152","1,612","1,428","1,577","1,824","1,110","2,774","1,582","2,058","1,480",965,"1,143","2,635"
2020년12월_여_30~39세,"30,070","1,323","1,694","1,358","1,002","1,622",883,"1,293","1,353","1,546",837,"1,703","2,596","1,297","2,631","1,832","1,323","1,127",795,"1,413","2,442"
2020년12월_여_40~49세,"35,415","1,340","1,894","1,063","1,176","2,388",820,"1,187","1,670","1,837",989,"2,136","4,134","1,543","3,274","2,283","1,418","1,509",916,"1,353","2,485"
2020년12월_여_50~59세,"35,174","1,459","1,829",975,"1,420","2,112","1,031","1,334","1,448","1,937","1,222","2,160","2,431","1,404","3,194","2,154","1,492","1,988","1,199","1,327","3,058"
2020년12월_여_60~69세,"29,150","1,100","1,432",822,"1,167","1,449",789,"1,007","1,210","1,803","1,209","1,959","1,817","1,108","2,520","1,858","1,387","1,585","1,154","1,061","2,713"
2020년12월_여_70~79세,"18,906",784,"1,059",613,723,828,579,621,808,"1,137",861,"1,224","1,189",643,"1,662","1,195",901,943,800,555,"1,781"
2020년12월_여_80~89세,"8,719",403,505,290,360,443,275,282,375,482,429,510,509,282,922,509,426,431,340,224,722
2020년12월_여_90~99세,"1,542",95,79,49,49,95,47,58,57,87,87,105,104,43,175,73,73,68,58,41,99
2020년12월_여_100세 이상,288,9,25,13,8,8,10,10,12,16,7,19,20,15,30,18,10,11,26,12,9
