,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년10월_계_총인구수,"176,595","13,577","7,281","5,272","3,338","8,112","15,485","9,279","5,032","7,286","6,093","19,085","18,633","8,757","15,819","33,546"
2021년10월_계_연령구간인구수,"176,595","13,577","7,281","5,272","3,338","8,112","15,485","9,279","5,032","7,286","6,093","19,085","18,633","8,757","15,819","33,546"
2021년10월_계_0~9세,"14,898",677,463,105,58,557,"2,876",456,121,225,350,"1,573","1,588",523,"1,299","4,027"
2021년10월_계_10~19세,"17,129",989,681,200,107,763,"1,242",733,258,442,424,"1,974","2,260",871,"1,915","4,270"
2021년10월_계_20~29세,"18,959","1,743",598,260,149,664,"1,562",819,268,669,564,"2,581","2,055","1,071","1,973","3,983"
2021년10월_계_30~39세,"21,693","1,428",567,253,148,895,"3,794",775,244,461,500,"2,646","2,051",825,"1,874","5,232"
2021년10월_계_40~49세,"27,803","1,931","1,072",463,276,"1,212","2,454","1,286",513,816,816,"3,185","3,316","1,411","2,759","6,293"
2021년10월_계_50~59세,"28,683","3,024","1,328",836,576,"1,364","1,629","1,712",807,"1,324",797,"3,175","3,289","1,531","2,525","4,766"
2021년10월_계_60~69세,"23,609","2,092","1,169","1,340",899,"1,297","1,062","1,618","1,188","1,468","1,096","2,174","2,179","1,361","1,872","2,794"
2021년10월_계_70~79세,"14,054",988,779,"1,009",670,799,506,"1,053",931,"1,137",835,"1,085","1,175",749,"1,007","1,331"
2021년10월_계_80~89세,"8,430",601,546,707,403,475,306,721,611,640,627,592,613,352,512,724
2021년10월_계_90~99세,"1,296",100,72,97,51,85,53,104,89,103,78,97,102,61,81,123
2021년10월_계_100세 이상,41,4,6,2,1,1,1,2,2,1,6,3,5,2,2,3
2021년10월_남_총인구수,"92,067","7,918","3,712","2,675","1,693","4,357","8,128","4,780","2,548","3,772","3,140","9,964","9,735","4,416","8,022","17,207"
2021년10월_남_연령구간인구수,"92,067","7,918","3,712","2,675","1,693","4,357","8,128","4,780","2,548","3,772","3,140","9,964","9,735","4,416","8,022","17,207"
2021년10월_남_0~9세,"7,580",352,234,46,35,271,"1,475",238,64,114,172,843,852,263,633,"1,988"
2021년10월_남_10~19세,"9,102",523,367,106,54,395,639,393,141,239,220,"1,040","1,330",477,930,"2,248"
2021년10월_남_20~29세,"11,302","1,210",361,163,93,416,882,497,152,420,382,"1,479","1,248",586,"1,115","2,298"
2021년10월_남_30~39세,"12,063",957,305,163,85,564,"2,026",424,137,273,281,"1,500","1,091",459,"1,067","2,731"
2021년10월_남_40~49세,"14,870","1,197",552,293,169,711,"1,364",714,309,491,481,"1,627","1,659",729,"1,392","3,182"
2021년10월_남_50~59세,"15,413","1,830",741,457,321,756,846,910,454,718,432,"1,676","1,678",787,"1,318","2,489"
2021년10월_남_60~69세,"11,852","1,162",588,673,450,681,552,816,579,740,541,"1,061","1,060",647,922,"1,380"
2021년10월_남_70~79세,"6,637",468,362,487,335,384,237,507,466,540,391,507,560,319,463,611
2021년10월_남_80~89세,"2,975",192,187,268,142,163,98,261,227,214,220,217,235,132,163,256
2021년10월_남_90~99세,271,27,15,19,9,16,9,20,18,23,20,14,21,17,19,24
2021년10월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2021년10월_여_총인구수,"84,528","5,659","3,569","2,597","1,645","3,755","7,357","4,499","2,484","3,514","2,953","9,121","8,898","4,341","7,797","16,339"
2021년10월_여_연령구간인구수,"84,528","5,659","3,569","2,597","1,645","3,755","7,357","4,499","2,484","3,514","2,953","9,121","8,898","4,341","7,797","16,339"
2021년10월_여_0~9세,"7,318",325,229,59,23,286,"1,401",218,57,111,178,730,736,260,666,"2,039"
2021년10월_여_10~19세,"8,027",466,314,94,53,368,603,340,117,203,204,934,930,394,985,"2,022"
2021년10월_여_20~29세,"7,657",533,237,97,56,248,680,322,116,249,182,"1,102",807,485,858,"1,685"
2021년10월_여_30~39세,"9,630",471,262,90,63,331,"1,768",351,107,188,219,"1,146",960,366,807,"2,501"
2021년10월_여_40~49세,"12,933",734,520,170,107,501,"1,090",572,204,325,335,"1,558","1,657",682,"1,367","3,111"
2021년10월_여_50~59세,"13,270","1,194",587,379,255,608,783,802,353,606,365,"1,499","1,611",744,"1,207","2,277"
2021년10월_여_60~69세,"11,757",930,581,667,449,616,510,802,609,728,555,"1,113","1,119",714,950,"1,414"
2021년10월_여_70~79세,"7,417",520,417,522,335,415,269,546,465,597,444,578,615,430,544,720
2021년10월_여_80~89세,"5,455",409,359,439,261,312,208,460,384,426,407,375,378,220,349,468
2021년10월_여_90~99세,"1,025",73,57,78,42,69,44,84,71,80,58,83,81,44,62,99
2021년10월_여_100세 이상,39,4,6,2,1,1,1,2,1,1,6,3,4,2,2,3
