,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년06월_계_총인구수,"295,852",208,"3,322","9,722","13,772","14,342","10,539","20,820","10,965","7,109","34,532","13,230","26,068","13,884","20,201","12,342","31,847","50,783","2,166"
2021년06월_계_연령구간인구수,"295,852",208,"3,322","9,722","13,772","14,342","10,539","20,820","10,965","7,109","34,532","13,230","26,068","13,884","20,201","12,342","31,847","50,783","2,166"
2021년06월_계_0~9세,"22,519",0,110,338,666,827,771,"1,536",880,250,"3,055",993,"2,220",960,"1,407",921,"2,908","4,615",62
2021년06월_계_10~19세,"30,028",6,239,604,915,"1,248","1,104","1,809","1,383",457,"4,347","1,190","3,174","1,029","1,802","1,377","4,266","4,992",86
2021년06월_계_20~29세,"37,685",13,398,"1,258","1,821","1,820","1,271","2,680","1,467","1,044","4,326","1,673","3,207","1,746","2,448","1,655","3,715","6,945",198
2021년06월_계_30~39세,"40,526",25,373,"1,157","1,814","1,732","1,231","3,005","1,458",923,"4,045","2,296","2,969","2,485","2,796","1,977","3,884","8,142",214
2021년06월_계_40~49세,"50,700",29,462,"1,330","1,925","2,308","1,770","3,267","1,999","1,018","6,416","2,273","4,880","2,358","3,377","2,263","6,079","8,724",222
2021년06월_계_50~59세,"49,184",62,592,"1,849","2,409","2,435","1,782","3,459","1,806","1,493","5,733","2,150","4,446","2,166","3,303","2,041","4,920","8,118",420
2021년06월_계_60~69세,"38,821",52,635,"1,812","2,469","2,303","1,541","3,093","1,217","1,149","4,129","1,620","3,206","1,714","2,621","1,271","3,741","5,711",537
2021년06월_계_70~79세,"17,653",16,365,954,"1,250","1,140",750,"1,365",513,499,"1,633",762,"1,314",827,"1,459",540,"1,592","2,436",238
2021년06월_계_80~89세,"7,598",2,134,376,448,468,288,526,213,238,735,243,551,515,857,259,632,950,163
2021년06월_계_90~99세,"1,103",3,14,41,54,61,29,79,28,37,110,27,96,82,127,37,108,145,25
2021년06월_계_100세 이상,35,0,0,3,1,0,2,1,1,1,3,3,5,2,4,1,2,5,1
2021년06월_남_총인구수,"145,948",118,"1,709","4,701","6,742","7,091","5,191","10,284","5,412","3,749","16,938","6,632","12,989","6,560","9,543","5,984","15,535","25,530","1,240"
2021년06월_남_연령구간인구수,"145,948",118,"1,709","4,701","6,742","7,091","5,191","10,284","5,412","3,749","16,938","6,632","12,989","6,560","9,543","5,984","15,535","25,530","1,240"
2021년06월_남_0~9세,"11,504",0,68,167,328,437,361,747,454,121,"1,538",524,"1,147",479,759,486,"1,480","2,376",32
2021년06월_남_10~19세,"15,467",3,141,312,455,644,576,911,720,247,"2,261",619,"1,623",524,922,704,"2,191","2,559",55
2021년06월_남_20~29세,"19,642",7,221,665,933,"1,011",651,"1,423",766,560,"2,234",892,"1,697",871,"1,218",838,"1,917","3,623",115
2021년06월_남_30~39세,"20,576",15,218,646,985,898,625,"1,549",733,528,"1,908","1,160","1,476","1,309","1,409","1,018","1,835","4,135",129
2021년06월_남_40~49세,"25,027",19,250,684,974,"1,159",867,"1,657",932,545,"3,033","1,135","2,379","1,168","1,642","1,063","2,927","4,450",143
2021년06월_남_50~59세,"24,532",39,301,874,"1,190","1,186",892,"1,662",890,818,"2,866","1,096","2,266","1,022","1,600",993,"2,444","4,140",253
2021년06월_남_60~69세,"18,453",25,292,796,"1,153","1,069",746,"1,480",599,610,"2,011",769,"1,586",710,"1,178",569,"1,790","2,763",307
2021년06월_남_70~79세,"7,962",8,165,417,557,515,359,644,237,222,790,353,627,323,536,217,736,"1,130",126
2021년06월_남_80~89세,"2,546",1,46,132,155,159,108,194,75,90,273,80,170,137,249,90,193,319,75
2021년06월_남_90~99세,232,1,7,6,12,13,6,17,6,8,23,2,18,17,30,6,22,33,5
2021년06월_남_100세 이상,7,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0
2021년06월_여_총인구수,"149,904",90,"1,613","5,021","7,030","7,251","5,348","10,536","5,553","3,360","17,594","6,598","13,079","7,324","10,658","6,358","16,312","25,253",926
2021년06월_여_연령구간인구수,"149,904",90,"1,613","5,021","7,030","7,251","5,348","10,536","5,553","3,360","17,594","6,598","13,079","7,324","10,658","6,358","16,312","25,253",926
2021년06월_여_0~9세,"11,015",0,42,171,338,390,410,789,426,129,"1,517",469,"1,073",481,648,435,"1,428","2,239",30
2021년06월_여_10~19세,"14,561",3,98,292,460,604,528,898,663,210,"2,086",571,"1,551",505,880,673,"2,075","2,433",31
2021년06월_여_20~29세,"18,043",6,177,593,888,809,620,"1,257",701,484,"2,092",781,"1,510",875,"1,230",817,"1,798","3,322",83
2021년06월_여_30~39세,"19,950",10,155,511,829,834,606,"1,456",725,395,"2,137","1,136","1,493","1,176","1,387",959,"2,049","4,007",85
2021년06월_여_40~49세,"25,673",10,212,646,951,"1,149",903,"1,610","1,067",473,"3,383","1,138","2,501","1,190","1,735","1,200","3,152","4,274",79
2021년06월_여_50~59세,"24,652",23,291,975,"1,219","1,249",890,"1,797",916,675,"2,867","1,054","2,180","1,144","1,703","1,048","2,476","3,978",167
2021년06월_여_60~69세,"20,368",27,343,"1,016","1,316","1,234",795,"1,613",618,539,"2,118",851,"1,620","1,004","1,443",702,"1,951","2,948",230
2021년06월_여_70~79세,"9,691",8,200,537,693,625,391,721,276,277,843,409,687,504,923,323,856,"1,306",112
2021년06월_여_80~89세,"5,052",1,88,244,293,309,180,332,138,148,462,163,381,378,608,169,439,631,88
2021년06월_여_90~99세,871,2,7,35,42,48,23,62,22,29,87,25,78,65,97,31,86,112,20
2021년06월_여_100세 이상,28,0,0,1,1,0,2,1,1,1,2,1,5,2,4,1,2,3,1
