,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년10월_계_총인구수,"22,140","7,401","2,101","2,330","4,422","2,112","2,183","1,591"
2020년10월_계_연령구간인구수,"22,140","7,401","2,101","2,330","4,422","2,112","2,183","1,591"
2020년10월_계_0~9세,"1,162",555,75,69,250,55,90,68
2020년10월_계_10~19세,"1,671",754,121,121,347,94,145,89
2020년10월_계_20~29세,"1,674",642,140,144,371,129,161,87
2020년10월_계_30~39세,"1,570",686,106,119,325,120,126,88
2020년10월_계_40~49세,"2,603","1,034",197,217,573,188,235,159
2020년10월_계_50~59세,"3,696","1,142",342,386,775,379,417,255
2020년10월_계_60~69세,"4,204","1,200",394,535,790,493,416,376
2020년10월_계_70~79세,"3,140",837,376,439,554,361,326,247
2020년10월_계_80~89세,"2,111",483,301,262,385,251,238,191
2020년10월_계_90~99세,287,65,48,36,43,39,25,31
2020년10월_계_100세 이상,22,3,1,2,9,3,4,0
2020년10월_남_총인구수,"11,018","3,649","1,040","1,181","2,238","1,048","1,072",790
2020년10월_남_연령구간인구수,"11,018","3,649","1,040","1,181","2,238","1,048","1,072",790
2020년10월_남_0~9세,599,282,44,44,125,27,47,30
2020년10월_남_10~19세,846,363,64,64,200,46,63,46
2020년10월_남_20~29세,953,351,90,78,215,81,89,49
2020년10월_남_30~39세,816,333,60,71,172,67,73,40
2020년10월_남_40~49세,"1,476",573,114,134,311,107,132,105
2020년10월_남_50~59세,"2,076",630,199,207,444,222,238,136
2020년10월_남_60~69세,"2,125",581,190,290,395,252,215,202
2020년10월_남_70~79세,"1,358",350,170,199,248,147,130,114
2020년10월_남_80~89세,702,172,94,89,120,90,78,59
2020년10월_남_90~99세,63,13,15,5,7,9,5,9
2020년10월_남_100세 이상,4,1,0,0,1,0,2,0
2020년10월_여_총인구수,"11,122","3,752","1,061","1,149","2,184","1,064","1,111",801
2020년10월_여_연령구간인구수,"11,122","3,752","1,061","1,149","2,184","1,064","1,111",801
2020년10월_여_0~9세,563,273,31,25,125,28,43,38
2020년10월_여_10~19세,825,391,57,57,147,48,82,43
2020년10월_여_20~29세,721,291,50,66,156,48,72,38
2020년10월_여_30~39세,754,353,46,48,153,53,53,48
2020년10월_여_40~49세,"1,127",461,83,83,262,81,103,54
2020년10월_여_50~59세,"1,620",512,143,179,331,157,179,119
2020년10월_여_60~69세,"2,079",619,204,245,395,241,201,174
2020년10월_여_70~79세,"1,782",487,206,240,306,214,196,133
2020년10월_여_80~89세,"1,409",311,207,173,265,161,160,132
2020년10월_여_90~99세,224,52,33,31,36,30,20,22
2020년10월_여_100세 이상,18,2,1,2,8,3,2,0
