카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년09월_계_총인구수,"213,151","16,579","3,448","1,582","4,178","4,243","3,480","4,643","6,403","15,186","4,822","3,405","25,776","7,780","10,412","12,873","4,751","10,104","16,457","17,837","28,200","10,992"
2021년09월_계_연령구간인구수,"213,151","16,579","3,448","1,582","4,178","4,243","3,480","4,643","6,403","15,186","4,822","3,405","25,776","7,780","10,412","12,873","4,751","10,104","16,457","17,837","28,200","10,992"
2021년09월_계_0~9세,"13,011",647,129,28,213,99,94,187,326,"1,289",155,86,"1,657",344,423,542,281,891,"1,351",915,"2,288","1,066"
2021년09월_계_10~19세,"18,578",981,190,35,271,192,148,241,449,"1,480",287,158,"2,903",604,731,"1,112",386,"1,002","1,514","1,483","3,374","1,037"
2021년09월_계_20~29세,"24,791","1,424",281,87,330,408,263,412,498,"1,715",539,342,"3,583",915,"1,260","1,639",544,"1,146","2,410","1,980","3,398","1,617"
2021년09월_계_30~39세,"21,330","1,226",204,78,327,285,200,402,532,"1,964",421,263,"2,578",779,894,"1,249",542,"1,281","2,052","1,549","3,129","1,375"
2021년09월_계_40~49세,"31,842","2,027",375,96,492,421,312,571,936,"2,559",611,400,"4,377","1,027","1,401","1,793",689,"1,656","2,643","2,473","5,062","1,921"
2021년09월_계_50~59세,"36,640","2,987",665,317,690,752,650,842,"1,070","2,507",759,600,"4,449","1,396","1,959","2,403",926,"1,675","2,576","3,095","4,624","1,698"
2021년09월_계_60~69세,"35,413","3,599",794,502,971,972,878,"1,083","1,384","1,981",992,705,"3,356","1,462","2,047","2,389",773,"1,444","2,230","3,051","3,511","1,289"
2021년09월_계_70~79세,"19,499","2,283",435,263,496,659,550,530,756,"1,068",636,563,"1,780",799,"1,122","1,117",365,627,"1,061","2,039","1,717",633
2021년09월_계_80~89세,"10,299","1,196",320,149,306,390,333,313,387,525,344,262,960,389,506,531,216,318,529,"1,082",944,299
2021년09월_계_90~99세,"1,689",202,53,27,78,63,51,58,62,92,76,24,128,64,66,95,29,62,89,165,149,56
2021년09월_계_100세 이상,59,7,2,0,4,2,1,4,3,6,2,2,5,1,3,3,0,2,2,5,4,1
2021년09월_남_총인구수,"105,761","8,106","1,741",846,"2,132","2,256","1,794","2,385","3,208","7,385","2,306","1,761","12,590","3,863","5,141","6,338","2,320","4,865","8,225","8,950","13,941","5,608"
2021년09월_남_연령구간인구수,"105,761","8,106","1,741",846,"2,132","2,256","1,794","2,385","3,208","7,385","2,306","1,761","12,590","3,863","5,141","6,338","2,320","4,865","8,225","8,950","13,941","5,608"
