카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년10월_계_총인구수,"76,849","8,614","6,724","5,101","4,596","5,192","8,160","5,068","4,309","7,047","11,922","7,654","2,462"
2020년10월_계_연령구간인구수,"76,849","8,614","6,724","5,101","4,596","5,192","8,160","5,068","4,309","7,047","11,922","7,654","2,462"
2020년10월_계_0~9세,"5,240",343,468,165,135,573,894,276,255,585,928,538,80
2020년10월_계_10~19세,"5,104",483,373,233,209,231,562,311,279,527,"1,091",649,156
2020년10월_계_20~29세,"11,910","1,464","1,871","1,463",829,645,837,847,645,707,"1,331","1,014",257
2020년10월_계_30~39세,"10,900","1,158","1,239",775,543,"1,052","1,393",655,619,965,"1,375",916,210
2020년10월_계_40~49세,"10,783","1,134",888,570,502,698,"1,174",661,599,"1,139","1,895","1,164",359
2020년10월_계_50~59세,"11,412","1,333",714,625,756,722,"1,242",805,674,"1,096","1,826","1,213",406
2020년10월_계_60~69세,"10,193","1,248",588,581,770,665,"1,081",708,534,973,"1,694",944,407
2020년10월_계_70~79세,"7,350",938,362,441,564,409,657,539,438,704,"1,148",750,400
2020년10월_계_80~89세,"3,378",436,186,197,231,167,270,248,222,309,555,400,157
2020년10월_계_90~99세,478,65,27,44,43,25,39,16,30,37,70,58,24
2020년10월_계_100세 이상,101,12,8,7,14,5,11,2,14,5,9,8,6
2020년10월_남_총인구수,"36,968","4,279","3,177","2,430","2,339","2,605","3,963","2,414","2,062","3,263","5,617","3,620","1,199"
2020년10월_남_연령구간인구수,"36,968","4,279","3,177","2,430","2,339","2,605","3,963","2,414","2,062","3,263","5,617","3,620","1,199"
2020년10월_남_0~9세,"2,700",163,234,85,70,284,437,149,124,328,499,287,40
2020년10월_남_10~19세,"2,624",241,182,115,105,124,312,148,137,268,586,316,90
2020년10월_남_20~29세,"5,705",726,817,612,400,328,436,396,310,334,692,516,138
2020년10월_남_30~39세,"5,631",634,649,439,339,531,676,316,320,482,685,447,113
2020년10월_남_40~49세,"5,482",627,473,291,267,376,608,353,292,548,907,562,178
2020년10월_남_50~59세,"5,635",696,338,345,400,365,590,406,348,514,842,579,212
2020년10월_남_60~69세,"4,700",614,248,284,397,337,521,326,245,394,720,427,187
2020년10월_남_70~79세,"3,105",396,156,177,256,194,271,234,194,284,481,292,170
2020년10월_남_80~89세,"1,252",164,72,66,93,59,103,81,85,102,189,173,65
2020년10월_남_90~99세,113,16,7,12,9,6,8,4,4,9,13,19,6
2020년10월_남_100세 이상,21,2,1,4,3,1,1,1,3,0,3,2,0
2020년10월_여_총인구수,"39,881","4,335","3,547","2,671","2,257","2,587","4,197","2,654","2,247","3,784","6,305","4,034","1,263"
2020년10월_여_연령구간인구수,"39,881","4,335","3,547","2,671","2,257","2,587","4,197","2,654","2,247","3,784","6,305","4,034","1,263"
2020년10월_여_0~9세,"2,540",180,234,80,65,289,457,127,131,257,429,251,40
2020년10월_여_10~19세,"2,480",242,191,118,104,107,250,163,142,259,505,333,66
2020년10월_여_20~29세,"6,205",738,"1,054",851,429,317,401,451,335,373,639,498,119
2020년10월_여_30~39세,"5,269",524,590,336,204,521,717,339,299,483,690,469,97
2020년10월_여_40~49세,"5,301",507,415,279,235,322,566,308,307,591,988,602,181
2020년10월_여_50~59세,"5,777",637,376,280,356,357,652,399,326,582,984,634,194
2020년10월_여_60~69세,"5,493",634,340,297,373,328,560,382,289,579,974,517,220
2020년10월_여_70~79세,"4,245",542,206,264,308,215,386,305,244,420,667,458,230
2020년10월_여_80~89세,"2,126",272,114,131,138,108,167,167,137,207,366,227,92
2020년10월_여_90~99세,365,49,20,32,34,19,31,12,26,28,57,39,18
2020년10월_여_100세 이상,80,10,7,3,11,4,10,1,11,5,6,6,6
