카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2021년02월_계_총인구수,"127,720","4,643","12,596","2,935","31,046","2,009","2,016","1,497","8,875","2,990","4,001","9,006","10,582","11,239","10,415","13,870"
2021년02월_계_연령구간인구수,"127,720","4,643","12,596","2,935","31,046","2,009","2,016","1,497","8,875","2,990","4,001","9,006","10,582","11,239","10,415","13,870"
2021년02월_계_0~9세,"9,462",117,"1,203",72,"3,807",45,32,18,374,89,118,469,688,867,485,"1,078"
2021년02월_계_10~19세,"12,751",208,"1,424",124,"3,988",96,51,37,813,181,228,678,979,"1,371",964,"1,609"
2021년02월_계_20~29세,"11,091",292,"1,072",173,"2,702",107,88,63,879,215,280,679,976,"1,011",963,"1,591"
2021년02월_계_30~39세,"13,476",314,"1,422",157,"4,588",108,80,69,710,178,275,841,"1,068","1,109",979,"1,578"
2021년02월_계_40~49세,"21,250",537,"2,233",275,"6,557",269,163,115,"1,272",373,528,"1,336","1,589","1,910","1,520","2,573"
2021년02월_계_50~59세,"22,364",932,"2,145",520,"4,543",412,351,306,"1,660",561,821,"1,806","1,786","2,030","2,015","2,476"
2021년02월_계_60~69세,"20,719","1,057","1,660",758,"2,987",483,477,396,"1,674",691,915,"1,842","2,056","1,859","1,933","1,931"
2021년02월_계_70~79세,"11,120",706,922,524,"1,272",301,439,271,"1,033",479,581,963,"1,034",761,"1,070",764
2021년02월_계_80~89세,"4,825",423,440,296,528,167,305,194,407,195,234,351,350,287,416,232
2021년02월_계_90~99세,634,55,74,36,74,21,28,26,50,26,20,38,52,32,66,36
2021년02월_계_100세 이상,28,2,1,0,0,0,2,2,3,2,1,3,4,2,4,2
2021년02월_남_총인구수,"64,198","2,447","6,301","1,509","15,707","1,109","1,039",744,"4,424","1,468","1,981","4,580","5,096","5,512","5,359","6,922"
2021년02월_남_연령구간인구수,"64,198","2,447","6,301","1,509","15,707","1,109","1,039",744,"4,424","1,468","1,981","4,580","5,096","5,512","5,359","6,922"
2021년02월_남_0~9세,"4,749",50,566,41,"1,940",25,19,8,177,34,51,238,341,445,226,588
2021년02월_남_10~19세,"6,594",106,726,67,"2,063",56,25,17,387,85,111,345,520,718,516,852
2021년02월_남_20~29세,"6,196",179,588,106,"1,430",63,53,42,529,129,165,394,549,545,568,856
2021년02월_남_30~39세,"6,919",176,691,88,"2,248",69,46,51,388,97,159,461,570,530,539,806
2021년02월_남_40~49세,"11,461",351,"1,179",180,"3,471",177,108,64,698,223,316,796,806,973,852,"1,267"
2021년02월_남_50~59세,"11,485",551,"1,131",307,"2,344",239,230,177,840,298,432,914,793,981,"1,066","1,182"
2021년02월_남_60~69세,"10,105",574,848,373,"1,462",251,262,217,810,337,422,856,891,916,963,923
2021년02월_남_70~79세,"5,045",330,400,248,580,164,196,115,454,192,248,455,482,331,476,374
2021년02월_남_80~89세,"1,512",123,154,93,155,63,94,49,134,66,71,112,130,67,133,68
2021년02월_남_90~99세,124,7,17,6,14,2,6,4,6,7,6,9,11,5,19,5
2021년02월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2021년02월_여_총인구수,"63,522","2,196","6,295","1,426","15,339",900,977,753,"4,451","1,522","2,020","4,426","5,486","5,727","5,056","6,948"
2021년02월_여_연령구간인구수,"63,522","2,196","6,295","1,426","15,339",900,977,753,"4,451","1,522","2,020","4,426","5,486","5,727","5,056","6,948"
2021년02월_여_0~9세,"4,713",67,637,31,"1,867",20,13,10,197,55,67,231,347,422,259,490
2021년02월_여_10~19세,"6,157",102,698,57,"1,925",40,26,20,426,96,117,333,459,653,448,757
2021년02월_여_20~29세,"4,895",113,484,67,"1,272",44,35,21,350,86,115,285,427,466,395,735
2021년02월_여_30~39세,"6,557",138,731,69,"2,340",39,34,18,322,81,116,380,498,579,440,772
2021년02월_여_40~49세,"9,789",186,"1,054",95,"3,086",92,55,51,574,150,212,540,783,937,668,"1,306"
2021년02월_여_50~59세,"10,879",381,"1,014",213,"2,199",173,121,129,820,263,389,892,993,"1,049",949,"1,294"
2021년02월_여_60~69세,"10,614",483,812,385,"1,525",232,215,179,864,354,493,986,"1,165",943,970,"1,008"
2021년02월_여_70~79세,"6,075",376,522,276,692,137,243,156,579,287,333,508,552,430,594,390
2021년02월_여_80~89세,"3,313",300,286,203,373,104,211,145,273,129,163,239,220,220,283,164
2021년02월_여_90~99세,510,48,57,30,60,19,22,22,44,19,14,29,41,27,47,31
2021년02월_여_100세 이상,20,2,0,0,0,0,2,2,2,2,1,3,1,1,3,1
