,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년02월_계_총인구수,"63,879","18,568","19,348","2,412","6,183","2,877","3,453","5,420","1,935","2,777",906
2021년02월_계_연령구간인구수,"63,879","18,568","19,348","2,412","6,183","2,877","3,453","5,420","1,935","2,777",906
2021년02월_계_0~9세,"3,970","1,251","1,845",56,307,66,57,295,19,60,14
2021년02월_계_10~19세,"5,961","1,987","2,641",121,307,82,142,464,58,132,27
2021년02월_계_20~29세,"5,412","2,025","1,570",156,460,174,221,425,117,216,48
2021년02월_계_30~39세,"5,456","1,822","1,950",150,537,144,147,394,91,174,47
2021년02월_계_40~49세,"9,331","2,857","3,783",219,596,274,296,809,161,270,66
2021년02월_계_50~59세,"11,195","3,363","3,142",409,"1,001",560,591,"1,067",346,551,165
2021년02월_계_60~69세,"11,190","2,792","2,531",565,"1,313",722,815,950,512,715,275
2021년02월_계_70~79세,"6,646","1,470","1,217",416,894,480,664,613,366,373,153
2021년02월_계_80~89세,"4,150",876,575,286,679,335,453,355,242,252,97
2021년02월_계_90~99세,554,119,88,34,87,40,67,48,23,34,14
2021년02월_계_100세 이상,14,6,6,0,2,0,0,0,0,0,0
2021년02월_남_총인구수,"32,425","9,353","9,817","1,214","3,200","1,464","1,722","2,800",993,"1,401",461
2021년02월_남_연령구간인구수,"32,425","9,353","9,817","1,214","3,200","1,464","1,722","2,800",993,"1,401",461
2021년02월_남_0~9세,"1,993",640,910,24,150,33,30,163,7,28,8
2021년02월_남_10~19세,"3,187","1,100","1,386",68,173,47,76,220,27,74,16
2021년02월_남_20~29세,"3,154","1,192",863,92,290,100,139,238,76,139,25
2021년02월_남_30~39세,"2,794",903,921,83,311,93,86,221,55,93,28
2021년02월_남_40~49세,"5,040","1,480","1,925",128,378,180,186,451,109,159,44
2021년02월_남_50~59세,"6,157","1,751","1,737",230,582,332,346,610,207,272,90
2021년02월_남_60~69세,"5,788","1,380","1,294",301,708,376,417,513,266,385,148
2021년02월_남_70~79세,"2,959",618,591,189,386,199,288,274,157,184,73
2021년02월_남_80~89세,"1,240",261,167,93,201,95,142,104,85,64,28
2021년02월_남_90~99세,108,27,21,6,19,9,12,6,4,3,1
2021년02월_남_100세 이상,5,1,2,0,2,0,0,0,0,0,0
2021년02월_여_총인구수,"31,454","9,215","9,531","1,198","2,983","1,413","1,731","2,620",942,"1,376",445
2021년02월_여_연령구간인구수,"31,454","9,215","9,531","1,198","2,983","1,413","1,731","2,620",942,"1,376",445
2021년02월_여_0~9세,"1,977",611,935,32,157,33,27,132,12,32,6
2021년02월_여_10~19세,"2,774",887,"1,255",53,134,35,66,244,31,58,11
2021년02월_여_20~29세,"2,258",833,707,64,170,74,82,187,41,77,23
2021년02월_여_30~39세,"2,662",919,"1,029",67,226,51,61,173,36,81,19
2021년02월_여_40~49세,"4,291","1,377","1,858",91,218,94,110,358,52,111,22
2021년02월_여_50~59세,"5,038","1,612","1,405",179,419,228,245,457,139,279,75
2021년02월_여_60~69세,"5,402","1,412","1,237",264,605,346,398,437,246,330,127
2021년02월_여_70~79세,"3,687",852,626,227,508,281,376,339,209,189,80
2021년02월_여_80~89세,"2,910",615,408,193,478,240,311,251,157,188,69
2021년02월_여_90~99세,446,92,67,28,68,31,55,42,19,31,13
2021년02월_여_100세 이상,9,5,4,0,0,0,0,0,0,0,0
