카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년11월_계_총인구수,"45,936","14,336","2,813","3,193","1,273","3,666","1,923","2,810","2,656","1,865","2,457","4,538","4,406"
2020년11월_계_연령구간인구수,"45,936","14,336","2,813","3,193","1,273","3,666","1,923","2,810","2,656","1,865","2,457","4,538","4,406"
2020년11월_계_0~9세,"2,337","1,075",124,125,30,150,68,71,94,73,106,223,198
2020년11월_계_10~19세,"2,985","1,224",111,168,52,201,109,119,120,82,123,322,354
2020년11월_계_20~29세,"4,753","1,666",231,283,102,312,175,583,215,156,196,428,406
2020년11월_계_30~39세,"3,622","1,474",218,225,80,248,122,154,194,131,187,289,300
2020년11월_계_40~49세,"5,162","1,878",306,335,112,367,176,225,256,179,240,567,521
2020년11월_계_50~59세,"8,072","2,274",505,607,248,706,388,428,457,339,455,846,819
2020년11월_계_60~69세,"8,200","2,122",584,651,281,700,378,494,538,390,497,823,742
2020년11월_계_70~79세,"6,338","1,601",443,500,203,572,296,402,431,320,400,579,591
2020년11월_계_80~89세,"3,835",862,248,255,138,368,177,293,299,167,226,387,415
2020년11월_계_90~99세,597,149,42,41,26,37,32,40,48,26,25,71,60
2020년11월_계_100세 이상,35,11,1,3,1,5,2,1,4,2,2,3,0
2020년11월_남_총인구수,"23,343","7,265","1,429","1,611",649,"1,863",988,"1,581","1,352",931,"1,227","2,269","2,178"
2020년11월_남_연령구간인구수,"23,343","7,265","1,429","1,611",649,"1,863",988,"1,581","1,352",931,"1,227","2,269","2,178"
2020년11월_남_0~9세,"1,176",527,60,59,12,82,41,33,49,45,49,119,100
2020년11월_남_10~19세,"1,561",654,58,84,26,101,61,69,63,41,62,176,166
2020년11월_남_20~29세,"2,820",947,127,149,61,179,94,497,121,78,102,229,236
2020년11월_남_30~39세,"1,891",761,115,131,42,132,70,83,112,62,85,149,149
2020년11월_남_40~49세,"3,011","1,045",198,192,65,224,99,134,174,111,156,313,300
2020년11월_남_50~59세,"4,463","1,211",282,334,143,394,211,240,259,184,259,477,469
2020년11월_남_60~69세,"4,229","1,064",299,351,154,373,219,245,267,195,250,424,388
2020년11월_남_70~79세,"2,815",722,191,217,91,244,128,181,199,149,194,257,242
2020년11월_남_80~89세,"1,243",301,88,85,48,124,59,91,99,57,67,105,119
2020년11월_남_90~99세,130,31,11,9,7,9,6,8,9,9,3,19,9
2020년11월_남_100세 이상,4,2,0,0,0,1,0,0,0,0,0,1,0
2020년11월_여_총인구수,"22,593","7,071","1,384","1,582",624,"1,803",935,"1,229","1,304",934,"1,230","2,269","2,228"
2020년11월_여_연령구간인구수,"22,593","7,071","1,384","1,582",624,"1,803",935,"1,229","1,304",934,"1,230","2,269","2,228"
2020년11월_여_0~9세,"1,161",548,64,66,18,68,27,38,45,28,57,104,98
2020년11월_여_10~19세,"1,424",570,53,84,26,100,48,50,57,41,61,146,188
2020년11월_여_20~29세,"1,933",719,104,134,41,133,81,86,94,78,94,199,170
2020년11월_여_30~39세,"1,731",713,103,94,38,116,52,71,82,69,102,140,151
2020년11월_여_40~49세,"2,151",833,108,143,47,143,77,91,82,68,84,254,221
2020년11월_여_50~59세,"3,609","1,063",223,273,105,312,177,188,198,155,196,369,350
2020년11월_여_60~69세,"3,971","1,058",285,300,127,327,159,249,271,195,247,399,354
2020년11월_여_70~79세,"3,523",879,252,283,112,328,168,221,232,171,206,322,349
2020년11월_여_80~89세,"2,592",561,160,170,90,244,118,202,200,110,159,282,296
2020년11월_여_90~99세,467,118,31,32,19,28,26,32,39,17,22,52,51
2020년11월_여_100세 이상,31,9,1,3,1,4,2,1,4,2,2,2,0
