,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년03월_계_총인구수,"52,813","20,664","2,002","3,007","2,377","3,596","2,503","4,623","2,388","2,646","2,284","2,830","2,708","1,185"
2020년03월_계_연령구간인구수,"52,813","20,664","2,002","3,007","2,377","3,596","2,503","4,623","2,388","2,646","2,284","2,830","2,708","1,185"
2020년03월_계_0~9세,"2,688","1,637",50,87,103,122,56,220,84,52,85,74,88,30
2020년03월_계_10~19세,"3,850","2,368",67,119,144,160,83,300,121,103,99,130,119,37
2020년03월_계_20~29세,"4,430","2,179",118,218,194,233,149,381,155,162,163,205,204,69
2020년03월_계_30~39세,"4,079","2,027",121,183,202,260,120,379,160,122,144,159,130,72
2020년03월_계_40~49세,"6,330","3,088",169,284,257,386,199,562,230,255,203,285,294,118
2020년03월_계_50~59세,"9,131","3,446",334,523,425,564,465,893,440,434,417,463,500,227
2020년03월_계_60~69세,"9,431","2,793",448,568,421,785,551,885,569,528,449,581,569,284
2020년03월_계_70~79세,"7,632","1,953",375,560,346,717,503,631,402,520,409,535,474,207
2020년03월_계_80~89세,"4,625","1,057",277,412,242,336,331,326,195,421,281,351,277,119
2020년03월_계_90~99세,579,111,40,51,41,31,44,44,28,47,30,44,47,21
2020년03월_계_100세 이상,38,5,3,2,2,2,2,2,4,2,4,3,6,1
2020년03월_남_총인구수,"26,217","10,126",968,"1,532","1,216","1,825","1,239","2,329","1,206","1,308","1,118","1,392","1,330",628
2020년03월_남_연령구간인구수,"26,217","10,126",968,"1,532","1,216","1,825","1,239","2,329","1,206","1,308","1,118","1,392","1,330",628
2020년03월_남_0~9세,"1,404",858,23,54,44,54,29,122,48,27,44,41,47,13
2020년03월_남_10~19세,"2,041","1,244",42,61,76,80,49,157,74,48,53,69,72,16
2020년03월_남_20~29세,"2,444","1,165",65,128,108,134,84,207,89,93,85,113,130,43
2020년03월_남_30~39세,"2,221",994,71,108,125,164,73,214,88,86,85,96,68,49
2020년03월_남_40~49세,"3,564","1,538",108,195,164,249,131,350,133,159,119,165,174,79
2020년03월_남_50~59세,"4,929","1,713",187,304,239,331,257,473,232,258,249,273,268,145
2020년03월_남_60~69세,"4,708","1,397",219,294,228,363,285,425,283,263,237,290,271,153
2020년03월_남_70~79세,"3,299",840,157,245,152,323,211,283,190,220,166,213,213,86
2020년03월_남_80~89세,"1,479",351,90,131,69,118,112,91,61,141,75,121,79,40
2020년03월_남_90~99세,123,25,6,12,11,9,8,7,7,13,3,11,7,4
2020년03월_남_100세 이상,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020년03월_여_총인구수,"26,596","10,538","1,034","1,475","1,161","1,771","1,264","2,294","1,182","1,338","1,166","1,438","1,378",557
2020년03월_여_연령구간인구수,"26,596","10,538","1,034","1,475","1,161","1,771","1,264","2,294","1,182","1,338","1,166","1,438","1,378",557
2020년03월_여_0~9세,"1,284",779,27,33,59,68,27,98,36,25,41,33,41,17
2020년03월_여_10~19세,"1,809","1,124",25,58,68,80,34,143,47,55,46,61,47,21
2020년03월_여_20~29세,"1,986","1,014",53,90,86,99,65,174,66,69,78,92,74,26
2020년03월_여_30~39세,"1,858","1,033",50,75,77,96,47,165,72,36,59,63,62,23
2020년03월_여_40~49세,"2,766","1,550",61,89,93,137,68,212,97,96,84,120,120,39
2020년03월_여_50~59세,"4,202","1,733",147,219,186,233,208,420,208,176,168,190,232,82
2020년03월_여_60~69세,"4,723","1,396",229,274,193,422,266,460,286,265,212,291,298,131
2020년03월_여_70~79세,"4,333","1,113",218,315,194,394,292,348,212,300,243,322,261,121
2020년03월_여_80~89세,"3,146",706,187,281,173,218,219,235,134,280,206,230,198,79
2020년03월_여_90~99세,456,86,34,39,30,22,36,37,21,34,27,33,40,17
2020년03월_여_100세 이상,33,4,3,2,2,2,2,2,3,2,2,3,5,1
