,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년05월_계_총인구수,"319,225","6,468","77,811","4,245","22,304","20,235","22,056","5,528","6,440","3,091","4,455","19,909","9,434","10,826","36,824","18,770","21,660","29,169"
2021년05월_계_연령구간인구수,"319,225","6,468","77,811","4,245","22,304","20,235","22,056","5,528","6,440","3,091","4,455","19,909","9,434","10,826","36,824","18,770","21,660","29,169"
2021년05월_계_0~9세,"32,092",341,"9,508",189,"2,901","2,514","2,489",139,310,60,106,"1,509",880,427,"3,870","1,485","2,151","3,213"
2021년05월_계_10~19세,"34,821",494,"9,465",362,"3,103","1,795","1,465",271,386,105,170,"2,080",727,790,"4,852","2,417","2,768","3,571"
2021년05월_계_20~29세,"37,131",539,"9,812",306,"2,942","2,106","2,430",419,541,178,352,"2,399","1,091","1,695","4,507","2,155","2,739","2,920"
2021년05월_계_30~39세,"48,136",606,"14,264",272,"3,977","3,573","4,686",400,611,180,302,"2,203","1,735","1,244","4,986","2,117","2,893","4,087"
2021년05월_계_40~49세,"57,140",879,"14,942",540,"4,817","3,507","3,637",571,941,250,395,"3,469","1,501","1,456","7,052","3,458","4,071","5,654"
2021년05월_계_50~59세,"46,842","1,131","10,097",755,"2,468","2,820","3,047",973,"1,219",515,838,"3,257","1,322","2,006","5,376","3,225","3,396","4,397"
2021년05월_계_60~69세,"33,619","1,186","5,709",838,"1,136","2,270","2,425","1,268","1,182",783,"1,005","2,538","1,158","1,697","3,416","2,108","2,008","2,892"
2021년05월_계_70~79세,"18,081",717,"2,595",569,588,982,"1,142",831,680,559,727,"1,524",672,988,"1,786","1,166","1,053","1,502"
2021년05월_계_80~89세,"9,953",504,"1,220",351,325,571,636,574,498,412,506,830,290,456,862,562,512,844
2021년05월_계_90~99세,"1,354",68,188,58,47,95,97,81,72,47,53,95,55,63,110,73,65,87
2021년05월_계_100세 이상,56,3,11,5,0,2,2,1,0,2,1,5,3,4,7,4,4,2
2021년05월_남_총인구수,"165,823","3,390","39,928","2,173","12,111","10,955","12,421","2,926","3,583","1,600","2,278","10,412","4,945","5,622","18,374","9,568","11,078","14,459"
2021년05월_남_연령구간인구수,"165,823","3,390","39,928","2,173","12,111","10,955","12,421","2,926","3,583","1,600","2,278","10,412","4,945","5,622","18,374","9,568","11,078","14,459"
2021년05월_남_0~9세,"16,469",173,"4,871",99,"1,494","1,249","1,299",66,167,33,48,770,447,204,"1,990",805,"1,142","1,612"
2021년05월_남_10~19세,"17,898",255,"4,869",191,"1,606",941,738,158,210,56,84,"1,053",390,415,"2,436","1,263","1,450","1,783"
2021년05월_남_20~29세,"20,689",323,"5,156",167,"1,713","1,314","1,472",266,339,100,202,"1,406",580,972,"2,382","1,222","1,549","1,526"
2021년05월_남_30~39세,"25,681",376,"7,352",145,"2,092","1,957","2,815",244,392,116,179,"1,187",964,750,"2,475","1,096","1,512","2,029"
2021년05월_남_40~49세,"31,041",511,"7,901",304,"2,754","2,089","2,298",352,606,161,238,"1,878",864,794,"3,609","1,764","2,046","2,872"
2021년05월_남_50~59세,"25,356",618,"5,320",423,"1,490","1,552","1,736",552,735,304,473,"1,804",711,"1,027","2,801","1,688","1,772","2,350"
2021년05월_남_60~69세,"16,825",595,"2,832",427,578,"1,180","1,300",685,631,381,525,"1,321",575,830,"1,588","1,017",962,"1,398"
2021년05월_남_70~79세,"8,057",342,"1,167",277,259,472,532,378,311,277,332,667,302,442,755,506,436,602
2021년05월_남_80~89세,"3,499",183,417,127,118,184,209,206,177,161,186,299,103,170,309,191,194,265
2021년05월_남_90~99세,299,14,38,13,7,17,21,19,15,10,11,27,9,17,29,16,15,21
2021년05월_남_100세 이상,9,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2021년05월_여_총인구수,"153,402","3,078","37,883","2,072","10,193","9,280","9,635","2,602","2,857","1,491","2,177","9,497","4,489","5,204","18,450","9,202","10,582","14,710"
2021년05월_여_연령구간인구수,"153,402","3,078","37,883","2,072","10,193","9,280","9,635","2,602","2,857","1,491","2,177","9,497","4,489","5,204","18,450","9,202","10,582","14,710"
2021년05월_여_0~9세,"15,623",168,"4,637",90,"1,407","1,265","1,190",73,143,27,58,739,433,223,"1,880",680,"1,009","1,601"
2021년05월_여_10~19세,"16,923",239,"4,596",171,"1,497",854,727,113,176,49,86,"1,027",337,375,"2,416","1,154","1,318","1,788"
2021년05월_여_20~29세,"16,442",216,"4,656",139,"1,229",792,958,153,202,78,150,993,511,723,"2,125",933,"1,190","1,394"
2021년05월_여_30~39세,"22,455",230,"6,912",127,"1,885","1,616","1,871",156,219,64,123,"1,016",771,494,"2,511","1,021","1,381","2,058"
2021년05월_여_40~49세,"26,099",368,"7,041",236,"2,063","1,418","1,339",219,335,89,157,"1,591",637,662,"3,443","1,694","2,025","2,782"
2021년05월_여_50~59세,"21,486",513,"4,777",332,978,"1,268","1,311",421,484,211,365,"1,453",611,979,"2,575","1,537","1,624","2,047"
2021년05월_여_60~69세,"16,794",591,"2,877",411,558,"1,090","1,125",583,551,402,480,"1,217",583,867,"1,828","1,091","1,046","1,494"
2021년05월_여_70~79세,"10,024",375,"1,428",292,329,510,610,453,369,282,395,857,370,546,"1,031",660,617,900
2021년05월_여_80~89세,"6,454",321,803,224,207,387,427,368,321,251,320,531,187,286,553,371,318,579
2021년05월_여_90~99세,"1,055",54,150,45,40,78,76,62,57,37,42,68,46,46,81,57,50,66
2021년05월_여_100세 이상,47,3,6,5,0,2,1,1,0,1,1,5,3,3,7,4,4,1
