,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년03월_계_총인구수,"63,694","18,519","19,301","2,406","6,163","2,880","3,445","5,378","1,935","2,761",906
2021년03월_계_연령구간인구수,"63,694","18,519","19,301","2,406","6,163","2,880","3,445","5,378","1,935","2,761",906
2021년03월_계_0~9세,"3,923","1,232","1,825",56,302,68,58,288,19,60,15
2021년03월_계_10~19세,"5,921","1,986","2,635",116,310,78,137,454,57,123,25
2021년03월_계_20~29세,"5,373","2,013","1,570",152,447,177,223,418,114,210,49
2021년03월_계_30~39세,"5,385","1,798","1,923",151,530,147,142,388,89,170,47
2021년03월_계_40~49세,"9,238","2,829","3,760",222,592,265,293,793,157,264,63
2021년03월_계_50~59세,"11,196","3,375","3,158",403,992,557,588,"1,057",345,552,169
2021년03월_계_60~69세,"11,252","2,813","2,531",573,"1,327",730,809,959,519,719,272
2021년03월_계_70~79세,"6,651","1,471","1,222",409,890,482,667,614,366,376,154
2021년03월_계_80~89세,"4,178",877,581,290,683,336,457,359,245,253,97
2021년03월_계_90~99세,563,119,90,34,88,40,71,48,24,34,15
2021년03월_계_100세 이상,14,6,6,0,2,0,0,0,0,0,0
2021년03월_남_총인구수,"32,325","9,335","9,786","1,213","3,186","1,470","1,710","2,782",993,"1,389",461
2021년03월_남_연령구간인구수,"32,325","9,335","9,786","1,213","3,186","1,470","1,710","2,782",993,"1,389",461
2021년03월_남_0~9세,"1,967",629,898,23,150,34,31,158,7,28,9
2021년03월_남_10~19세,"3,155","1,097","1,380",65,170,45,72,216,27,68,15
2021년03월_남_20~29세,"3,143","1,196",868,90,284,103,137,235,72,132,26
2021년03월_남_30~39세,"2,751",892,906,83,303,96,82,217,54,90,28
2021년03월_남_40~49세,"4,988","1,470","1,901",130,377,177,185,444,105,157,42
2021년03월_남_50~59세,"6,154","1,751","1,752",229,577,327,342,604,205,275,92
2021년03월_남_60~69세,"5,829","1,389","1,294",305,716,384,415,521,272,386,147
2021년03월_남_70~79세,"2,964",623,590,186,383,201,287,274,162,185,73
2021년03월_남_80~89세,"1,257",258,172,95,206,94,147,107,85,65,28
2021년03월_남_90~99세,112,29,23,7,18,9,12,6,4,3,1
2021년03월_남_100세 이상,5,1,2,0,2,0,0,0,0,0,0
2021년03월_여_총인구수,"31,369","9,184","9,515","1,193","2,977","1,410","1,735","2,596",942,"1,372",445
2021년03월_여_연령구간인구수,"31,369","9,184","9,515","1,193","2,977","1,410","1,735","2,596",942,"1,372",445
2021년03월_여_0~9세,"1,956",603,927,33,152,34,27,130,12,32,6
2021년03월_여_10~19세,"2,766",889,"1,255",51,140,33,65,238,30,55,10
2021년03월_여_20~29세,"2,230",817,702,62,163,74,86,183,42,78,23
2021년03월_여_30~39세,"2,634",906,"1,017",68,227,51,60,171,35,80,19
2021년03월_여_40~49세,"4,250","1,359","1,859",92,215,88,108,349,52,107,21
2021년03월_여_50~59세,"5,042","1,624","1,406",174,415,230,246,453,140,277,77
2021년03월_여_60~69세,"5,423","1,424","1,237",268,611,346,394,438,247,333,125
2021년03월_여_70~79세,"3,687",848,632,223,507,281,380,340,204,191,81
2021년03월_여_80~89세,"2,921",619,409,195,477,242,310,252,160,188,69
2021년03월_여_90~99세,451,90,67,27,70,31,59,42,20,31,14
2021년03월_여_100세 이상,9,5,4,0,0,0,0,0,0,0,0
