카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년05월_계_총인구수,"2,950,063","138,535","63,795","406,602","372,206","531,031","503,946","300,446","544,010","69,102","20,390"
2020년05월_계_연령구간인구수,"2,950,063","138,535","63,795","406,602","372,206","531,031","503,946","300,446","544,010","69,102","20,390"
2020년05월_계_0~9세,"236,555","12,184","4,139","28,340","36,907","44,226","34,926","19,682","51,879","3,293",979
2020년05월_계_10~19세,"278,178","12,543","5,254","32,447","41,539","50,991","44,813","27,653","57,103","4,696","1,139"
2020년05월_계_20~29세,"405,158","19,306","6,768","57,294","50,869","71,988","72,042","45,240","73,449","5,517","2,685"
2020년05월_계_30~39세,"414,252","21,283","7,361","56,862","55,242","75,505","70,263","38,916","81,457","5,415","1,948"
2020년05월_계_40~49세,"487,282","24,393","10,292","64,019","65,987","89,898","79,272","47,071","96,058","7,867","2,425"
2020년05월_계_50~59세,"515,113","20,029","10,306","68,019","62,748","91,103","92,141","61,678","93,305","12,135","3,649"
2020년05월_계_60~69세,"351,033","15,393","9,828","54,060","35,528","62,978","63,539","36,768","55,306","13,759","3,874"
2020년05월_계_70~79세,"174,370","9,156","6,584","30,976","15,074","30,148","31,083","15,208","23,742","10,070","2,329"
2020년05월_계_80~89세,"75,383","3,571","2,778","12,492","7,034","12,123","13,617","7,096","10,017","5,537","1,118"
2020년05월_계_90~99세,"11,815",598,410,"1,912","1,226","1,945","2,054","1,068","1,593",776,233
2020년05월_계_100세 이상,924,79,75,181,52,126,196,66,101,37,11
2020년05월_남_총인구수,"1,478,307","71,667","32,230","204,875","185,068","264,071","249,482","149,977","274,679","34,656","11,602"
2020년05월_남_연령구간인구수,"1,478,307","71,667","32,230","204,875","185,068","264,071","249,482","149,977","274,679","34,656","11,602"
2020년05월_남_0~9세,"121,360","6,265","2,185","14,498","18,841","22,760","17,850","10,015","26,731","1,713",502
2020년05월_남_10~19세,"143,138","6,511","2,718","16,743","21,322","26,059","23,235","14,271","29,229","2,419",631
2020년05월_남_20~29세,"211,467","9,747","3,671","30,332","26,370","37,279","37,094","23,617","38,207","3,198","1,952"
2020년05월_남_30~39세,"214,096","11,489","3,912","30,469","27,275","38,789","36,343","20,181","41,575","2,849","1,214"
2020년05월_남_40~49세,"248,912","13,372","5,551","33,831","32,433","45,734","39,819","23,386","48,957","4,282","1,547"
2020년05월_남_50~59세,"257,668","10,956","5,449","34,084","31,106","44,897","45,211","30,243","47,390","6,233","2,099"
2020년05월_남_60~69세,"173,935","7,631","4,740","25,935","18,307","30,417","30,928","18,957","28,121","6,835","2,064"
2020년05월_남_70~79세,"79,206","4,238","2,909","14,020","6,885","13,611","13,962","6,805","10,878","4,753","1,145"
2020년05월_남_80~89세,"25,702","1,282",964,"4,485","2,232","4,098","4,569","2,255","3,248","2,173",396
2020년05월_남_90~99세,"2,580",150,108,430,283,397,427,232,313,192,48
2020년05월_남_100세 이상,243,26,23,48,14,30,44,15,30,9,4
2020년05월_여_총인구수,"1,471,756","66,868","31,565","201,727","187,138","266,960","254,464","150,469","269,331","34,446","8,788"
2020년05월_여_연령구간인구수,"1,471,756","66,868","31,565","201,727","187,138","266,960","254,464","150,469","269,331","34,446","8,788"
2020년05월_여_0~9세,"115,195","5,919","1,954","13,842","18,066","21,466","17,076","9,667","25,148","1,580",477
2020년05월_여_10~19세,"135,040","6,032","2,536","15,704","20,217","24,932","21,578","13,382","27,874","2,277",508
2020년05월_여_20~29세,"193,691","9,559","3,097","26,962","24,499","34,709","34,948","21,623","35,242","2,319",733
2020년05월_여_30~39세,"200,156","9,794","3,449","26,393","27,967","36,716","33,920","18,735","39,882","2,566",734
2020년05월_여_40~49세,"238,370","11,021","4,741","30,188","33,554","44,164","39,453","23,685","47,101","3,585",878
2020년05월_여_50~59세,"257,445","9,073","4,857","33,935","31,642","46,206","46,930","31,435","45,915","5,902","1,550"
2020년05월_여_60~69세,"177,098","7,762","5,088","28,125","17,221","32,561","32,611","17,811","27,185","6,924","1,810"
2020년05월_여_70~79세,"95,164","4,918","3,675","16,956","8,189","16,537","17,121","8,403","12,864","5,317","1,184"
2020년05월_여_80~89세,"49,681","2,289","1,814","8,007","4,802","8,025","9,048","4,841","6,769","3,364",722
2020년05월_여_90~99세,"9,235",448,302,"1,482",943,"1,548","1,627",836,"1,280",584,185
2020년05월_여_100세 이상,681,53,52,133,38,96,152,51,71,28,7
