,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년08월_계_총인구수,"172,288","53,147","8,735","81,948","20,348","8,110"
2020년08월_계_연령구간인구수,"172,288","53,147","8,735","81,948","20,348","8,110"
2020년08월_계_0~9세,"19,356","3,320",433,"12,635","2,540",428
2020년08월_계_10~19세,"17,198","4,555",445,"10,399","1,368",431
2020년08월_계_20~29세,"16,716","6,290","1,021","6,638","2,016",751
2020년08월_계_30~39세,"25,221","5,696","1,077","13,962","3,774",712
2020년08월_계_40~49세,"31,596","8,446",966,"18,118","3,038","1,028"
2020년08월_계_50~59세,"23,673","9,377","1,598","8,300","2,953","1,445"
2020년08월_계_60~69세,"20,673","8,023","1,632","6,726","2,571","1,721"
2020년08월_계_70~79세,"12,094","4,920",955,"3,737","1,407","1,075"
2020년08월_계_80~89세,"4,998","2,184",515,"1,254",589,456
2020년08월_계_90~99세,720,315,83,173,88,61
2020년08월_계_100세 이상,43,21,10,6,4,2
2020년08월_남_총인구수,"85,309","25,910","4,665","40,453","10,197","4,084"
2020년08월_남_연령구간인구수,"85,309","25,910","4,665","40,453","10,197","4,084"
2020년08월_남_0~9세,"9,822","1,711",220,"6,417","1,278",196
2020년08월_남_10~19세,"8,988","2,373",256,"5,424",698,237
2020년08월_남_20~29세,"8,842","3,362",607,"3,322","1,110",441
2020년08월_남_30~39세,"12,502","2,977",643,"6,584","1,931",367
2020년08월_남_40~49세,"16,275","4,218",561,"9,331","1,592",573
2020년08월_남_50~59세,"11,934","4,640",882,"4,221","1,464",727
2020년08월_남_60~69세,"9,632","3,763",847,"2,940","1,260",822
2020년08월_남_70~79세,"5,483","2,053",471,"1,754",661,544
2020년08월_남_80~89세,"1,695",759,153,434,187,162
2020년08월_남_90~99세,129,52,20,26,16,15
2020년08월_남_100세 이상,7,2,5,0,0,0
2020년08월_여_총인구수,"86,979","27,237","4,070","41,495","10,151","4,026"
2020년08월_여_연령구간인구수,"86,979","27,237","4,070","41,495","10,151","4,026"
2020년08월_여_0~9세,"9,534","1,609",213,"6,218","1,262",232
2020년08월_여_10~19세,"8,210","2,182",189,"4,975",670,194
2020년08월_여_20~29세,"7,874","2,928",414,"3,316",906,310
2020년08월_여_30~39세,"12,719","2,719",434,"7,378","1,843",345
2020년08월_여_40~49세,"15,321","4,228",405,"8,787","1,446",455
2020년08월_여_50~59세,"11,739","4,737",716,"4,079","1,489",718
2020년08월_여_60~69세,"11,041","4,260",785,"3,786","1,311",899
2020년08월_여_70~79세,"6,611","2,867",484,"1,983",746,531
2020년08월_여_80~89세,"3,303","1,425",362,820,402,294
2020년08월_여_90~99세,591,263,63,147,72,46
2020년08월_여_100세 이상,36,19,5,6,4,2
