카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년05월_계_총인구수,"209,483","4,812","2,009","2,946","8,821","2,951","2,283","3,942","13,562","3,816","3,627","2,275","3,159","1,959","2,690","23,574","6,975","15,366","5,232","9,478","18,446","3,724","9,301","14,585","37,321","6,629"
2021년05월_계_연령구간인구수,"209,483","4,812","2,009","2,946","8,821","2,951","2,283","3,942","13,562","3,816","3,627","2,275","3,159","1,959","2,690","23,574","6,975","15,366","5,232","9,478","18,446","3,724","9,301","14,585","37,321","6,629"
2021년05월_계_0~9세,"14,188",95,36,72,571,33,49,65,"2,039",336,98,53,75,60,96,"1,593",251,"1,225",245,336,"2,017",90,523,981,"2,686",563
2021년05월_계_10~19세,"18,613",208,62,111,401,100,90,117,997,291,172,82,142,74,154,"2,516",523,"1,989",479,679,"2,382",161,734,"1,700","3,771",678
2021년05월_계_20~29세,"24,099",364,110,188,"1,421",171,114,255,"1,553",521,252,121,177,101,269,"2,737",859,"1,849",586,"1,043","2,179",510,"1,093","1,919","4,944",763
2021년05월_계_30~39세,"23,114",292,90,142,"1,389",164,112,170,"3,102",449,165,121,161,113,222,"2,438",605,"1,639",435,846,"2,617",264,997,"1,452","4,328",801
2021년05월_계_40~49세,"30,401",477,162,235,"1,178",212,167,308,"2,148",506,320,180,234,142,336,"3,642",919,"2,815",722,"1,148","3,387",408,"1,376","2,425","5,835","1,119"
2021년05월_계_50~59세,"37,056",989,410,607,"1,469",556,383,780,"1,561",513,689,425,552,334,461,"4,341","1,249","2,663",930,"1,713","2,877",711,"1,714","2,857","7,051","1,221"
2021년05월_계_60~69세,"33,216","1,215",596,801,"1,337",813,654,"1,114","1,234",587,928,601,889,545,551,"3,512","1,287","1,773",898,"1,988","1,797",796,"1,581","1,841","5,077",801
2021년05월_계_70~79세,"17,244",659,321,481,599,478,393,650,539,338,546,372,496,320,350,"1,737",801,873,577,"1,063",759,467,886,886,"2,242",411
2021년05월_계_80~89세,"10,188",465,185,268,402,384,279,417,335,246,391,282,380,245,215,946,428,481,326,583,375,284,354,465,"1,218",234
2021년05월_계_90~99세,"1,329",46,36,41,52,39,39,65,54,28,64,37,51,25,35,109,50,56,34,77,55,33,42,57,167,37
2021년05월_계_100세 이상,35,2,1,0,2,1,3,1,0,1,2,1,2,0,1,3,3,3,0,2,1,0,1,2,2,1
2021년05월_남_총인구수,"106,040","2,479","1,021","1,498","4,960","1,526","1,158","2,023","6,986","2,037","1,831","1,172","1,603",995,"1,323","11,801","3,517","7,547","2,601","4,771","9,157","2,014","4,844","7,214","18,513","3,449"
2021년05월_남_연령구간인구수,"106,040","2,479","1,021","1,498","4,960","1,526","1,158","2,023","6,986","2,037","1,831","1,172","1,603",995,"1,323","11,801","3,517","7,547","2,601","4,771","9,157","2,014","4,844","7,214","18,513","3,449"
2021년05월_남_0~9세,"7,167",57,13,32,278,14,22,42,"1,010",159,41,32,43,27,46,837,121,603,125,170,"1,024",41,272,508,"1,345",305
2021년05월_남_10~19세,"9,690",103,34,67,217,52,58,61,510,149,75,44,82,43,75,"1,316",269,"1,075",248,346,"1,209",98,358,882,"1,954",365
2021년05월_남_20~29세,"13,881",232,64,121,926,110,71,166,880,345,152,77,100,63,153,"1,570",493,"1,019",328,573,"1,190",303,634,"1,048","2,815",448
2021년05월_남_30~39세,"12,546",175,51,82,870,100,69,104,"1,688",257,95,77,89,59,134,"1,291",366,821,233,484,"1,303",174,548,762,"2,298",416
2021년05월_남_40~49세,"15,617",292,98,136,690,143,115,170,"1,136",289,193,102,140,83,190,"1,821",489,"1,339",369,630,"1,664",247,757,"1,126","2,818",580
2021년05월_남_50~59세,"18,950",532,211,335,830,307,196,432,780,291,370,217,300,171,247,"2,156",642,"1,296",476,872,"1,423",406,946,"1,443","3,416",655
2021년05월_남_60~69세,"16,658",624,311,416,702,436,326,573,615,303,493,322,475,298,250,"1,729",633,852,436,960,884,436,773,897,"2,502",412
2021년05월_남_70~79세,"7,692",289,168,216,298,213,190,310,246,146,255,176,221,145,145,752,356,363,247,483,342,208,409,384,938,192
2021년05월_남_80~89세,"3,515",165,65,84,134,138,99,150,105,92,143,112,134,99,81,294,137,170,131,232,114,97,138,148,388,65
2021년05월_남_90~99세,316,9,6,9,15,12,11,15,16,6,13,12,18,7,2,34,11,9,8,20,4,4,9,16,39,11
2021년05월_남_100세 이상,8,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2021년05월_여_총인구수,"103,443","2,333",988,"1,448","3,861","1,425","1,125","1,919","6,576","1,779","1,796","1,103","1,556",964,"1,367","11,773","3,458","7,819","2,631","4,707","9,289","1,710","4,457","7,371","18,808","3,180"
2021년05월_여_연령구간인구수,"103,443","2,333",988,"1,448","3,861","1,425","1,125","1,919","6,576","1,779","1,796","1,103","1,556",964,"1,367","11,773","3,458","7,819","2,631","4,707","9,289","1,710","4,457","7,371","18,808","3,180"
2021년05월_여_0~9세,"7,021",38,23,40,293,19,27,23,"1,029",177,57,21,32,33,50,756,130,622,120,166,993,49,251,473,"1,341",258
2021년05월_여_10~19세,"8,923",105,28,44,184,48,32,56,487,142,97,38,60,31,79,"1,200",254,914,231,333,"1,173",63,376,818,"1,817",313
2021년05월_여_20~29세,"10,218",132,46,67,495,61,43,89,673,176,100,44,77,38,116,"1,167",366,830,258,470,989,207,459,871,"2,129",315
2021년05월_여_30~39세,"10,568",117,39,60,519,64,43,66,"1,414",192,70,44,72,54,88,"1,147",239,818,202,362,"1,314",90,449,690,"2,030",385
2021년05월_여_40~49세,"14,784",185,64,99,488,69,52,138,"1,012",217,127,78,94,59,146,"1,821",430,"1,476",353,518,"1,723",161,619,"1,299","3,017",539
2021년05월_여_50~59세,"18,106",457,199,272,639,249,187,348,781,222,319,208,252,163,214,"2,185",607,"1,367",454,841,"1,454",305,768,"1,414","3,635",566
2021년05월_여_60~69세,"16,558",591,285,385,635,377,328,541,619,284,435,279,414,247,301,"1,783",654,921,462,"1,028",913,360,808,944,"2,575",389
2021년05월_여_70~79세,"9,552",370,153,265,301,265,203,340,293,192,291,196,275,175,205,985,445,510,330,580,417,259,477,502,"1,304",219
2021년05월_여_80~89세,"6,673",300,120,184,268,246,180,267,230,154,248,170,246,146,134,652,291,311,195,351,261,187,216,317,830,169
2021년05월_여_90~99세,"1,013",37,30,32,37,27,28,50,38,22,51,25,33,18,33,75,39,47,26,57,51,29,33,41,128,26
